k_s_per_km,kPk_pi_p1_1,kPk_pi_p2_1,kPk_pi_p7_1,kPk_pi_p8_1,kPk_pi_p9_1
2.347674e+00,3.496778e-11,6.059023e-11,6.364938e-11,8.033381e-11,3.891088e-11
2.348100e+00,3.420370e-11,5.946207e-11,6.328908e-11,8.021038e-11,3.948902e-11
2.348527e+00,3.338306e-11,5.832996e-11,6.288475e-11,7.974044e-11,4.020840e-11
2.348953e+00,3.251729e-11,5.720959e-11,6.244485e-11,7.896466e-11,4.102350e-11
2.349380e+00,3.162278e-11,5.611291e-11,6.197117e-11,7.793237e-11,4.191835e-11
2.349806e+00,3.071773e-11,5.506725e-11,6.146658e-11,7.670548e-11,4.290650e-11
2.350232e+00,2.981979e-11,5.409366e-11,6.092866e-11,7.533747e-11,4.403610e-11
2.350659e+00,2.894640e-11,5.321340e-11,6.035454e-11,7.387386e-11,4.535656e-11
2.351085e+00,2.811354e-11,5.245159e-11,5.974676e-11,7.236298e-11,4.687433e-11
2.351512e+00,2.733635e-11,5.182150e-11,5.910350e-11,7.083241e-11,4.855715e-11
2.351938e+00,2.662942e-11,5.133760e-11,5.842923e-11,6.931941e-11,5.031568e-11
2.352364e+00,2.600420e-11,5.100227e-11,5.772404e-11,6.784847e-11,5.206666e-11
2.352791e+00,2.546840e-11,5.081184e-11,5.698722e-11,6.644391e-11,5.376709e-11
2.353217e+00,2.502617e-11,5.075683e-11,5.622299e-11,6.514031e-11,5.542902e-11
2.353643e+00,2.467941e-11,5.081984e-11,5.543124e-11,6.396255e-11,5.712779e-11
2.354070e+00,2.442939e-11,5.098071e-11,5.461372e-11,6.293586e-11,5.893117e-11
2.354496e+00,2.427840e-11,5.121797e-11,5.377828e-11,6.208660e-11,6.082248e-11
2.354923e+00,2.423187e-11,5.151476e-11,5.292420e-11,6.142595e-11,6.270285e-11
2.355349e+00,2.429626e-11,5.185437e-11,5.206185e-11,6.096668e-11,6.438477e-11
2.355775e+00,2.447523e-11,5.222726e-11,5.119457e-11,6.070495e-11,6.572941e-11
2.356202e+00,2.476581e-11,5.262663e-11,5.032639e-11,6.062876e-11,6.672513e-11
2.356628e+00,2.515564e-11,5.304221e-11,4.946844e-11,6.071627e-11,6.751307e-11
2.357055e+00,2.562242e-11,5.346566e-11,4.862451e-11,6.093712e-11,6.832148e-11
2.357481e+00,2.613562e-11,5.387913e-11,4.780623e-11,6.125552e-11,6.929828e-11
2.357907e+00,2.666104e-11,5.426066e-11,4.701882e-11,6.163890e-11,7.039995e-11
2.358334e+00,2.716635e-11,5.458045e-11,4.626718e-11,6.206312e-11,7.138216e-11
2.358760e+00,2.762465e-11,5.479407e-11,4.556466e-11,6.251409e-11,7.192505e-11
2.359186e+00,2.801658e-11,5.485959e-11,4.491871e-11,6.299236e-11,7.192682e-11
2.359613e+00,2.833170e-11,5.473030e-11,4.433939e-11,6.351049e-11,7.155975e-11
2.360039e+00,2.856664e-11,5.436365e-11,4.384191e-11,6.407833e-11,7.118748e-11
2.360466e+00,2.872406e-11,5.372412e-11,4.343385e-11,6.470173e-11,7.113540e-11
2.360892e+00,2.881387e-11,5.279617e-11,4.312255e-11,6.536377e-11,7.148421e-11
2.361318e+00,2.885264e-11,5.158210e-11,4.290793e-11,6.602831e-11,7.201568e-11
2.361745e+00,2.886446e-11,5.010320e-11,4.278847e-11,6.663896e-11,7.236452e-11
2.362171e+00,2.887908e-11,4.841233e-11,4.276374e-11,6.712435e-11,7.226416e-11
2.362598e+00,2.892817e-11,4.656590e-11,4.283429e-11,6.742334e-11,7.173724e-11
2.363024e+00,2.904170e-11,4.464751e-11,4.300153e-11,6.749344e-11,7.109057e-11
2.363450e+00,2.924150e-11,4.273156e-11,4.326554e-11,6.732954e-11,7.071613e-11
2.363877e+00,2.953856e-11,4.089117e-11,4.362269e-11,6.696354e-11,7.084154e-11
2.364303e+00,2.993163e-11,3.919776e-11,4.406211e-11,6.646101e-11,7.138172e-11
