k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,4.721640e+00,5.469614e+01,5.469614e-01
4.430464e-04,2.709375e+00,7.211024e+00,7.211024e-02
8.860928e-04,2.273296e+00,4.231786e+00,4.231786e-02
1.329139e-03,1.948901e+00,3.469660e+00,3.469660e-02
1.772186e-03,1.650714e+00,2.741208e+00,2.741208e-02
2.215232e-03,1.416974e+00,2.303252e+00,2.303252e-02
2.658278e-03,1.195819e+00,1.906946e+00,1.906946e-02
3.101325e-03,1.032266e+00,1.571669e+00,1.571669e-02
3.544371e-03,8.621448e-01,1.253805e+00,1.253805e-02
3.987417e-03,7.425852e-01,1.097057e+00,1.097057e-02
4.430464e-03,6.345074e-01,9.284289e-01,9.284289e-03
4.873510e-03,5.387291e-01,7.468355e-01,7.468355e-03
5.316557e-03,4.732263e-01,6.643021e-01,6.643021e-03
5.759603e-03,4.049555e-01,5.775511e-01,5.775511e-03
6.202649e-03,3.485340e-01,4.737410e-01,4.737410e-03
6.645696e-03,3.051193e-01,4.167566e-01,4.167566e-03
7.088742e-03,2.625136e-01,3.614123e-01,3.614123e-03
7.531789e-03,2.279061e-01,3.073256e-01,3.073256e-03
7.974835e-03,1.967286e-01,2.673663e-01,2.673663e-03
8.417881e-03,1.721658e-01,2.348478e-01,2.348478e-03
8.860928e-03,1.496863e-01,1.976175e-01,1.976175e-03
9.303974e-03,1.320624e-01,1.757721e-01,1.757721e-03
9.747021e-03,1.183560e-01,1.562606e-01,1.562606e-03
1.019007e-02,1.037690e-01,1.409772e-01,1.409772e-03
1.063311e-02,9.024822e-02,1.229568e-01,1.229568e-03
1.107616e-02,8.159144e-02,1.084360e-01,1.084360e-03
1.151921e-02,7.061055e-02,9.313937e-02,9.313937e-04
1.196225e-02,6.260306e-02,8.451974e-02,8.451974e-04
1.240530e-02,5.595964e-02,7.408047e-02,7.408047e-04
1.284835e-02,4.959050e-02,6.616848e-02,6.616848e-04
1.329139e-02,4.429607e-02,5.839965e-02,5.839965e-04
1.373444e-02,3.790361e-02,4.914000e-02,4.914000e-04
1.417748e-02,3.416001e-02,4.490344e-02,4.490344e-04
1.462053e-02,3.026185e-02,3.925184e-02,3.925184e-04
1.506358e-02,2.668238e-02,3.471818e-02,3.471818e-04
1.550662e-02,2.308374e-02,3.071379e-02,3.071379e-04
1.594967e-02,2.056132e-02,2.708168e-02,2.708168e-04
1.639272e-02,1.787880e-02,2.298934e-02,2.298934e-04
1.683576e-02,1.613164e-02,2.057701e-02,2.057701e-04
1.727881e-02,1.423912e-02,1.882197e-02,1.882197e-04
1.772186e-02,1.267861e-02,1.697112e-02,1.697112e-04
1.816490e-02,1.102243e-02,1.446305e-02,1.446305e-04
1.860795e-02,9.704518e-03,1.307667e-02,1.307667e-04
1.905099e-02,8.705200e-03,1.146774e-02,1.146774e-04
1.949404e-02,7.834538e-03,1.058986e-02,1.058986e-04
1.993709e-02,6.884736e-03,9.195220e-03,9.195220e-05
2.038013e-02,6.050415e-03,8.088116e-03,8.088116e-05
2.082318e-02,5.375217e-03,7.065482e-03,7.065482e-05
2.126623e-02,4.739921e-03,6.380537e-03,6.380537e-05
2.170927e-02,4.299196e-03,5.919429e-03,5.919429e-05
2.215232e-02,3.687599e-03,4.864662e-03,4.864662e-05
2.259537e-02,3.359703e-03,4.818215e-03,4.818215e-05
2.303841e-02,2.995196e-03,4.126723e-03,4.126723e-05
2.348146e-02,2.698017e-03,3.751910e-03,3.751910e-05
2.392450e-02,2.371481e-03,3.373317e-03,3.373317e-05
2.436755e-02,2.132014e-03,3.061238e-03,3.061238e-05
2.481060e-02,1.908398e-03,2.785177e-03,2.785177e-05
2.525364e-02,1.714418e-03,2.541006e-03,2.541006e-05
2.569669e-02,1.472351e-03,2.132764e-03,2.132764e-05
2.613974e-02,1.342414e-03,1.998763e-03,1.998763e-05
2.658278e-02,1.201069e-03,1.830150e-03,1.830150e-05
2.702583e-02,1.071855e-03,1.631361e-03,1.631361e-05
2.746888e-02,9.474003e-04,1.457524e-03,1.457524e-05
2.791192e-02,8.537796e-04,1.376778e-03,1.376778e-05
2.835497e-02,7.640126e-04,1.219265e-03,1.219265e-05
2.879802e-02,6.882935e-04,1.124127e-03,1.124127e-05
2.924106e-02,6.119192e-04,1.043884e-03,1.043884e-05
2.968411e-02,5.418749e-04,8.937080e-04,8.937080e-06
3.012715e-02,4.958261e-04,8.657407e-04,8.657407e-06
3.057020e-02,4.475260e-04,8.272413e-04,8.272413e-06
3.101325e-02,3.927006e-04,7.017369e-04,7.017369e-06
3.145629e-02,3.533891e-04,6.447773e-04,6.447773e-06
3.189934e-02,3.148960e-04,5.955756e-04,5.955756e-06
3.234239e-02,2.898170e-04,5.505944e-04,5.505944e-06
3.278543e-02,2.559928e-04,5.119421e-04,5.119421e-06
3.322848e-02,2.258211e-04,4.463337e-04,4.463337e-06
3.367153e-02,2.094667e-04,4.297679e-04,4.297679e-06
3.411457e-02,1.869866e-04,3.945929e-04,3.945929e-06
3.455762e-02,1.661837e-04,3.562386e-04,3.562386e-06
3.500066e-02,1.515424e-04,3.347663e-04,3.347663e-06
3.544371e-02,1.367960e-04,3.156264e-04,3.156264e-06
3.588676e-02,1.259655e-04,3.118252e-04,3.118252e-06
3.632980e-02,1.153958e-04,3.096398e-04,3.096398e-06
3.677285e-02,1.063968e-04,3.033109e-04,3.033109e-06
3.721590e-02,9.462281e-05,2.870441e-04,2.870441e-06
3.765894e-02,8.865277e-05,2.704002e-04,2.704002e-06
3.810199e-02,7.714642e-05,2.395029e-04,2.395029e-06
3.854504e-02,7.050082e-05,2.220273e-04,2.220273e-06
