k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,1.867338e+04,1.736569e+05,1.736569e+03
1.729161e-03,1.881288e+04,1.761565e+05,1.761565e+03
3.458321e-03,1.894291e+04,1.765617e+05,1.765617e+03
5.187482e-03,1.841517e+04,1.699818e+05,1.699818e+03
6.916643e-03,1.778369e+04,1.628714e+05,1.628714e+03
8.645803e-03,1.730953e+04,1.555769e+05,1.555769e+03
1.037496e-02,1.645259e+04,1.458811e+05,1.458811e+03
1.210412e-02,1.573713e+04,1.368953e+05,1.368953e+03
1.383329e-02,1.510621e+04,1.274565e+05,1.274565e+03
1.556245e-02,1.421099e+04,1.165535e+05,1.165535e+03
1.729161e-02,1.356607e+04,1.074595e+05,1.074595e+03
1.902077e-02,1.284545e+04,9.757789e+04,9.757789e+02
2.074993e-02,1.201603e+04,8.736952e+04,8.736952e+02
2.247909e-02,1.144147e+04,7.950334e+04,7.950334e+02
2.420825e-02,1.058620e+04,7.067967e+04,7.067967e+02
2.593741e-02,9.780602e+03,6.162560e+04,6.162560e+02
2.766657e-02,9.300364e+03,5.724049e+04,5.724049e+02
2.939573e-02,8.472946e+03,4.971178e+04,4.971178e+02
3.112489e-02,8.043443e+03,4.647485e+04,4.647485e+02
3.285405e-02,7.393858e+03,4.116876e+04,4.116876e+02
3.458321e-02,6.819733e+03,3.733847e+04,3.733847e+02
3.631237e-02,6.460901e+03,3.487427e+04,3.487427e+02
3.804154e-02,5.932560e+03,3.129613e+04,3.129613e+02
3.977070e-02,5.465059e+03,2.837006e+04,2.837006e+02
4.149986e-02,5.055754e+03,2.620313e+04,2.620313e+02
4.322902e-02,4.682079e+03,2.339032e+04,2.339032e+02
4.495818e-02,4.343445e+03,2.168278e+04,2.168278e+02
4.668734e-02,4.014311e+03,1.961667e+04,1.961667e+02
4.841650e-02,3.656482e+03,1.782788e+04,1.782788e+02
5.014566e-02,3.510699e+03,1.699603e+04,1.699603e+02
5.187482e-02,3.214388e+03,1.545727e+04,1.545727e+02
5.360398e-02,3.124268e+03,1.564728e+04,1.564728e+02
5.533314e-02,2.884496e+03,1.413760e+04,1.413760e+02
5.706230e-02,2.716757e+03,1.381362e+04,1.381362e+02
5.879146e-02,2.671853e+03,1.395822e+04,1.395822e+02
6.052062e-02,2.506566e+03,1.302188e+04,1.302188e+02
