N_HI,b_param_km_s
2.789544e+13,5.981080e+01
7.242929e+15,1.662664e+01
1.120044e+12,3.765550e+01
1.913178e+12,2.797538e+01
3.207567e+12,4.166664e+01
1.066001e+12,6.896489e+01
7.512268e+12,2.723246e+01
1.623933e+16,2.541354e+01
1.623933e+16,2.541157e+01
1.134420e+14,2.563467e+01
1.941948e+13,3.307360e+01
1.464078e+12,6.154975e+01
1.058486e+12,3.830273e+01
2.416235e+12,2.868727e+01
2.618027e+12,4.855094e+01
8.433277e+12,4.478542e+01
8.433277e+12,4.478607e+01
3.249825e+12,7.368968e+01
3.249825e+12,7.369015e+01
1.392825e+12,3.252532e+01
1.625828e+12,4.091223e+01
1.459800e+12,4.301768e+01
1.749243e+12,2.705232e+01
4.714818e+12,2.484865e+01
2.607168e+12,2.966785e+01
7.592554e+12,3.087084e+01
6.158875e+12,2.811244e+01
1.354137e+12,2.528996e+01
4.965331e+12,3.490744e+01
1.742144e+12,2.546346e+01
3.448663e+12,6.792370e+01
1.601310e+12,3.154710e+01
1.989479e+12,4.453827e+01
1.672052e+12,2.339376e+01
4.406867e+12,2.957371e+01
4.175722e+12,3.303408e+01
6.330095e+13,3.793349e+01
6.882048e+13,2.899977e+01
1.202951e+12,6.709174e+01
2.326524e+12,7.129100e+01
1.884909e+12,2.383079e+01
1.771870e+12,6.795981e+01
1.547848e+12,5.439452e+01
3.124882e+12,3.035614e+01
2.075452e+12,7.079245e+01
3.413511e+12,3.790872e+01
1.085209e+12,6.037517e+01
1.435202e+12,4.658970e+01
1.386874e+18,2.119819e+01
1.132590e+12,2.752873e+01
9.539406e+12,5.281010e+01
9.539406e+12,5.280928e+01
1.212424e+12,2.952992e+01
1.164972e+12,2.941913e+01
2.975154e+12,2.913617e+01
1.213994e+12,6.852151e+01
1.213994e+12,6.852106e+01
1.328158e+12,2.971974e+01
1.301492e+12,4.671415e+01
1.249989e+17,2.056777e+01
1.069093e+12,4.320335e+01
8.224837e+18,6.464429e+01
8.224837e+18,1.687246e+01
8.224837e+18,1.687243e+01
5.761742e+12,2.374366e+01
1.083798e+12,7.558339e+01
1.331110e+12,5.188953e+01
1.331110e+12,5.188945e+01
9.629067e+12,3.965457e+01
1.366222e+12,5.337735e+01
9.923067e+12,2.462636e+01
5.388389e+12,2.890012e+01
1.226074e+12,3.805378e+01
5.765420e+12,2.563736e+01
3.328868e+19,3.898707e+01
3.328868e+19,3.544908e+01
3.328868e+19,4.531740e+01
3.328868e+19,4.531680e+01
3.156067e+12,3.981348e+01
5.241281e+12,4.338370e+01
3.073832e+12,3.837597e+01
1.319951e+12,2.931104e+01
1.923958e+12,2.451309e+01
2.987221e+13,2.763785e+01
4.170335e+13,2.483659e+01
3.076423e+12,2.807733e+01
1.344630e+12,5.283778e+01
1.133861e+13,2.291379e+01
1.181899e+12,2.980841e+01
8.989337e+12,2.680944e+01
1.885901e+13,4.264208e+01
7.284401e+12,3.887212e+01
2.927074e+12,3.611510e+01
1.931646e+12,3.744056e+01
1.304430e+12,4.391291e+01
1.183385e+12,3.214669e+01
3.618092e+12,5.466801e+01
3.618092e+12,5.466907e+01
1.062889e+17,1.824913e+01
1.567671e+12,5.061275e+01
1.719469e+12,2.479133e+01
1.492621e+12,3.515164e+01
1.693917e+14,2.366529e+01
6.518270e+14,2.240367e+01
1.322146e+12,2.496868e+01
5.957523e+12,2.966289e+01
6.897858e+12,2.136897e+01
2.209638e+12,6.419731e+01
2.209638e+12,6.419796e+01
3.685779e+12,4.440680e+01
4.917225e+16,1.867765e+01
1.341331e+12,3.882499e+01
2.178330e+15,1.863236e+01
3.450751e+12,3.972707e+01
4.308254e+12,2.999448e+01
1.326650e+12,2.454321e+01
1.074882e+12,2.819233e+01
2.866111e+12,2.878114e+01
1.021081e+12,5.572614e+01
3.276805e+12,7.168756e+01
3.276805e+12,7.168699e+01
1.511553e+12,6.368019e+01
5.386409e+12,2.725164e+01
5.199043e+14,2.097713e+01
5.106685e+17,1.614475e+01
7.081250e+13,2.334244e+01
7.081250e+13,2.334244e+01
8.070614e+17,1.480141e+01
2.766193e+12,3.132663e+01
1.151529e+12,4.212946e+01
1.187804e+12,3.075964e+01
1.875650e+12,5.978562e+01
2.070705e+13,3.645149e+01
3.745404e+12,3.208487e+01
1.156247e+12,3.103995e+01
7.054965e+12,3.049595e+01
1.270286e+12,3.460216e+01
1.251660e+12,2.651907e+01
2.269993e+12,3.569444e+01
1.518883e+12,2.635953e+01
1.154761e+12,3.643761e+01
2.150647e+12,2.629922e+01
1.563310e+12,2.666357e+01
5.235597e+14,4.140793e+01
5.235597e+14,4.141147e+01
1.334552e+13,3.423559e+01
2.684303e+19,3.069002e+01
2.684303e+19,1.572487e+01
2.684303e+19,1.770307e+01
1.717550e+12,4.604095e+01
1.044423e+12,3.404056e+01
2.443113e+12,2.682968e+01
1.280265e+12,7.807802e+01
4.131561e+13,2.429675e+01
1.544375e+12,2.663418e+01
2.300262e+12,3.177724e+01
2.300262e+12,3.177720e+01
2.300262e+12,3.177664e+01
1.181019e+12,4.949385e+01
1.030290e+13,2.689854e+01
1.071317e+12,4.539214e+01
1.569047e+12,2.623891e+01
3.473061e+12,6.107371e+01
1.644352e+12,5.804617e+01
1.202628e+12,3.807734e+01
1.434501e+12,2.716420e+01
2.311283e+13,3.083133e+01
2.314117e+12,5.137746e+01
3.027884e+13,3.226721e+01
5.801809e+13,2.641394e+01
2.952082e+12,2.953938e+01
1.527654e+12,2.494037e+01
1.914357e+12,6.196441e+01
3.078563e+12,3.857170e+01
2.643177e+12,2.472335e+01
1.420612e+12,5.153951e+01
1.420612e+12,5.153706e+01
1.626138e+12,5.275537e+01
1.100397e+12,4.360901e+01
1.135683e+13,3.108558e+01
1.467270e+15,1.944716e+01
1.467270e+15,1.944716e+01
1.607495e+13,2.948071e+01
2.595289e+12,4.628586e+01
2.178452e+12,4.459698e+01
2.678886e+12,2.446423e+01
1.091171e+12,4.801905e+01
2.271399e+12,3.250302e+01
3.341835e+12,2.844504e+01
1.531821e+12,2.790500e+01
1.837907e+12,4.779678e+01
1.036193e+12,2.960394e+01
3.210650e+12,6.055538e+01
2.102301e+12,7.330143e+01
2.466985e+12,6.431310e+01
2.466985e+12,6.431568e+01
1.196387e+12,2.428059e+01
1.240679e+13,4.474021e+01
2.848243e+12,6.968916e+01
2.660697e+12,3.679133e+01
1.089428e+12,7.164699e+01
1.147158e+12,4.118539e+01
2.594558e+13,2.200102e+01
2.507075e+12,4.724089e+01
1.025037e+12,2.358606e+01
1.043903e+12,5.727911e+01
6.076071e+12,5.227939e+01
1.043297e+12,3.382881e+01
1.896565e+12,2.546189e+01
2.576270e+18,1.475236e+01
2.576270e+18,5.821860e+01
5.937053e+14,2.474529e+01
2.410905e+12,2.596835e+01
1.125047e+12,2.585115e+01
1.040638e+12,6.044997e+01
5.969108e+12,2.244287e+01
1.204202e+12,2.410219e+01
1.881079e+14,3.191850e+01
1.963353e+12,4.406488e+01
4.003453e+13,2.821769e+01
4.003453e+13,2.821773e+01
1.361970e+13,2.545740e+01
1.361970e+13,3.871825e+01
8.705503e+12,4.859707e+01
8.705503e+12,3.378786e+01
1.405623e+12,2.808825e+01
9.043598e+12,3.642539e+01
1.566013e+12,3.091633e+01
1.055756e+12,2.523637e+01
1.786995e+12,7.236274e+01
1.786995e+12,7.236250e+01
1.786995e+12,7.236216e+01
6.763006e+12,3.155574e+01
1.193245e+12,2.365896e+01
7.403944e+15,2.958381e+01
1.591551e+12,3.278170e+01
4.857987e+13,2.898710e+01
1.096626e+12,2.807554e+01
6.814647e+12,4.482191e+01
6.402064e+12,3.007517e+01
6.402064e+12,3.007526e+01
6.157265e+12,3.669314e+01
2.400199e+19,3.797593e+01
2.400199e+19,3.937409e+01
2.400199e+19,4.000191e+01
2.400199e+19,4.015283e+01
2.400199e+19,4.013362e+01
2.400199e+19,4.013570e+01
2.400199e+19,4.013544e+01
2.400199e+19,4.013496e+01
2.400199e+19,4.013144e+01
2.400199e+19,4.012446e+01
2.400199e+19,4.011516e+01
2.400199e+19,4.007878e+01
2.400199e+19,4.006207e+01
2.400199e+19,4.002794e+01
2.400199e+19,4.000667e+01
2.400199e+19,3.998329e+01
2.400199e+19,3.994088e+01
2.400199e+19,3.986282e+01
2.400199e+19,3.975095e+01
2.400199e+19,3.963513e+01
2.400199e+19,3.959567e+01
2.400199e+19,3.955463e+01
2.400199e+19,3.954835e+01
2.400199e+19,3.953442e+01
2.400199e+19,3.953003e+01
2.400199e+19,3.949803e+01
2.400199e+19,3.952679e+01
2.400199e+19,3.952721e+01
2.400199e+19,3.951750e+01
2.400199e+19,2.141125e+01
2.552936e+12,3.949386e+01
2.552936e+12,3.949418e+01
1.624157e+12,2.525018e+01
2.681831e+14,2.369999e+01
2.282576e+12,2.334308e+01
1.468294e+12,2.449087e+01
2.059119e+12,2.727806e+01
3.059306e+12,2.510967e+01
1.269906e+15,1.947528e+01
9.760177e+12,2.821010e+01
2.741577e+12,3.260542e+01
1.061807e+12,2.592465e+01
2.302410e+13,4.361605e+01
1.125872e+12,4.382244e+01
1.516279e+12,5.274628e+01
1.744476e+12,2.796547e+01
7.344455e+12,3.237661e+01
1.693755e+12,2.558635e+01
1.609571e+12,3.341328e+01
2.058707e+12,3.982334e+01
2.348007e+17,1.631314e+01
1.798496e+12,3.230998e+01
1.918410e+13,3.165902e+01
2.688617e+12,2.732096e+01
1.938725e+12,2.794637e+01
2.181072e+12,4.951631e+01
3.087366e+12,3.469076e+01
7.013512e+12,4.685592e+01
7.698126e+12,2.632730e+01
1.294666e+12,5.013199e+01
4.505121e+12,4.779634e+01
3.325432e+12,2.555015e+01
1.505606e+12,4.539733e+01
1.317846e+12,3.105029e+01
1.893203e+12,5.026221e+01
1.359099e+12,3.249014e+01
7.851394e+16,3.381783e+01
7.851394e+16,2.552875e+01
1.228853e+13,6.533906e+01
2.032888e+12,3.339534e+01
2.032888e+12,3.339543e+01
6.562309e+12,2.899706e+01
6.562309e+12,2.899739e+01
1.401822e+12,4.601326e+01
1.142106e+12,2.102998e+01
8.731920e+12,3.354401e+01
1.069308e+12,3.527688e+01
1.119569e+12,5.238159e+01
1.487776e+12,3.595069e+01
6.207708e+12,3.684183e+01
1.709113e+18,1.580356e+01
1.709113e+18,1.580358e+01
1.801773e+12,2.477413e+01
1.408946e+12,2.849632e+01
2.179939e+12,7.579440e+01
1.562659e+12,6.927893e+01
1.562659e+12,6.927695e+01
1.460066e+12,5.629163e+01
4.440434e+12,6.288539e+01
2.904144e+12,2.818214e+01
5.382937e+13,3.472182e+01
1.137440e+12,3.265612e+01
1.259180e+12,2.998121e+01
5.963796e+15,3.627773e+01
5.963796e+15,3.627811e+01
2.015486e+12,2.980936e+01
2.434037e+18,1.669891e+01
1.246911e+12,2.480489e+01
1.922066e+12,3.300793e+01
4.167187e+12,2.589270e+01
3.338312e+12,2.495519e+01
1.581543e+12,5.043306e+01
1.581543e+12,5.043291e+01
2.689625e+13,4.969781e+01
5.020433e+18,1.511977e+01
5.201219e+12,4.290130e+01
1.249828e+12,4.511381e+01
1.308862e+12,5.069539e+01
1.889012e+15,2.174357e+01
1.889012e+15,2.174359e+01
5.654608e+13,3.527565e+01
1.362231e+12,2.735092e+01
1.362231e+12,2.735120e+01
5.220688e+12,3.237168e+01
4.838243e+12,3.419521e+01
3.616203e+12,2.393257e+01
1.993898e+12,2.456724e+01
1.710631e+12,2.801036e+01
2.362545e+13,3.734367e+01
1.092448e+12,2.847983e+01
1.669787e+12,5.534428e+01
2.034076e+14,2.490178e+01
2.034076e+14,2.490224e+01
1.148108e+12,3.928436e+01
1.148108e+12,3.928453e+01
1.795376e+12,2.982375e+01
1.090399e+12,2.897369e+01
1.029200e+12,6.473150e+01
4.590248e+13,2.633165e+01
2.347051e+12,2.920587e+01
3.073532e+12,2.310533e+01
1.521305e+12,3.060979e+01
9.853695e+15,1.627970e+01
1.600473e+12,6.414500e+01
1.420931e+12,2.504050e+01
1.418344e+12,2.949480e+01
1.031487e+14,3.133407e+01
1.031487e+14,3.133408e+01
1.067419e+12,2.795589e+01
1.809729e+13,3.265932e+01
1.093071e+12,2.645111e+01
1.223869e+12,7.378597e+01
1.223869e+12,7.378651e+01
7.944861e+13,3.393172e+01
7.944861e+13,3.393171e+01
1.368933e+12,4.481019e+01
7.910651e+14,2.514588e+01
1.007176e+12,3.387566e+01
1.899800e+12,2.519350e+01
2.028315e+12,7.345369e+01
2.065384e+12,2.627784e+01
1.062025e+12,2.769279e+01
1.166447e+12,3.642616e+01
1.353321e+12,4.848680e+01
2.581140e+12,6.921999e+01
7.617986e+14,2.642290e+01
2.908861e+12,3.008061e+01
1.154511e+12,3.326463e+01
2.342045e+12,6.280871e+01
1.221173e+12,4.320809e+01
1.620321e+20,3.152143e+01
1.620321e+20,3.152137e+01
1.620321e+20,3.834800e+01
1.620321e+20,4.008003e+01
1.620321e+20,4.006921e+01
1.620321e+20,4.000345e+01
1.620321e+20,3.998603e+01
1.620321e+20,3.995019e+01
1.620321e+20,3.993913e+01
1.620321e+20,3.988597e+01
1.620321e+20,3.985361e+01
1.620321e+20,3.985275e+01
1.620321e+20,3.985287e+01
1.620321e+20,3.985546e+01
1.620321e+20,3.985583e+01
1.620321e+20,3.984947e+01
1.620321e+20,3.980008e+01
1.620321e+20,3.979236e+01
1.620321e+20,3.971040e+01
1.620321e+20,3.956635e+01
1.620321e+20,3.952522e+01
1.620321e+20,3.944828e+01
1.620321e+20,3.736064e+01
1.620321e+20,3.698668e+01
2.375257e+12,3.347842e+01
2.658909e+13,3.377317e+01
1.413314e+12,4.699304e+01
2.743957e+13,3.591971e+01
1.083283e+14,3.015840e+01
1.856711e+12,2.332041e+01
2.401744e+12,4.646768e+01
4.087657e+12,5.919488e+01
4.160545e+17,1.369757e+01
1.056572e+12,4.175697e+01
8.864409e+13,4.342029e+01
2.272054e+12,2.333768e+01
1.313907e+13,2.514919e+01
2.313810e+12,7.046068e+01
2.313810e+12,7.046122e+01
1.155946e+12,4.379233e+01
1.961716e+12,2.529880e+01
3.932811e+13,2.623300e+01
8.844622e+18,1.578647e+01
6.175985e+12,2.707123e+01
1.600860e+12,4.360633e+01
1.047606e+12,4.580633e+01
7.959444e+12,2.779599e+01
1.085074e+12,2.860063e+01
2.260280e+12,2.671845e+01
4.297452e+12,5.373320e+01
1.413018e+14,2.568703e+01
4.443511e+17,1.571633e+01
1.247873e+14,2.355283e+01
1.539929e+12,3.027503e+01
2.314123e+19,4.248095e+01
2.314123e+19,4.248107e+01
2.314123e+19,4.248070e+01
2.314123e+19,3.728495e+01
7.925824e+12,2.320195e+01
1.921649e+12,3.933072e+01
2.785493e+18,3.217002e+01
2.785493e+18,3.216967e+01
2.785493e+18,3.759679e+01
3.119374e+16,1.688360e+01
1.228034e+12,6.163376e+01
9.689356e+12,4.981375e+01
8.953576e+12,3.603140e+01
1.023639e+12,2.390603e+01
1.802865e+12,7.004234e+01
4.336629e+14,2.423630e+01
1.650095e+12,3.981427e+01
5.715026e+14,2.133796e+01
4.151095e+13,2.514012e+01
1.656653e+14,2.904695e+01
1.561544e+12,4.059842e+01
5.938180e+12,2.799378e+01
1.682497e+14,2.812025e+01
4.782599e+12,2.677920e+01
2.004810e+12,2.403303e+01
2.090803e+12,3.130251e+01
1.844612e+12,6.174450e+01
9.785715e+12,3.466036e+01
1.682037e+12,5.192556e+01
1.132678e+12,4.620639e+01
6.482108e+12,3.905040e+01
1.859255e+12,4.030957e+01
6.150429e+13,3.952215e+01
2.311448e+12,4.954756e+01
1.639528e+16,2.052441e+01
2.339107e+12,2.986296e+01
2.017922e+12,4.012452e+01
4.608777e+12,2.672852e+01
1.051982e+12,2.564555e+01
7.399276e+12,4.567307e+01
1.032753e+12,4.897996e+01
1.014799e+18,3.863127e+01
1.014799e+18,1.365889e+01
1.069336e+12,5.383232e+01
1.556482e+12,2.439783e+01
1.281648e+12,5.174771e+01
1.555060e+19,3.450471e+01
1.555060e+19,3.450508e+01
2.141985e+12,2.610519e+01
1.868632e+12,2.525981e+01
1.258392e+12,3.869920e+01
6.731092e+17,2.645232e+01
6.731092e+17,2.645238e+01
3.470861e+12,3.508862e+01
1.588169e+12,3.501122e+01
1.298152e+12,2.464814e+01
1.230196e+12,3.139771e+01
1.155756e+12,2.184841e+01
1.198859e+13,2.832046e+01
1.220061e+12,3.132017e+01
1.667616e+12,2.745163e+01
3.086245e+12,5.243812e+01
1.953748e+12,3.800823e+01
6.151070e+14,2.735722e+01
6.717323e+12,5.150502e+01
4.736695e+12,3.098035e+01
5.549140e+12,3.540114e+01
1.148010e+13,3.320448e+01
1.019265e+12,3.091132e+01
9.555172e+12,3.859691e+01
1.391049e+12,5.983207e+01
1.936580e+12,2.886633e+01
2.772291e+12,3.936588e+01
