k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,9.996987e+02,1.872538e+03,1.872538e+01
2.274071e-03,1.002318e+03,1.696309e+03,1.696309e+01
4.548141e-03,9.154756e+02,1.519634e+03,1.519634e+01
6.822212e-03,8.030268e+02,1.315693e+03,1.315693e+01
9.096283e-03,7.178564e+02,1.090121e+03,1.090121e+01
1.137035e-02,6.360352e+02,1.020309e+03,1.020309e+01
1.364442e-02,5.793583e+02,8.749952e+02,8.749952e+00
1.591849e-02,5.209949e+02,7.877662e+02,7.877662e+00
1.819257e-02,4.718379e+02,6.912274e+02,6.912274e+00
2.046664e-02,4.332591e+02,6.351086e+02,6.351086e+00
2.274071e-02,3.839053e+02,5.574244e+02,5.574244e+00
2.501478e-02,3.534767e+02,4.936624e+02,4.936624e+00
2.728885e-02,3.229392e+02,4.540015e+02,4.540015e+00
2.956292e-02,2.883748e+02,4.007329e+02,4.007329e+00
3.183699e-02,2.599015e+02,3.667129e+02,3.667129e+00
3.411106e-02,2.353003e+02,3.236744e+02,3.236744e+00
3.638513e-02,2.128112e+02,2.908068e+02,2.908068e+00
3.865920e-02,1.874939e+02,2.588216e+02,2.588216e+00
4.093327e-02,1.710160e+02,2.300478e+02,2.300478e+00
4.320734e-02,1.573323e+02,2.163249e+02,2.163249e+00
4.548141e-02,1.423955e+02,1.948039e+02,1.948039e+00
4.775548e-02,1.290406e+02,1.783151e+02,1.783151e+00
5.002955e-02,1.149421e+02,1.588161e+02,1.588161e+00
5.230363e-02,1.047148e+02,1.411644e+02,1.411644e+00
5.457770e-02,9.240002e+01,1.260404e+02,1.260404e+00
5.685177e-02,8.420246e+01,1.131364e+02,1.131364e+00
5.912584e-02,7.740457e+01,1.028167e+02,1.028167e+00
6.139991e-02,6.855072e+01,9.281944e+01,9.281944e-01
6.367398e-02,6.190098e+01,8.174867e+01,8.174867e-01
6.594805e-02,5.685144e+01,7.781894e+01,7.781894e-01
6.822212e-02,5.036976e+01,6.791561e+01,6.791561e-01
7.049619e-02,4.543973e+01,5.973540e+01,5.973540e-01
7.277026e-02,4.037362e+01,5.442743e+01,5.442743e-01
7.504433e-02,3.627947e+01,4.825899e+01,4.825899e-01
7.731840e-02,3.320640e+01,4.274308e+01,4.274308e-01
7.959247e-02,2.971966e+01,3.918458e+01,3.918458e-01
8.186654e-02,2.774629e+01,3.712373e+01,3.712373e-01
8.414061e-02,2.501505e+01,3.287681e+01,3.287681e-01
8.641469e-02,2.299281e+01,3.148182e+01,3.148182e-01
8.868876e-02,2.098526e+01,2.932102e+01,2.932102e-01
9.096283e-02,1.921554e+01,2.588359e+01,2.588359e-01
9.323690e-02,1.741831e+01,2.338591e+01,2.338591e-01
9.551097e-02,1.581332e+01,2.083407e+01,2.083407e-01
9.778504e-02,1.456565e+01,1.981384e+01,1.981384e-01
1.000591e-01,1.310168e+01,1.753994e+01,1.753994e-01
1.023332e-01,1.220942e+01,1.650668e+01,1.650668e-01
1.046073e-01,1.114893e+01,1.498582e+01,1.498582e-01
1.068813e-01,1.039728e+01,1.389802e+01,1.389802e-01
1.091554e-01,9.668452e+00,1.302911e+01,1.302911e-01
1.114295e-01,9.109204e+00,1.239548e+01,1.239548e-01
1.137035e-01,8.537916e+00,1.160416e+01,1.160416e-01
1.159776e-01,7.980018e+00,1.097140e+01,1.097140e-01
1.182517e-01,7.407251e+00,1.003924e+01,1.003924e-01
1.205257e-01,6.734896e+00,9.032746e+00,9.032746e-02
1.227998e-01,6.389760e+00,8.553868e+00,8.553868e-02
1.250739e-01,6.141540e+00,8.435966e+00,8.435966e-02
1.273480e-01,5.753217e+00,8.337796e+00,8.337796e-02
1.296220e-01,5.433866e+00,7.838415e+00,7.838415e-02
1.318961e-01,5.211032e+00,7.853455e+00,7.853455e-02
1.341702e-01,4.874770e+00,7.514031e+00,7.514031e-02
1.364442e-01,4.745031e+00,7.626354e+00,7.626354e-02
1.387183e-01,4.557070e+00,7.714788e+00,7.714788e-02
1.409924e-01,4.312566e+00,7.390260e+00,7.390260e-02
1.432665e-01,4.120767e+00,7.590030e+00,7.590030e-02
1.455405e-01,4.026106e+00,7.816616e+00,7.816616e-02
1.478146e-01,3.995866e+00,7.770419e+00,7.770419e-02
1.500887e-01,3.889196e+00,8.601664e+00,8.601664e-02
1.523627e-01,3.767421e+00,7.755910e+00,7.755910e-02
1.546368e-01,3.794756e+00,8.519659e+00,8.519659e-02
1.569109e-01,3.779593e+00,8.816281e+00,8.816281e-02
1.591849e-01,3.725161e+00,8.691494e+00,8.691494e-02
1.614590e-01,3.735609e+00,8.941016e+00,8.941016e-02
1.637331e-01,3.859667e+00,9.521490e+00,9.521490e-02
1.660072e-01,3.824936e+00,9.671347e+00,9.671347e-02
1.682812e-01,4.062681e+00,1.127734e+01,1.127734e-01
1.705553e-01,4.144493e+00,1.145219e+01,1.145219e-01
1.728294e-01,4.122596e+00,1.160754e+01,1.160754e-01
1.751034e-01,4.341376e+00,1.280543e+01,1.280543e-01
1.773775e-01,4.345510e+00,1.291885e+01,1.291885e-01
1.796516e-01,4.520566e+00,1.362869e+01,1.362869e-01
1.819257e-01,4.674877e+00,1.430670e+01,1.430670e-01
1.841997e-01,4.730828e+00,1.458483e+01,1.458483e-01
1.864738e-01,4.831208e+00,1.451337e+01,1.451337e-01
1.887479e-01,4.963373e+00,1.471257e+01,1.471257e-01
1.910219e-01,5.136091e+00,1.513118e+01,1.513118e-01
1.932960e-01,5.077207e+00,1.482981e+01,1.482981e-01
1.955701e-01,5.266371e+00,1.512633e+01,1.512633e-01
1.978441e-01,5.213044e+00,1.373828e+01,1.373828e-01
2.001182e-01,5.235891e+00,1.293543e+01,1.293543e-01
2.023923e-01,5.285054e+00,1.335650e+01,1.335650e-01
2.046664e-01,5.334982e+00,1.300364e+01,1.300364e-01
2.069404e-01,5.257243e+00,1.224280e+01,1.224280e-01
2.092145e-01,5.146075e+00,1.128057e+01,1.128057e-01
2.114886e-01,5.152478e+00,1.074504e+01,1.074504e-01
2.137626e-01,5.048913e+00,1.057107e+01,1.057107e-01
2.160367e-01,5.004680e+00,1.029852e+01,1.029852e-01
2.183108e-01,4.993101e+00,1.014689e+01,1.014689e-01
2.205849e-01,4.801006e+00,9.411836e+00,9.411836e-02
2.228589e-01,4.652955e+00,9.165484e+00,9.165484e-02
2.251330e-01,4.659224e+00,8.929543e+00,8.929543e-02
2.274071e-01,4.376420e+00,8.055003e+00,8.055003e-02
2.296811e-01,4.303709e+00,7.842379e+00,7.842379e-02
2.319552e-01,4.086285e+00,7.205793e+00,7.205793e-02
2.342293e-01,4.020802e+00,6.938911e+00,6.938911e-02
2.365033e-01,3.760790e+00,6.158530e+00,6.158530e-02
2.387774e-01,3.599672e+00,5.912222e+00,5.912222e-02
2.410515e-01,3.374159e+00,5.294060e+00,5.294060e-02
2.433256e-01,3.161840e+00,4.960342e+00,4.960342e-02
2.455996e-01,2.998892e+00,4.591999e+00,4.591999e-02
2.478737e-01,2.867202e+00,4.322512e+00,4.322512e-02
2.501478e-01,2.753554e+00,4.145821e+00,4.145821e-02
2.524218e-01,2.546547e+00,3.784938e+00,3.784938e-02
2.546959e-01,2.351394e+00,3.379917e+00,3.379917e-02
2.569700e-01,2.237126e+00,3.245650e+00,3.245650e-02
2.592441e-01,2.061058e+00,2.902413e+00,2.902413e-02
2.615181e-01,1.939773e+00,2.702235e+00,2.702235e-02
2.637922e-01,1.813451e+00,2.511625e+00,2.511625e-02
2.660663e-01,1.672789e+00,2.332948e+00,2.332948e-02
2.683403e-01,1.583721e+00,2.196692e+00,2.196692e-02
2.706144e-01,1.466653e+00,2.095794e+00,2.095794e-02
2.728885e-01,1.376025e+00,1.909064e+00,1.909064e-02
2.751626e-01,1.271798e+00,1.700870e+00,1.700870e-02
2.774366e-01,1.165082e+00,1.588256e+00,1.588256e-02
2.797107e-01,1.098723e+00,1.506066e+00,1.506066e-02
2.819848e-01,1.014272e+00,1.383264e+00,1.383264e-02
2.842588e-01,9.515964e-01,1.318038e+00,1.318038e-02
2.865329e-01,8.980384e-01,1.248001e+00,1.248001e-02
2.888070e-01,8.359524e-01,1.155418e+00,1.155418e-02
2.910810e-01,7.958549e-01,1.186535e+00,1.186535e-02
2.933551e-01,7.325459e-01,1.054462e+00,1.054462e-02
2.956292e-01,6.899940e-01,1.028760e+00,1.028760e-02
2.979033e-01,6.431523e-01,9.605047e-01,9.605047e-03
3.001773e-01,6.068464e-01,9.539762e-01,9.539762e-03
3.024514e-01,5.729609e-01,8.646277e-01,8.646277e-03
3.047255e-01,5.170181e-01,8.564882e-01,8.564882e-03
3.069995e-01,4.878544e-01,7.713532e-01,7.713532e-03
3.092736e-01,4.720254e-01,8.115606e-01,8.115606e-03
3.115477e-01,4.432033e-01,7.278625e-01,7.278625e-03
3.138218e-01,4.250182e-01,7.581519e-01,7.581519e-03
3.160958e-01,3.951633e-01,6.932716e-01,6.932716e-03
3.183699e-01,3.710256e-01,6.563054e-01,6.563054e-03
3.206440e-01,3.494027e-01,6.398206e-01,6.398206e-03
3.229180e-01,3.306668e-01,6.248494e-01,6.248494e-03
3.251921e-01,3.183612e-01,5.840787e-01,5.840787e-03
3.274662e-01,2.958123e-01,5.536786e-01,5.536786e-03
3.297402e-01,2.819255e-01,5.199042e-01,5.199042e-03
3.320143e-01,2.681242e-01,5.114548e-01,5.114548e-03
3.342884e-01,2.451455e-01,4.637047e-01,4.637047e-03
3.365625e-01,2.412588e-01,4.966869e-01,4.966869e-03
3.388365e-01,2.286506e-01,4.464482e-01,4.464482e-03
3.411106e-01,2.143696e-01,4.296629e-01,4.296629e-03
3.433847e-01,2.062601e-01,4.400957e-01,4.400957e-03
3.456587e-01,1.975675e-01,4.645114e-01,4.645114e-03
3.479328e-01,1.923185e-01,4.722096e-01,4.722096e-03
3.502069e-01,1.823410e-01,4.544452e-01,4.544452e-03
3.524810e-01,1.767976e-01,4.636506e-01,4.636506e-03
3.547550e-01,1.744299e-01,4.622389e-01,4.622389e-03
3.570291e-01,1.645419e-01,4.811884e-01,4.811884e-03
3.593032e-01,1.608469e-01,5.207882e-01,5.207882e-03
3.615772e-01,1.582861e-01,5.566661e-01,5.566661e-03
3.638513e-01,1.543055e-01,5.463973e-01,5.463973e-03
3.661254e-01,1.492210e-01,5.490892e-01,5.490892e-03
3.683994e-01,1.446794e-01,5.465678e-01,5.465678e-03
3.706735e-01,1.444763e-01,6.049792e-01,6.049792e-03
3.729476e-01,1.377379e-01,5.814154e-01,5.814154e-03
3.752217e-01,1.337666e-01,4.954257e-01,4.954257e-03
3.774957e-01,1.247254e-01,3.929710e-01,3.929710e-03
3.797698e-01,1.196607e-01,3.593878e-01,3.593878e-03
3.820439e-01,1.138783e-01,3.448634e-01,3.448634e-03
3.843179e-01,1.112132e-01,3.089632e-01,3.089632e-03
3.865920e-01,1.079356e-01,2.991391e-01,2.991391e-03
3.888661e-01,1.044017e-01,2.914277e-01,2.914277e-03
3.911402e-01,1.012125e-01,2.746395e-01,2.746395e-03
3.934142e-01,9.720311e-02,2.723726e-01,2.723726e-03
3.956883e-01,9.579787e-02,2.859662e-01,2.859662e-03
3.979624e-01,9.211640e-02,2.712372e-01,2.712372e-03
4.002364e-01,8.843179e-02,2.408278e-01,2.408278e-03
4.025105e-01,8.624063e-02,2.250927e-01,2.250927e-03
4.047846e-01,8.259693e-02,2.042152e-01,2.042152e-03
4.070586e-01,8.003331e-02,2.015227e-01,2.015227e-03
4.093327e-01,7.868697e-02,1.960974e-01,1.960974e-03
4.116068e-01,7.468788e-02,1.834083e-01,1.834083e-03
4.138809e-01,7.260212e-02,1.777491e-01,1.777491e-03
4.161549e-01,6.966304e-02,1.622880e-01,1.622880e-03
4.184290e-01,6.633633e-02,1.535280e-01,1.535280e-03
4.207031e-01,6.619673e-02,1.574611e-01,1.574611e-03
4.229771e-01,6.182138e-02,1.408510e-01,1.408510e-03
4.252512e-01,6.057732e-02,1.373943e-01,1.373943e-03
4.275253e-01,5.749767e-02,1.258344e-01,1.258344e-03
4.297994e-01,5.581723e-02,1.198476e-01,1.198476e-03
4.320734e-01,5.364490e-02,1.164274e-01,1.164274e-03
