# n_sightlines = 10000
# dX = 37.252272 Mpc (comoving)
# redshift = 4.995933
# n_absorbers = 10031
# beta_fit = -1.442804
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,4.026600e-05,3,2.000000e-01,1.292447e+12
1.231141e+01,1.342200e-05,1,2.000000e-01,2.048390e+12
1.251141e+01,9.395400e-05,7,2.000000e-01,3.246479e+12
1.271141e+01,2.013300e-04,15,2.000000e-01,5.145323e+12
1.291141e+01,1.154292e-03,86,2.000000e-01,8.154787e+12
1.311141e+01,5.409066e-03,403,2.000000e-01,1.292447e+13
1.331141e+01,1.285828e-02,958,2.000000e-01,2.048390e+13
1.351141e+01,1.711305e-02,1275,2.000000e-01,3.246479e+13
1.371141e+01,1.797206e-02,1339,2.000000e-01,5.145323e+13
1.391141e+01,1.618693e-02,1206,2.000000e-01,8.154787e+13
1.411141e+01,1.264352e-02,942,2.000000e-01,1.292447e+14
1.431141e+01,1.025441e-02,764,2.000000e-01,2.048390e+14
1.451141e+01,8.012934e-03,597,2.000000e-01,3.246479e+14
1.471141e+01,5.905680e-03,440,2.000000e-01,5.145323e+14
1.491141e+01,5.019828e-03,374,2.000000e-01,8.154787e+14
1.511141e+01,3.436032e-03,256,2.000000e-01,1.292447e+15
1.531141e+01,2.724666e-03,203,2.000000e-01,2.048390e+15
1.551141e+01,2.228052e-03,166,2.000000e-01,3.246479e+15
1.571141e+01,1.999878e-03,149,2.000000e-01,5.145323e+15
1.591141e+01,1.154292e-03,86,2.000000e-01,8.154787e+15
1.611141e+01,1.301934e-03,97,2.000000e-01,1.292447e+16
1.631141e+01,1.020072e-03,76,2.000000e-01,2.048390e+16
1.651141e+01,9.529620e-04,71,2.000000e-01,3.246479e+16
1.671141e+01,6.442560e-04,48,2.000000e-01,5.145323e+16
1.691141e+01,7.113660e-04,53,2.000000e-01,8.154787e+16
1.711141e+01,5.100360e-04,38,2.000000e-01,1.292447e+17
1.731141e+01,6.845220e-04,51,2.000000e-01,2.048390e+17
1.751141e+01,5.100360e-04,38,2.000000e-01,3.246479e+17
1.771141e+01,6.308340e-04,47,2.000000e-01,5.145323e+17
1.791141e+01,4.563480e-04,34,2.000000e-01,8.154787e+17
1.811141e+01,5.368800e-04,40,2.000000e-01,1.292447e+18
1.831141e+01,4.563480e-04,34,2.000000e-01,2.048390e+18
1.851141e+01,4.563480e-04,34,2.000000e-01,3.246479e+18
1.871141e+01,3.087060e-04,23,2.000000e-01,5.145323e+18
1.891141e+01,2.415960e-04,18,2.000000e-01,8.154787e+18
1.911141e+01,2.684400e-04,20,2.000000e-01,1.292447e+19
1.931141e+01,1.879080e-04,14,2.000000e-01,2.048390e+19
1.951141e+01,1.476420e-04,11,2.000000e-01,3.246479e+19
1.971141e+01,9.395400e-05,7,2.000000e-01,5.145323e+19
1.991141e+01,6.711000e-05,5,2.000000e-01,8.154787e+19
2.011141e+01,1.342200e-05,1,2.000000e-01,1.292447e+20
2.031141e+01,1.342200e-05,1,2.000000e-01,2.048390e+20
2.051141e+01,0.000000e+00,0,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
