k_s_per_km,kPk_pi_Ω_m__0.30,kPk_pi_Ω_m__0.40,kPk_pi_Ω_m__0.50,kPk_pi_Ω_m__0.20,kPk_pi_Ω_m__0.10
9.112405e+00,2.213213e-15,6.275173e-09,7.224419e-16,1.570097e-08,9.626529e-15
9.114268e+00,2.246630e-15,6.429440e-09,7.223222e-16,1.568899e-08,9.587819e-15
9.116132e+00,2.241690e-15,6.480649e-09,7.210655e-16,1.566752e-08,9.644363e-15
9.117996e+00,2.266961e-15,6.456810e-09,7.214151e-16,1.563594e-08,9.665838e-15
9.119860e+00,2.264505e-15,6.443364e-09,7.273011e-16,1.559578e-08,9.648771e-15
9.121724e+00,2.289741e-15,6.470863e-09,7.257775e-16,1.555028e-08,9.679962e-15
9.123588e+00,2.279904e-15,6.520803e-09,7.204505e-16,1.550392e-08,9.722936e-15
9.125452e+00,2.264123e-15,6.521939e-09,7.294437e-16,1.546016e-08,9.728112e-15
9.127315e+00,2.309764e-15,6.435282e-09,7.281012e-16,1.541596e-08,9.729670e-15
9.129179e+00,2.306499e-15,6.268221e-09,7.308759e-16,1.536822e-08,9.724741e-15
9.131043e+00,2.317755e-15,6.091274e-09,7.355589e-16,1.531450e-08,9.759745e-15
9.132907e+00,2.327592e-15,5.965236e-09,7.356140e-16,1.525291e-08,9.816079e-15
9.134771e+00,2.324309e-15,5.884656e-09,7.398601e-16,1.518123e-08,9.834580e-15
9.136635e+00,2.319696e-15,5.797331e-09,7.371153e-16,1.510232e-08,9.855094e-15
9.138499e+00,2.334610e-15,5.641929e-09,7.405648e-16,1.502327e-08,9.888861e-15
9.140362e+00,2.320699e-15,5.409885e-09,7.515412e-16,1.494696e-08,9.918873e-15
9.142226e+00,2.313808e-15,5.138271e-09,7.513323e-16,1.487383e-08,9.945631e-15
9.144090e+00,2.331783e-15,4.911958e-09,7.627585e-16,1.480204e-08,9.928419e-15
9.145954e+00,2.321073e-15,4.753151e-09,7.537906e-16,1.472709e-08,9.913471e-15
9.147818e+00,2.302184e-15,4.640147e-09,7.546664e-16,1.464647e-08,9.981474e-15
9.149682e+00,2.319852e-15,4.513838e-09,7.541128e-16,1.455972e-08,1.001984e-14
9.151546e+00,2.291580e-15,4.343764e-09,7.610052e-16,1.446782e-08,1.001646e-14
9.153409e+00,2.281870e-15,4.143870e-09,7.605693e-16,1.437315e-08,1.001646e-14
9.155273e+00,2.306559e-15,3.967844e-09,7.566320e-16,1.427992e-08,1.001789e-14
9.157137e+00,2.289513e-15,3.868927e-09,7.605086e-16,1.419269e-08,1.003084e-14
9.159001e+00,2.275697e-15,3.826122e-09,7.622200e-16,1.410980e-08,1.004042e-14
9.160865e+00,2.292292e-15,3.798244e-09,7.709718e-16,1.402813e-08,1.004203e-14
9.162729e+00,2.268550e-15,3.740945e-09,7.752150e-16,1.394454e-08,1.009675e-14
9.164593e+00,2.238461e-15,3.659251e-09,7.825632e-16,1.385641e-08,1.018827e-14
9.166457e+00,2.239133e-15,3.592326e-09,7.774931e-16,1.376182e-08,1.019493e-14
9.168320e+00,2.247883e-15,3.603155e-09,7.807179e-16,1.366373e-08,1.020126e-14
9.170184e+00,2.235777e-15,3.696415e-09,7.798728e-16,1.356629e-08,1.025717e-14
9.172048e+00,2.229903e-15,3.829368e-09,7.816427e-16,1.347275e-08,1.027321e-14
9.173912e+00,2.234884e-15,3.949348e-09,7.794789e-16,1.338483e-08,1.024467e-14
9.175776e+00,2.225132e-15,4.030340e-09,7.683083e-16,1.330149e-08,1.023208e-14
9.177640e+00,2.204267e-15,4.095356e-09,7.757802e-16,1.321709e-08,1.022570e-14
9.179504e+00,2.170146e-15,4.186826e-09,7.810628e-16,1.312867e-08,1.024010e-14
9.181367e+00,2.184023e-15,4.346759e-09,7.747545e-16,1.303551e-08,1.027646e-14
9.183231e+00,2.172514e-15,4.546111e-09,7.783835e-16,1.293796e-08,1.035301e-14
9.185095e+00,2.154033e-15,4.744782e-09,7.698621e-16,1.283773e-08,1.035128e-14
9.186959e+00,2.142807e-15,4.912682e-09,7.683578e-16,1.273890e-08,1.030694e-14
9.188823e+00,2.152012e-15,5.056420e-09,7.690844e-16,1.264491e-08,1.031170e-14
9.190687e+00,2.100455e-15,5.210141e-09,7.642235e-16,1.255501e-08,1.032552e-14
9.192551e+00,2.099640e-15,5.397363e-09,7.656413e-16,1.246694e-08,1.035890e-14
9.194414e+00,2.090506e-15,5.605905e-09,7.674375e-16,1.237771e-08,1.037729e-14
9.196278e+00,2.089852e-15,5.787669e-09,7.598121e-16,1.228383e-08,1.038237e-14
9.198142e+00,2.072332e-15,5.915219e-09,7.646297e-16,1.218345e-08,1.035830e-14
9.200006e+00,2.064958e-15,5.994045e-09,7.544536e-16,1.207993e-08,1.033831e-14
9.201870e+00,2.079914e-15,6.065623e-09,7.562225e-16,1.197586e-08,1.039646e-14
9.203734e+00,2.073388e-15,6.166133e-09,7.530078e-16,1.187400e-08,1.039681e-14
9.205598e+00,2.030059e-15,6.300463e-09,7.545011e-16,1.177684e-08,1.031429e-14
9.207461e+00,2.048767e-15,6.422049e-09,7.626531e-16,1.168544e-08,1.028959e-14
9.209325e+00,2.035783e-15,6.486342e-09,7.505676e-16,1.159431e-08,1.028909e-14
9.211189e+00,2.038785e-15,6.487737e-09,7.522018e-16,1.150018e-08,1.030232e-14
9.213053e+00,2.041063e-15,6.452368e-09,7.588748e-16,1.140199e-08,1.030329e-14
9.214917e+00,2.064036e-15,6.426977e-09,7.501749e-16,1.130009e-08,1.027452e-14
9.216781e+00,2.068383e-15,6.417993e-09,7.515054e-16,1.119632e-08,1.029920e-14
9.218645e+00,2.062530e-15,6.406233e-09,7.511142e-16,1.109593e-08,1.036158e-14
9.220508e+00,2.042996e-15,6.350676e-09,7.549063e-16,1.100113e-08,1.032365e-14
9.222372e+00,2.044701e-15,6.248168e-09,7.540809e-16,1.091143e-08,1.027063e-14
9.224236e+00,2.032029e-15,6.129864e-09,7.429766e-16,1.082553e-08,1.021091e-14
9.226100e+00,2.055510e-15,6.034015e-09,7.415730e-16,1.074137e-08,1.020435e-14
9.227964e+00,2.064441e-15,5.977092e-09,7.453510e-16,1.065587e-08,1.025827e-14
9.229828e+00,2.053671e-15,5.915664e-09,7.449859e-16,1.056788e-08,1.024803e-14
9.231692e+00,2.079384e-15,5.807363e-09,7.403811e-16,1.047979e-08,1.021735e-14
9.233555e+00,2.053781e-15,5.632168e-09,7.400654e-16,1.039402e-08,1.018045e-14
9.235419e+00,2.064837e-15,5.432282e-09,7.436085e-16,1.031298e-08,1.015022e-14
9.237283e+00,2.057148e-15,5.263472e-09,7.417078e-16,1.023901e-08,1.013245e-14
9.239147e+00,2.043277e-15,5.167201e-09,7.489277e-16,1.017487e-08,1.011594e-14
9.241011e+00,2.073532e-15,5.118072e-09,7.472335e-16,1.011541e-08,1.010012e-14
9.242875e+00,2.104145e-15,5.055908e-09,7.463471e-16,1.005794e-08,1.008741e-14
9.244739e+00,2.088294e-15,4.940855e-09,7.422828e-16,1.000115e-08,1.006912e-14
9.246602e+00,2.106285e-15,4.788267e-09,7.338251e-16,9.945066e-09,1.003157e-14
9.248466e+00,2.126233e-15,4.656329e-09,7.353563e-16,9.891674e-09,9.987673e-15
9.250330e+00,2.119829e-15,4.584005e-09,7.359329e-16,9.845313e-09,9.938051e-15
9.252194e+00,2.121674e-15,4.573901e-09,7.380548e-16,9.808240e-09,9.906501e-15
9.254058e+00,2.134593e-15,4.558771e-09,7.407751e-16,9.780844e-09,9.882437e-15
9.255922e+00,2.195288e-15,4.503966e-09,7.503038e-16,9.762032e-09,9.885803e-15
9.257786e+00,2.153522e-15,4.413680e-09,7.438023e-16,9.749383e-09,9.876746e-15
9.259649e+00,2.180031e-15,4.350634e-09,7.436276e-16,9.740749e-09,9.849578e-15
9.261513e+00,2.185891e-15,4.365174e-09,7.375266e-16,9.734798e-09,9.791974e-15
9.263377e+00,2.183395e-15,4.458393e-09,7.429947e-16,9.733066e-09,9.721339e-15
9.265241e+00,2.171803e-15,4.570371e-09,7.490009e-16,9.737579e-09,9.688623e-15
9.267105e+00,2.179692e-15,4.614825e-09,7.482912e-16,9.750388e-09,9.662920e-15
9.268969e+00,2.196505e-15,4.589757e-09,7.428871e-16,9.774011e-09,9.653987e-15
9.270833e+00,2.207777e-15,4.543555e-09,7.408500e-16,9.809671e-09,9.637878e-15
9.272696e+00,2.203150e-15,4.553979e-09,7.457142e-16,9.853468e-09,9.616628e-15
9.274560e+00,2.208880e-15,4.645651e-09,7.438689e-16,9.902831e-09,9.557981e-15
9.276424e+00,2.201782e-15,4.788429e-09,7.364367e-16,9.955864e-09,9.496590e-15
9.278288e+00,2.198161e-15,4.892989e-09,7.375657e-16,1.001186e-08,9.447796e-15
9.280152e+00,2.194023e-15,4.924048e-09,7.351554e-16,1.007326e-08,9.410727e-15
9.282016e+00,2.218240e-15,4.911254e-09,7.382908e-16,1.014171e-08,9.387228e-15
9.283880e+00,2.238560e-15,4.920511e-09,7.370118e-16,1.021860e-08,9.367248e-15
9.285743e+00,2.212436e-15,4.991364e-09,7.312756e-16,1.030442e-08,9.346984e-15
9.287607e+00,2.208330e-15,5.098135e-09,7.288151e-16,1.039858e-08,9.299928e-15
9.289471e+00,2.215221e-15,5.178083e-09,7.291496e-16,1.049872e-08,9.257577e-15
9.291335e+00,2.212493e-15,5.158314e-09,7.301629e-16,1.060084e-08,9.224182e-15
9.293199e+00,2.198955e-15,5.079773e-09,7.272709e-16,1.070311e-08,9.168893e-15
9.295063e+00,2.201270e-15,5.007304e-09,7.330177e-16,1.080598e-08,9.101204e-15
9.296927e+00,2.193469e-15,5.004351e-09,7.126223e-16,1.091066e-08,9.085158e-15
9.298790e+00,2.196928e-15,5.066118e-09,7.122818e-16,1.101874e-08,9.067928e-15
9.300654e+00,2.186646e-15,5.131055e-09,7.207990e-16,1.113252e-08,9.033774e-15
9.302518e+00,2.198154e-15,5.118846e-09,7.205847e-16,1.125011e-08,9.004145e-15
9.304382e+00,2.155101e-15,5.009626e-09,7.124869e-16,1.136866e-08,8.978695e-15
9.306246e+00,2.146668e-15,4.866361e-09,7.046432e-16,1.148567e-08,8.993260e-15
9.308110e+00,2.144166e-15,4.753356e-09,7.099968e-16,1.159903e-08,9.012150e-15
9.309974e+00,2.174421e-15,4.699109e-09,7.053610e-16,1.170717e-08,8.991087e-15
9.311837e+00,2.145860e-15,4.668666e-09,7.037803e-16,1.181015e-08,8.962244e-15
9.313701e+00,2.126915e-15,4.607472e-09,6.967064e-16,1.191034e-08,8.921764e-15
9.315565e+00,2.135300e-15,4.474799e-09,6.951114e-16,1.200830e-08,8.909411e-15
9.317429e+00,2.100262e-15,4.316501e-09,6.907259e-16,1.210439e-08,8.909384e-15
9.319293e+00,2.078021e-15,4.189843e-09,6.883352e-16,1.219846e-08,8.900881e-15
9.321157e+00,2.072009e-15,4.123634e-09,6.908727e-16,1.228725e-08,8.879567e-15
9.323021e+00,2.089430e-15,4.093942e-09,6.931786e-16,1.236674e-08,8.826066e-15
9.324884e+00,2.060661e-15,4.038367e-09,6.855792e-16,1.243663e-08,8.808792e-15
9.326748e+00,2.062096e-15,3.917692e-09,6.881871e-16,1.249736e-08,8.818056e-15
9.328612e+00,2.036879e-15,3.744342e-09,6.874642e-16,1.254992e-08,8.811230e-15
9.330476e+00,2.017881e-15,3.594568e-09,6.911174e-16,1.259569e-08,8.792924e-15
9.332340e+00,1.969164e-15,3.517057e-09,6.932709e-16,1.263542e-08,8.728515e-15
9.334204e+00,1.987680e-15,3.514524e-09,6.869475e-16,1.267029e-08,8.698435e-15
9.336068e+00,2.004839e-15,3.541341e-09,6.783860e-16,1.269887e-08,8.708866e-15
9.337931e+00,1.965790e-15,3.542462e-09,6.883210e-16,1.271942e-08,8.694811e-15
9.339795e+00,1.933628e-15,3.503666e-09,6.898845e-16,1.273030e-08,8.674305e-15
9.341659e+00,1.931796e-15,3.454670e-09,6.867112e-16,1.272898e-08,8.687058e-15
9.343523e+00,1.928689e-15,3.445673e-09,6.890018e-16,1.271839e-08,8.703972e-15
9.345387e+00,1.916193e-15,3.484025e-09,6.812677e-16,1.270223e-08,8.728957e-15
9.347251e+00,1.907227e-15,3.551309e-09,6.812861e-16,1.268170e-08,8.726770e-15
9.349115e+00,1.884531e-15,3.605719e-09,6.890559e-16,1.265745e-08,8.708906e-15
9.350979e+00,1.879381e-15,3.638578e-09,6.929203e-16,1.262982e-08,8.731644e-15
9.352842e+00,1.869347e-15,3.673843e-09,6.996232e-16,1.259758e-08,8.750999e-15
9.354706e+00,1.877714e-15,3.752355e-09,6.991803e-16,1.255993e-08,8.747480e-15
9.356570e+00,1.868532e-15,3.890656e-09,6.982335e-16,1.251638e-08,8.732463e-15
9.358434e+00,1.845256e-15,4.059812e-09,6.991922e-16,1.246787e-08,8.706640e-15
9.360298e+00,1.851485e-15,4.219088e-09,7.052859e-16,1.241629e-08,8.731454e-15
9.362162e+00,1.831443e-15,4.328134e-09,7.064996e-16,1.236422e-08,8.764164e-15
9.364026e+00,1.831679e-15,4.405426e-09,7.074079e-16,1.231431e-08,8.762099e-15
9.365889e+00,1.814776e-15,4.480551e-09,7.108996e-16,1.226715e-08,8.772934e-15
9.367753e+00,1.822121e-15,4.595966e-09,7.095610e-16,1.222235e-08,8.803358e-15
9.369617e+00,1.820684e-15,4.748047e-09,7.054175e-16,1.217914e-08,8.848744e-15
9.371481e+00,1.796698e-15,4.913668e-09,7.141324e-16,1.213653e-08,8.900821e-15
9.373345e+00,1.798853e-15,5.059355e-09,7.270145e-16,1.209395e-08,8.914110e-15
9.375209e+00,1.822888e-15,5.173311e-09,7.179898e-16,1.205369e-08,8.933270e-15
9.377073e+00,1.832758e-15,5.272625e-09,7.205296e-16,1.201856e-08,8.969132e-15
9.378936e+00,1.825591e-15,5.371675e-09,7.307831e-16,1.199040e-08,9.036550e-15
9.380800e+00,1.833842e-15,5.481010e-09,7.255778e-16,1.196999e-08,9.127571e-15
9.382664e+00,1.845175e-15,5.575625e-09,7.193472e-16,1.195752e-08,9.129094e-15
9.384528e+00,1.840074e-15,5.641101e-09,7.246654e-16,1.195277e-08,9.120938e-15
9.386392e+00,1.839925e-15,5.661146e-09,7.221212e-16,1.195368e-08,9.134343e-15
9.388256e+00,1.860004e-15,5.668685e-09,7.269600e-16,1.195941e-08,9.137342e-15
9.390120e+00,1.867915e-15,5.685186e-09,7.215633e-16,1.197004e-08,9.127847e-15
9.391983e+00,1.858141e-15,5.730298e-09,7.301637e-16,1.198681e-08,9.141933e-15
9.393847e+00,1.861187e-15,5.788784e-09,7.260738e-16,1.201444e-08,9.164352e-15
9.395711e+00,1.881620e-15,5.830648e-09,7.169558e-16,1.205241e-08,9.195706e-15
9.397575e+00,1.865256e-15,5.834938e-09,7.150420e-16,1.209976e-08,9.242904e-15
9.399439e+00,1.874604e-15,5.795085e-09,7.161245e-16,1.215561e-08,9.321435e-15
9.401303e+00,1.856084e-15,5.747903e-09,7.191000e-16,1.221883e-08,9.357078e-15
9.403167e+00,1.872232e-15,5.709285e-09,7.196000e-16,1.228851e-08,9.367513e-15
9.405030e+00,1.871607e-15,5.697936e-09,7.046138e-16,1.236390e-08,9.436319e-15
9.406894e+00,1.897939e-15,5.696910e-09,7.049530e-16,1.244442e-08,9.500203e-15
9.408758e+00,1.909346e-15,5.694555e-09,7.067843e-16,1.253147e-08,9.528856e-15
9.410622e+00,1.921725e-15,5.680102e-09,7.042111e-16,1.262658e-08,9.549018e-15
9.412486e+00,1.895210e-15,5.670301e-09,6.996847e-16,1.273093e-08,9.561061e-15
9.414350e+00,1.934523e-15,5.682544e-09,6.985857e-16,1.284425e-08,9.614865e-15
9.416214e+00,1.949378e-15,5.718774e-09,6.914034e-16,1.296218e-08,9.678265e-15
9.418077e+00,1.922387e-15,5.767187e-09,6.800647e-16,1.308322e-08,9.737062e-15
9.419941e+00,1.903922e-15,5.803959e-09,6.853501e-16,1.320685e-08,9.783968e-15
9.421805e+00,1.947342e-15,5.823093e-09,6.819729e-16,1.333272e-08,9.812436e-15
9.423669e+00,1.945792e-15,5.829726e-09,6.770747e-16,1.346128e-08,9.865050e-15
9.425533e+00,1.939514e-15,5.862603e-09,6.796620e-16,1.359482e-08,9.928680e-15
9.427397e+00,1.919794e-15,5.929362e-09,6.668942e-16,1.373314e-08,1.001383e-14
9.429261e+00,1.925168e-15,6.027818e-09,6.678027e-16,1.387535e-08,1.007588e-14
9.431124e+00,1.948536e-15,6.129796e-09,6.655869e-16,1.401996e-08,1.007577e-14
9.432988e+00,1.937074e-15,6.210214e-09,6.636909e-16,1.416542e-08,1.009777e-14
9.434852e+00,1.953284e-15,6.261055e-09,6.669394e-16,1.430938e-08,1.013656e-14
9.436716e+00,1.946658e-15,6.290393e-09,6.581370e-16,1.445107e-08,1.022702e-14
9.438580e+00,1.928727e-15,6.325535e-09,6.519258e-16,1.459144e-08,1.031664e-14
9.440444e+00,1.933733e-15,6.365803e-09,6.549505e-16,1.473120e-08,1.035706e-14
9.442308e+00,1.927841e-15,6.402708e-09,6.545311e-16,1.487110e-08,1.040914e-14
9.444171e+00,1.952164e-15,6.415803e-09,6.546256e-16,1.501179e-08,1.047543e-14
9.446035e+00,1.929625e-15,6.400719e-09,6.499430e-16,1.515244e-08,1.050149e-14
9.447899e+00,1.943706e-15,6.367097e-09,6.417535e-16,1.529027e-08,1.051611e-14
9.449763e+00,1.947058e-15,6.333815e-09,6.380603e-16,1.542359e-08,1.059364e-14
9.451627e+00,1.914888e-15,6.309200e-09,6.396453e-16,1.555153e-08,1.066580e-14
9.453491e+00,1.908836e-15,6.273754e-09,6.434341e-16,1.567396e-08,1.072714e-14
9.455355e+00,1.922923e-15,6.206666e-09,6.396567e-16,1.579101e-08,1.079600e-14
9.457218e+00,1.898781e-15,6.092511e-09,6.416359e-16,1.590511e-08,1.086932e-14
9.459082e+00,1.867937e-15,5.945590e-09,6.443454e-16,1.601748e-08,1.089256e-14
9.460946e+00,1.893522e-15,5.786803e-09,6.478656e-16,1.612704e-08,1.092082e-14
9.462810e+00,1.895778e-15,5.649868e-09,6.433790e-16,1.623233e-08,1.098394e-14
9.464674e+00,1.870791e-15,5.530796e-09,6.435547e-16,1.633192e-08,1.104738e-14
9.466538e+00,1.868815e-15,5.411995e-09,6.418968e-16,1.642274e-08,1.111115e-14
9.468402e+00,1.883557e-15,5.274851e-09,6.398386e-16,1.650624e-08,1.111993e-14
9.470265e+00,1.883507e-15,5.113591e-09,6.423247e-16,1.658319e-08,1.111927e-14
9.472129e+00,1.853770e-15,4.947298e-09,6.486377e-16,1.665487e-08,1.115913e-14
9.473993e+00,1.874891e-15,4.789170e-09,6.448337e-16,1.672252e-08,1.122416e-14
9.475857e+00,1.875807e-15,4.657430e-09,6.423441e-16,1.678673e-08,1.132893e-14
9.477721e+00,1.861861e-15,4.531994e-09,6.385505e-16,1.684652e-08,1.134230e-14
9.479585e+00,1.852909e-15,4.406323e-09,6.482472e-16,1.690073e-08,1.131304e-14
9.481449e+00,1.870473e-15,4.276204e-09,6.438567e-16,1.694809e-08,1.134586e-14
9.483312e+00,1.873306e-15,4.162874e-09,6.423737e-16,1.698803e-08,1.137188e-14
9.485176e+00,1.847648e-15,4.086160e-09,6.501956e-16,1.702098e-08,1.137534e-14
9.487040e+00,1.853341e-15,4.057820e-09,6.530670e-16,1.704687e-08,1.141516e-14
9.488904e+00,1.859604e-15,4.060953e-09,6.561679e-16,1.706931e-08,1.148317e-14
9.490768e+00,1.861721e-15,4.063209e-09,6.602513e-16,1.708991e-08,1.147672e-14
9.492632e+00,1.859722e-15,4.055279e-09,6.583390e-16,1.710879e-08,1.146310e-14
9.494496e+00,1.862780e-15,4.040674e-09,6.611532e-16,1.712504e-08,1.147887e-14
9.496359e+00,1.885510e-15,4.053601e-09,6.642468e-16,1.713612e-08,1.148929e-14
9.498223e+00,1.853014e-15,4.107981e-09,6.626834e-16,1.714072e-08,1.149303e-14
9.500087e+00,1.855162e-15,4.212458e-09,6.657117e-16,1.714078e-08,1.150806e-14
9.501951e+00,1.874348e-15,4.331806e-09,6.670216e-16,1.713745e-08,1.152422e-14
9.503815e+00,1.883805e-15,4.447497e-09,6.757927e-16,1.713214e-08,1.145631e-14
9.505679e+00,1.893612e-15,4.552953e-09,6.834862e-16,1.712648e-08,1.140861e-14
9.507543e+00,1.881270e-15,4.663720e-09,6.850020e-16,1.712222e-08,1.140260e-14
9.509406e+00,1.889622e-15,4.798520e-09,6.772583e-16,1.711859e-08,1.138611e-14
9.511270e+00,1.878534e-15,4.948619e-09,6.851364e-16,1.711433e-08,1.136322e-14
9.513134e+00,1.895578e-15,5.098655e-09,6.790835e-16,1.710845e-08,1.133898e-14
9.514998e+00,1.936880e-15,5.214472e-09,6.835480e-16,1.710043e-08,1.132108e-14
9.516862e+00,1.930264e-15,5.301287e-09,6.869775e-16,1.709096e-08,1.132774e-14
9.518726e+00,1.927652e-15,5.372530e-09,6.807378e-16,1.708199e-08,1.134652e-14
9.520590e+00,1.924348e-15,5.461741e-09,6.971158e-16,1.707494e-08,1.137731e-14
9.522453e+00,1.936812e-15,5.566840e-09,6.915651e-16,1.707117e-08,1.132212e-14
9.524317e+00,1.924031e-15,5.666286e-09,7.010843e-16,1.707145e-08,1.125384e-14
9.526181e+00,1.918795e-15,5.723207e-09,6.975801e-16,1.707571e-08,1.127691e-14
9.528045e+00,1.918785e-15,5.722183e-09,6.982241e-16,1.708171e-08,1.124913e-14
9.529909e+00,1.937910e-15,5.681102e-09,7.079629e-16,1.708722e-08,1.113963e-14
9.531773e+00,1.930399e-15,5.628951e-09,7.079451e-16,1.709320e-08,1.111689e-14
9.533637e+00,1.971918e-15,5.590943e-09,7.116302e-16,1.710078e-08,1.113544e-14
9.535501e+00,1.966132e-15,5.544376e-09,7.099466e-16,1.711117e-08,1.111575e-14
9.537364e+00,1.982244e-15,5.469779e-09,7.163286e-16,1.712582e-08,1.106358e-14
9.539228e+00,1.968181e-15,5.342676e-09,7.240240e-16,1.714670e-08,1.092437e-14
9.541092e+00,2.003228e-15,5.184576e-09,7.301529e-16,1.717225e-08,1.088780e-14
9.542956e+00,2.010253e-15,5.026119e-09,7.253466e-16,1.720096e-08,1.093221e-14
9.544820e+00,2.031978e-15,4.896730e-09,7.225788e-16,1.723126e-08,1.089188e-14
9.546684e+00,2.028533e-15,4.788894e-09,7.262600e-16,1.726178e-08,1.082978e-14
9.548548e+00,2.064111e-15,4.662657e-09,7.259243e-16,1.729278e-08,1.072605e-14
9.550411e+00,2.058487e-15,4.498691e-09,7.302648e-16,1.732640e-08,1.066367e-14
9.552275e+00,2.049492e-15,4.303344e-09,7.344869e-16,1.736324e-08,1.065371e-14
9.554139e+00,2.037265e-15,4.122609e-09,7.290107e-16,1.740337e-08,1.059616e-14
9.556003e+00,2.079263e-15,3.991959e-09,7.298765e-16,1.744680e-08,1.052196e-14
9.557867e+00,2.053620e-15,3.923590e-09,7.300074e-16,1.749390e-08,1.046651e-14
9.559731e+00,2.065391e-15,3.881192e-09,7.331595e-16,1.754311e-08,1.040939e-14
9.561595e+00,2.095850e-15,3.830266e-09,7.347057e-16,1.759095e-08,1.034872e-14
9.563458e+00,2.092346e-15,3.768878e-09,7.403034e-16,1.763692e-08,1.031458e-14
9.565322e+00,2.080961e-15,3.733000e-09,7.275733e-16,1.768162e-08,1.029692e-14
9.567186e+00,2.100923e-15,3.761976e-09,7.340925e-16,1.772623e-08,1.017192e-14
9.569050e+00,2.090137e-15,3.862104e-09,7.282361e-16,1.777212e-08,1.004152e-14
9.570914e+00,2.096527e-15,4.005205e-09,7.441004e-16,1.781933e-08,9.931618e-15
9.572778e+00,2.092979e-15,4.134234e-09,7.279036e-16,1.786703e-08,9.853391e-15
9.574642e+00,2.102026e-15,4.246055e-09,7.342491e-16,1.791413e-08,9.807115e-15
9.576505e+00,2.118227e-15,4.370666e-09,7.255332e-16,1.795918e-08,9.758297e-15
9.578369e+00,2.117586e-15,4.557749e-09,7.318325e-16,1.800038e-08,9.704213e-15
9.580233e+00,2.126583e-15,4.822590e-09,7.162971e-16,1.803494e-08,9.601201e-15
9.582097e+00,2.132567e-15,5.133543e-09,7.253709e-16,1.806563e-08,9.522917e-15
9.583961e+00,2.133283e-15,5.431645e-09,7.192394e-16,1.809371e-08,9.485102e-15
9.585825e+00,2.130569e-15,5.677926e-09,7.113110e-16,1.811952e-08,9.437211e-15
9.587689e+00,2.153464e-15,5.902178e-09,7.097518e-16,1.814266e-08,9.384429e-15
9.589552e+00,2.147704e-15,6.146004e-09,7.087666e-16,1.816189e-08,9.322786e-15
9.591416e+00,2.147803e-15,6.436421e-09,7.112512e-16,1.817619e-08,9.244351e-15
9.593280e+00,2.133990e-15,6.746782e-09,7.089942e-16,1.818391e-08,9.119248e-15
9.595144e+00,2.149225e-15,7.025317e-09,6.949065e-16,1.818359e-08,9.047787e-15
9.597008e+00,2.134722e-15,7.225041e-09,6.841545e-16,1.817488e-08,9.019386e-15
9.598872e+00,2.145555e-15,7.374065e-09,6.854962e-16,1.815875e-08,8.956891e-15
9.600736e+00,2.164956e-15,7.524906e-09,6.870458e-16,1.813511e-08,8.887250e-15
9.602599e+00,2.150221e-15,7.707923e-09,6.886270e-16,1.810574e-08,8.811233e-15
9.604463e+00,2.128235e-15,7.906985e-09,6.823619e-16,1.807032e-08,8.711658e-15
9.606327e+00,2.124707e-15,8.058673e-09,6.790146e-16,1.802816e-08,8.581681e-15
9.608191e+00,2.115540e-15,8.116796e-09,6.733737e-16,1.797824e-08,8.567848e-15
9.610055e+00,2.119008e-15,8.082090e-09,6.781351e-16,1.791787e-08,8.594875e-15
9.611919e+00,2.078839e-15,8.025366e-09,6.768742e-16,1.784464e-08,8.538439e-15
9.613783e+00,2.088973e-15,7.989158e-09,6.629937e-16,1.776094e-08,8.467241e-15
9.615646e+00,2.104413e-15,7.973909e-09,6.584455e-16,1.766831e-08,8.364459e-15
9.617510e+00,2.114407e-15,7.932379e-09,6.568683e-16,1.756787e-08,8.278951e-15
9.619374e+00,2.105066e-15,7.816316e-09,6.574459e-16,1.746021e-08,8.204450e-15
9.621238e+00,2.097434e-15,7.627606e-09,6.608198e-16,1.734252e-08,8.150859e-15
9.623102e+00,2.089569e-15,7.420343e-09,6.578613e-16,1.721616e-08,8.103288e-15
9.624966e+00,2.058769e-15,7.249814e-09,6.510467e-16,1.708069e-08,8.071117e-15
9.626830e+00,2.057849e-15,7.108723e-09,6.443455e-16,1.693503e-08,8.014346e-15
9.628693e+00,2.060294e-15,6.955184e-09,6.434518e-16,1.677845e-08,7.932377e-15
9.630557e+00,2.029055e-15,6.732805e-09,6.516673e-16,1.661024e-08,7.924558e-15
9.632421e+00,1.989695e-15,6.445120e-09,6.483114e-16,1.643276e-08,7.929824e-15
9.634285e+00,2.001717e-15,6.144983e-09,6.447891e-16,1.624920e-08,7.855749e-15
9.636149e+00,1.997491e-15,5.899696e-09,6.463977e-16,1.605968e-08,7.793972e-15
9.638013e+00,2.000103e-15,5.718299e-09,6.516946e-16,1.586412e-08,7.752690e-15
9.639877e+00,1.982961e-15,5.558190e-09,6.400696e-16,1.566235e-08,7.721102e-15
9.641740e+00,2.009732e-15,5.367047e-09,6.384165e-16,1.545247e-08,7.694324e-15
9.643604e+00,1.993227e-15,5.123732e-09,6.389259e-16,1.523472e-08,7.641663e-15
9.645468e+00,1.985373e-15,4.882351e-09,6.273539e-16,1.500986e-08,7.591771e-15
9.647332e+00,1.990374e-15,4.685608e-09,6.267077e-16,1.477922e-08,7.552834e-15
9.649196e+00,1.992683e-15,4.552293e-09,6.343022e-16,1.454476e-08,7.524892e-15
