k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,4.695181e+03,1.723983e+04,1.723983e+02
1.731168e-03,4.688183e+03,1.740886e+04,1.740886e+02
3.462337e-03,4.543909e+03,1.648265e+04,1.648265e+02
5.193505e-03,4.305160e+03,1.537576e+04,1.537576e+02
6.924674e-03,4.103310e+03,1.422846e+04,1.422846e+02
8.655842e-03,3.907350e+03,1.368395e+04,1.368395e+02
1.038701e-02,3.715011e+03,1.241970e+04,1.241970e+02
1.211818e-02,3.501837e+03,1.140199e+04,1.140199e+02
1.384935e-02,3.204449e+03,1.020371e+04,1.020371e+02
1.558052e-02,3.088061e+03,9.475059e+03,9.475059e+01
1.731168e-02,2.938547e+03,8.946448e+03,8.946448e+01
1.904285e-02,2.743572e+03,8.111186e+03,8.111186e+01
2.077402e-02,2.607994e+03,7.855297e+03,7.855297e+01
2.250519e-02,2.451133e+03,6.936931e+03,6.936931e+01
2.423636e-02,2.268969e+03,6.352425e+03,6.352425e+01
2.596753e-02,2.160530e+03,6.014701e+03,6.014701e+01
2.769869e-02,2.035312e+03,5.626092e+03,5.626092e+01
2.942986e-02,1.939905e+03,5.657620e+03,5.657620e+01
3.116103e-02,1.760661e+03,4.713822e+03,4.713822e+01
3.289220e-02,1.627026e+03,4.502448e+03,4.502448e+01
3.462337e-02,1.539559e+03,4.231174e+03,4.231174e+01
3.635454e-02,1.438519e+03,3.905646e+03,3.905646e+01
3.808571e-02,1.336350e+03,3.749359e+03,3.749359e+01
3.981687e-02,1.248431e+03,3.340148e+03,3.340148e+01
4.154804e-02,1.162547e+03,3.141114e+03,3.141114e+01
4.327921e-02,1.055638e+03,2.806431e+03,2.806431e+01
4.501038e-02,9.869429e+02,2.611593e+03,2.611593e+01
4.674155e-02,9.161592e+02,2.307600e+03,2.307600e+01
4.847272e-02,8.397473e+02,2.066336e+03,2.066336e+01
5.020388e-02,7.690783e+02,1.907379e+03,1.907379e+01
5.193505e-02,7.143129e+02,1.753758e+03,1.753758e+01
5.366622e-02,6.806574e+02,1.667098e+03,1.667098e+01
5.539739e-02,6.088216e+02,1.505813e+03,1.505813e+01
5.712856e-02,5.557482e+02,1.424322e+03,1.424322e+01
5.885973e-02,5.254476e+02,1.328432e+03,1.328432e+01
6.059089e-02,4.854621e+02,1.202412e+03,1.202412e+01
6.232206e-02,4.484812e+02,1.122005e+03,1.122005e+01
