# n_sightlines = 10000
# dX = 37.252272 Mpc (comoving)
# redshift = 4.995933
# n_absorbers = 13936
# beta_fit = -0.366995
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,2.711244e-03,202,2.000000e-01,1.292447e+12
1.231141e+01,3.543408e-03,264,2.000000e-01,2.048390e+12
1.251141e+01,4.093710e-03,305,2.000000e-01,3.246479e+12
1.271141e+01,4.939296e-03,368,2.000000e-01,5.145323e+12
1.291141e+01,5.892258e-03,439,2.000000e-01,8.154787e+12
1.311141e+01,9.207492e-03,686,2.000000e-01,1.292447e+13
1.331141e+01,1.228113e-02,915,2.000000e-01,2.048390e+13
1.351141e+01,1.501922e-02,1119,2.000000e-01,3.246479e+13
1.371141e+01,1.669697e-02,1244,2.000000e-01,5.145323e+13
1.391141e+01,1.565005e-02,1166,2.000000e-01,8.154787e+13
1.411141e+01,1.460314e-02,1088,2.000000e-01,1.292447e+14
1.431141e+01,1.273748e-02,949,2.000000e-01,2.048390e+14
1.451141e+01,1.026783e-02,765,2.000000e-01,3.246479e+14
1.471141e+01,8.106888e-03,604,2.000000e-01,5.145323e+14
1.491141e+01,7.167348e-03,534,2.000000e-01,8.154787e+14
1.511141e+01,5.435910e-03,405,2.000000e-01,1.292447e+15
1.531141e+01,4.737966e-03,353,2.000000e-01,2.048390e+15
1.551141e+01,3.878958e-03,289,2.000000e-01,3.246479e+15
1.571141e+01,3.717894e-03,277,2.000000e-01,5.145323e+15
1.591141e+01,2.832042e-03,211,2.000000e-01,8.154787e+15
1.611141e+01,2.483070e-03,185,2.000000e-01,1.292447e+16
1.631141e+01,2.053566e-03,153,2.000000e-01,2.048390e+16
1.651141e+01,1.892502e-03,141,2.000000e-01,3.246479e+16
1.671141e+01,1.691172e-03,126,2.000000e-01,5.145323e+16
1.691141e+01,1.489842e-03,111,2.000000e-01,8.154787e+16
1.711141e+01,1.315356e-03,98,2.000000e-01,1.292447e+17
1.731141e+01,1.288512e-03,96,2.000000e-01,2.048390e+17
1.751141e+01,1.462998e-03,109,2.000000e-01,3.246479e+17
1.771141e+01,1.436154e-03,107,2.000000e-01,5.145323e+17
1.791141e+01,1.436154e-03,107,2.000000e-01,8.154787e+17
1.811141e+01,1.422732e-03,106,2.000000e-01,1.292447e+18
1.831141e+01,1.288512e-03,96,2.000000e-01,2.048390e+18
1.851141e+01,8.992740e-04,67,2.000000e-01,3.246479e+18
1.871141e+01,8.858520e-04,66,2.000000e-01,5.145323e+18
1.891141e+01,8.321640e-04,62,2.000000e-01,8.154787e+18
1.911141e+01,5.503020e-04,41,2.000000e-01,1.292447e+19
1.931141e+01,4.429260e-04,33,2.000000e-01,2.048390e+19
1.951141e+01,2.013300e-04,15,2.000000e-01,3.246479e+19
1.971141e+01,2.147520e-04,16,2.000000e-01,5.145323e+19
1.991141e+01,1.342200e-04,10,2.000000e-01,8.154787e+19
2.011141e+01,6.711000e-05,5,2.000000e-01,1.292447e+20
2.031141e+01,1.342200e-05,1,2.000000e-01,2.048390e+20
2.051141e+01,1.342200e-05,1,2.000000e-01,3.246479e+20
2.071141e+01,1.342200e-05,1,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
