# n_sightlines = 10000
# dX = 37.252272 Mpc (comoving)
# redshift = 4.995933
# n_absorbers = 15015
# beta_fit = -0.280959
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,3.972912e-03,296,2.000000e-01,1.292447e+12
1.231141e+01,4.657434e-03,347,2.000000e-01,2.048390e+12
1.251141e+01,5.543286e-03,413,2.000000e-01,3.246479e+12
1.271141e+01,6.885486e-03,513,2.000000e-01,5.145323e+12
1.291141e+01,8.804832e-03,656,2.000000e-01,8.154787e+12
1.311141e+01,1.242877e-02,926,2.000000e-01,1.292447e+13
1.331141e+01,1.579769e-02,1177,2.000000e-01,2.048390e+13
1.351141e+01,1.829419e-02,1363,2.000000e-01,3.246479e+13
1.371141e+01,1.797206e-02,1339,2.000000e-01,5.145323e+13
1.391141e+01,1.740833e-02,1297,2.000000e-01,8.154787e+13
1.411141e+01,1.378439e-02,1027,2.000000e-01,1.292447e+14
1.431141e+01,1.182478e-02,881,2.000000e-01,2.048390e+14
1.451141e+01,9.757794e-03,727,2.000000e-01,3.246479e+14
1.471141e+01,8.200842e-03,611,2.000000e-01,5.145323e+14
1.491141e+01,6.362028e-03,474,2.000000e-01,8.154787e+14
1.511141e+01,5.462754e-03,407,2.000000e-01,1.292447e+15
1.531141e+01,4.066866e-03,303,2.000000e-01,2.048390e+15
1.551141e+01,4.187664e-03,312,2.000000e-01,3.246479e+15
1.571141e+01,3.033372e-03,226,2.000000e-01,5.145323e+15
1.591141e+01,2.684400e-03,200,2.000000e-01,8.154787e+15
1.611141e+01,2.577024e-03,192,2.000000e-01,1.292447e+16
1.631141e+01,1.852236e-03,138,2.000000e-01,2.048390e+16
1.651141e+01,1.838814e-03,137,2.000000e-01,3.246479e+16
1.671141e+01,1.436154e-03,107,2.000000e-01,5.145323e+16
1.691141e+01,1.328778e-03,99,2.000000e-01,8.154787e+16
1.711141e+01,1.207980e-03,90,2.000000e-01,1.292447e+17
1.731141e+01,1.221402e-03,91,2.000000e-01,2.048390e+17
1.751141e+01,9.932280e-04,74,2.000000e-01,3.246479e+17
1.771141e+01,1.127448e-03,84,2.000000e-01,5.145323e+17
1.791141e+01,1.087182e-03,81,2.000000e-01,8.154787e+17
1.811141e+01,1.154292e-03,86,2.000000e-01,1.292447e+18
1.831141e+01,1.100604e-03,82,2.000000e-01,2.048390e+18
1.851141e+01,9.932280e-04,74,2.000000e-01,3.246479e+18
1.871141e+01,8.187420e-04,61,2.000000e-01,5.145323e+18
1.891141e+01,6.174120e-04,46,2.000000e-01,8.154787e+18
1.911141e+01,3.355500e-04,25,2.000000e-01,1.292447e+19
1.931141e+01,2.013300e-04,15,2.000000e-01,2.048390e+19
1.951141e+01,1.207980e-04,9,2.000000e-01,3.246479e+19
1.971141e+01,2.147520e-04,16,2.000000e-01,5.145323e+19
1.991141e+01,5.368800e-05,4,2.000000e-01,8.154787e+19
2.011141e+01,6.711000e-05,5,2.000000e-01,1.292447e+20
2.031141e+01,4.026600e-05,3,2.000000e-01,2.048390e+20
2.051141e+01,0.000000e+00,0,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,2.000000e-01,5.145323e+20
2.091141e+01,1.342200e-05,1,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
