k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,5.348183e+02,7.871559e+02,7.871559e+00
1.617244e-03,5.235741e+02,6.343868e+02,6.343868e+00
3.234489e-03,4.908509e+02,6.060105e+02,6.060105e+00
4.851733e-03,4.342719e+02,5.372052e+02,5.372052e+00
6.468978e-03,3.895905e+02,4.520695e+02,4.520695e+00
8.086222e-03,3.409284e+02,4.031462e+02,4.031462e+00
9.703466e-03,3.183225e+02,3.634722e+02,3.634722e+00
1.132071e-02,2.856727e+02,3.315459e+02,3.315459e+00
1.293796e-02,2.577815e+02,2.930091e+02,2.930091e+00
1.455520e-02,2.386153e+02,2.697862e+02,2.697862e+00
1.617244e-02,2.142581e+02,2.394695e+02,2.394695e+00
1.778969e-02,1.944624e+02,2.144855e+02,2.144855e+00
1.940693e-02,1.783337e+02,1.997373e+02,1.997373e+00
2.102418e-02,1.609193e+02,1.860144e+02,1.860144e+00
2.264142e-02,1.477708e+02,1.654319e+02,1.654319e+00
2.425867e-02,1.350586e+02,1.495050e+02,1.495050e+00
2.587591e-02,1.259506e+02,1.393757e+02,1.393757e+00
2.749315e-02,1.121524e+02,1.242349e+02,1.242349e+00
2.911040e-02,1.018517e+02,1.124750e+02,1.124750e+00
3.072764e-02,9.505981e+01,1.036630e+02,1.036630e+00
3.234489e-02,8.712836e+01,9.731145e+01,9.731145e-01
3.396213e-02,7.988106e+01,8.762860e+01,8.762860e-01
3.557938e-02,7.199101e+01,7.962686e+01,7.962686e-01
3.719662e-02,6.551620e+01,7.380412e+01,7.380412e-01
3.881387e-02,5.956420e+01,6.683123e+01,6.683123e-01
4.043111e-02,5.454732e+01,6.107559e+01,6.107559e-01
4.204835e-02,5.036411e+01,5.784938e+01,5.784938e-01
4.366560e-02,4.599078e+01,5.332904e+01,5.332904e-01
4.528284e-02,4.113504e+01,4.651929e+01,4.651929e-01
4.690009e-02,3.799606e+01,4.445489e+01,4.445489e-01
4.851733e-02,3.413156e+01,3.808636e+01,3.808636e-01
5.013458e-02,3.146861e+01,3.543913e+01,3.543913e-01
5.175182e-02,2.822128e+01,3.119835e+01,3.119835e-01
5.336907e-02,2.601921e+01,2.942522e+01,2.942522e-01
5.498631e-02,2.346597e+01,2.574817e+01,2.574817e-01
5.660355e-02,2.122053e+01,2.374606e+01,2.374606e-01
5.822080e-02,1.956299e+01,2.219088e+01,2.219088e-01
5.983804e-02,1.814292e+01,2.096436e+01,2.096436e-01
6.145529e-02,1.677157e+01,1.939438e+01,1.939438e-01
6.307253e-02,1.532892e+01,1.769272e+01,1.769272e-01
6.468978e-02,1.423498e+01,1.620332e+01,1.620332e-01
6.630702e-02,1.289532e+01,1.459917e+01,1.459917e-01
6.792427e-02,1.202364e+01,1.359765e+01,1.359765e-01
6.954151e-02,1.109944e+01,1.269457e+01,1.269457e-01
7.115875e-02,9.993791e+00,1.110066e+01,1.110066e-01
7.277600e-02,9.679887e+00,1.087550e+01,1.087550e-01
7.439324e-02,8.874516e+00,9.898417e+00,9.898417e-02
7.601049e-02,8.267655e+00,9.326688e+00,9.326688e-02
7.762773e-02,7.618771e+00,8.847972e+00,8.847972e-02
7.924498e-02,7.407496e+00,8.605091e+00,8.605091e-02
8.086222e-02,7.003192e+00,8.389681e+00,8.389681e-02
8.247946e-02,6.454658e+00,7.401229e+00,7.401229e-02
8.409671e-02,6.195051e+00,7.059345e+00,7.059345e-02
8.571395e-02,5.878710e+00,6.984745e+00,6.984745e-02
8.733120e-02,5.659651e+00,6.515718e+00,6.515718e-02
8.894844e-02,5.331699e+00,6.359894e+00,6.359894e-02
9.056569e-02,5.193853e+00,6.586298e+00,6.586298e-02
9.218293e-02,5.060021e+00,6.290033e+00,6.290033e-02
9.380018e-02,5.000223e+00,6.314003e+00,6.314003e-02
9.541742e-02,4.893433e+00,6.249668e+00,6.249668e-02
9.703466e-02,4.728279e+00,6.402486e+00,6.402486e-02
9.865191e-02,4.663118e+00,6.448799e+00,6.448799e-02
1.002692e-01,4.708480e+00,6.744333e+00,6.744333e-02
1.018864e-01,4.664566e+00,6.518315e+00,6.518315e-02
1.035036e-01,4.721930e+00,6.802817e+00,6.802817e-02
1.051209e-01,4.731965e+00,6.853028e+00,6.853028e-02
1.067381e-01,4.811996e+00,7.505023e+00,7.505023e-02
1.083554e-01,4.841612e+00,7.633227e+00,7.633227e-02
1.099726e-01,5.030347e+00,8.316072e+00,8.316072e-02
1.115899e-01,5.137736e+00,9.832189e+00,9.832189e-02
1.132071e-01,5.445109e+00,1.000216e+01,1.000216e-01
1.148244e-01,5.587629e+00,1.025741e+01,1.025741e-01
1.164416e-01,5.564643e+00,9.753426e+00,9.753426e-02
1.180588e-01,5.881383e+00,1.036192e+01,1.036192e-01
1.196761e-01,6.041411e+00,1.082832e+01,1.082832e-01
1.212933e-01,6.037039e+00,1.014419e+01,1.014419e-01
1.229106e-01,6.369123e+00,1.084894e+01,1.084894e-01
1.245278e-01,6.591308e+00,1.116364e+01,1.116364e-01
1.261451e-01,6.620421e+00,1.090764e+01,1.090764e-01
1.277623e-01,6.828349e+00,1.163133e+01,1.163133e-01
1.293796e-01,6.840989e+00,1.171149e+01,1.171149e-01
1.309968e-01,7.079007e+00,1.186565e+01,1.186565e-01
1.326140e-01,7.155361e+00,1.100893e+01,1.100893e-01
1.342313e-01,7.105635e+00,1.070914e+01,1.070914e-01
1.358485e-01,7.231352e+00,1.085068e+01,1.085068e-01
1.374658e-01,7.257423e+00,1.053355e+01,1.053355e-01
1.390830e-01,7.497316e+00,1.127866e+01,1.127866e-01
1.407003e-01,7.206744e+00,1.037360e+01,1.037360e-01
1.423175e-01,7.571057e+00,1.112387e+01,1.112387e-01
1.439348e-01,7.479608e+00,1.033631e+01,1.033631e-01
1.455520e-01,7.160481e+00,9.691013e+00,9.691013e-02
1.471692e-01,7.206507e+00,9.936566e+00,9.936566e-02
1.487865e-01,7.074792e+00,9.462625e+00,9.462625e-02
1.504037e-01,7.157042e+00,9.211995e+00,9.211995e-02
1.520210e-01,6.798597e+00,8.667868e+00,8.667868e-02
