k_s_per_km,kPk_pi_p1_2,kPk_pi_p2_2,kPk_pi_p7_2,kPk_pi_p8_2,kPk_pi_p9_2
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.114888e-04,2.557412e-04,3.065569e-04,6.832023e-04,6.471749e-04,3.234729e-04
8.229775e-04,4.201054e-04,5.206580e-04,1.191604e-03,1.140650e-03,5.511206e-04
1.234466e-03,5.330586e-04,6.701283e-04,1.519568e-03,1.447619e-03,7.022659e-04
1.645955e-03,6.033747e-04,7.611693e-04,1.745498e-03,1.654763e-03,7.947993e-04
2.057444e-03,6.567261e-04,8.405441e-04,1.932960e-03,1.816399e-03,8.754393e-04
2.468933e-03,6.830808e-04,8.803801e-04,1.996097e-03,1.863196e-03,9.090212e-04
2.880421e-03,6.814839e-04,8.855887e-04,1.989650e-03,1.855825e-03,9.126918e-04
3.291910e-03,6.658900e-04,8.803348e-04,1.960841e-03,1.827645e-03,8.973589e-04
3.703399e-03,6.485331e-04,8.622076e-04,1.885476e-03,1.757811e-03,8.633526e-04
4.114888e-03,6.074952e-04,8.243236e-04,1.795414e-03,1.680499e-03,8.233043e-04
4.526376e-03,5.833218e-04,7.793062e-04,1.733934e-03,1.610387e-03,7.682758e-04
4.937865e-03,5.400120e-04,7.413969e-04,1.664934e-03,1.533773e-03,7.407422e-04
5.349354e-03,5.150488e-04,7.082561e-04,1.573886e-03,1.457972e-03,6.872488e-04
5.760843e-03,4.936601e-04,6.523981e-04,1.506789e-03,1.389831e-03,6.567735e-04
6.172331e-03,4.534591e-04,6.117999e-04,1.385679e-03,1.292637e-03,6.186016e-04
6.583820e-03,4.177370e-04,5.688855e-04,1.312971e-03,1.210192e-03,5.686072e-04
6.995309e-03,3.931081e-04,5.382506e-04,1.231550e-03,1.124095e-03,5.274126e-04
7.406798e-03,3.569339e-04,5.012082e-04,1.125749e-03,1.057117e-03,4.866628e-04
7.818287e-03,3.282556e-04,4.642885e-04,1.042731e-03,9.753404e-04,4.471006e-04
8.229775e-03,3.084800e-04,4.281068e-04,9.726376e-04,8.915520e-04,4.133620e-04
8.641264e-03,2.845011e-04,3.954843e-04,8.975233e-04,8.216332e-04,3.795508e-04
9.052753e-03,2.668470e-04,3.681994e-04,8.251232e-04,7.640069e-04,3.512244e-04
9.464242e-03,2.487942e-04,3.448776e-04,7.648431e-04,7.114936e-04,3.294520e-04
9.875730e-03,2.274233e-04,3.210978e-04,7.112119e-04,6.599397e-04,3.059214e-04
1.028722e-02,2.095394e-04,2.935312e-04,6.590966e-04,6.097680e-04,2.851254e-04
1.069871e-02,1.956451e-04,2.740756e-04,6.092681e-04,5.620542e-04,2.556125e-04
1.111020e-02,1.799647e-04,2.548214e-04,5.557097e-04,5.239127e-04,2.348820e-04
1.152169e-02,1.653407e-04,2.355927e-04,5.109887e-04,4.824121e-04,2.181670e-04
1.193317e-02,1.515692e-04,2.195892e-04,4.815413e-04,4.521803e-04,2.013151e-04
1.234466e-02,1.400577e-04,2.001989e-04,4.442815e-04,4.152232e-04,1.860473e-04
1.275615e-02,1.278953e-04,1.853955e-04,4.014605e-04,3.856869e-04,1.702887e-04
1.316764e-02,1.196711e-04,1.712720e-04,3.729432e-04,3.526840e-04,1.555026e-04
1.357913e-02,1.079448e-04,1.578705e-04,3.412340e-04,3.234188e-04,1.453485e-04
1.399062e-02,9.770865e-05,1.460603e-04,3.101038e-04,2.975772e-04,1.340277e-04
1.440211e-02,9.013795e-05,1.347808e-04,2.865331e-04,2.739619e-04,1.214581e-04
1.481360e-02,8.272974e-05,1.231072e-04,2.634382e-04,2.520639e-04,1.106501e-04
1.522508e-02,7.620724e-05,1.127190e-04,2.390047e-04,2.300895e-04,1.014041e-04
1.563657e-02,6.907133e-05,1.046403e-04,2.201279e-04,2.093206e-04,9.240144e-05
1.604806e-02,6.339458e-05,9.634748e-05,2.022222e-04,1.925478e-04,8.402215e-05
1.645955e-02,5.767216e-05,8.813043e-05,1.827843e-04,1.743809e-04,7.729197e-05
1.687104e-02,5.378038e-05,8.248589e-05,1.691114e-04,1.603306e-04,7.097678e-05
1.728253e-02,4.812645e-05,7.366962e-05,1.533938e-04,1.460721e-04,6.527431e-05
1.769402e-02,4.412439e-05,6.970776e-05,1.405383e-04,1.350050e-04,5.904503e-05
1.810551e-02,4.018506e-05,6.364376e-05,1.297504e-04,1.236423e-04,5.338611e-05
1.851699e-02,3.697685e-05,5.742619e-05,1.188199e-04,1.131035e-04,4.961525e-05
1.892848e-02,3.348578e-05,5.270803e-05,1.069803e-04,1.038340e-04,4.433501e-05
1.933997e-02,3.099316e-05,4.862089e-05,9.801260e-05,9.593293e-05,4.046245e-05
