# n_sightlines = 10000
# dX = 37.252272 Mpc (comoving)
# redshift = 2.998646
# n_absorbers = 27498
# beta_fit = 0.604076
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,7.988774e-02,5952,2.000000e-01,1.292447e+12
1.231141e+01,6.545909e-02,4877,2.000000e-01,2.048390e+12
1.251141e+01,5.417119e-02,4036,2.000000e-01,3.246479e+12
1.271141e+01,4.017205e-02,2993,2.000000e-01,5.145323e+12
1.291141e+01,2.869624e-02,2138,2.000000e-01,8.154787e+12
1.311141e+01,2.131414e-02,1588,2.000000e-01,1.292447e+13
1.331141e+01,1.595876e-02,1189,2.000000e-01,2.048390e+13
1.351141e+01,1.193216e-02,889,2.000000e-01,3.246479e+13
1.371141e+01,8.375328e-03,624,2.000000e-01,5.145323e+13
1.391141e+01,6.804954e-03,507,2.000000e-01,8.154787e+13
1.411141e+01,5.435910e-03,405,2.000000e-01,1.292447e+14
1.431141e+01,4.402416e-03,328,2.000000e-01,2.048390e+14
1.451141e+01,3.972912e-03,296,2.000000e-01,3.246479e+14
1.471141e+01,3.167592e-03,236,2.000000e-01,5.145323e+14
1.491141e+01,2.858886e-03,213,2.000000e-01,8.154787e+14
1.511141e+01,2.268318e-03,169,2.000000e-01,1.292447e+15
1.531141e+01,1.905924e-03,142,2.000000e-01,2.048390e+15
1.551141e+01,1.610640e-03,120,2.000000e-01,3.246479e+15
1.571141e+01,1.154292e-03,86,2.000000e-01,5.145323e+15
1.591141e+01,1.087182e-03,81,2.000000e-01,8.154787e+15
1.611141e+01,9.126960e-04,68,2.000000e-01,1.292447e+16
1.631141e+01,9.261180e-04,69,2.000000e-01,2.048390e+16
1.651141e+01,6.711000e-04,50,2.000000e-01,3.246479e+16
1.671141e+01,6.039900e-04,45,2.000000e-01,5.145323e+16
1.691141e+01,4.563480e-04,34,2.000000e-01,8.154787e+16
1.711141e+01,5.503020e-04,41,2.000000e-01,1.292447e+17
1.731141e+01,4.831920e-04,36,2.000000e-01,2.048390e+17
1.751141e+01,4.697700e-04,35,2.000000e-01,3.246479e+17
1.771141e+01,3.623940e-04,27,2.000000e-01,5.145323e+17
1.791141e+01,2.684400e-04,20,2.000000e-01,8.154787e+17
1.811141e+01,2.818620e-04,21,2.000000e-01,1.292447e+18
1.831141e+01,3.355500e-04,25,2.000000e-01,2.048390e+18
1.851141e+01,3.758160e-04,28,2.000000e-01,3.246479e+18
1.871141e+01,3.221280e-04,24,2.000000e-01,5.145323e+18
1.891141e+01,2.147520e-04,16,2.000000e-01,8.154787e+18
1.911141e+01,2.818620e-04,21,2.000000e-01,1.292447e+19
1.931141e+01,2.550180e-04,19,2.000000e-01,2.048390e+19
1.951141e+01,2.415960e-04,18,2.000000e-01,3.246479e+19
1.971141e+01,9.395400e-05,7,2.000000e-01,5.145323e+19
1.991141e+01,1.476420e-04,11,2.000000e-01,8.154787e+19
2.011141e+01,5.368800e-05,4,2.000000e-01,1.292447e+20
2.031141e+01,5.368800e-05,4,2.000000e-01,2.048390e+20
2.051141e+01,4.026600e-05,3,2.000000e-01,3.246479e+20
2.071141e+01,1.342200e-05,1,2.000000e-01,5.145323e+20
2.091141e+01,1.342200e-05,1,2.000000e-01,8.154787e+20
2.111141e+01,1.342200e-05,1,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
