# n_sightlines = 10000
# dX = 32.421216 Mpc (comoving)
# redshift = 4.995933
# n_absorbers = 10357
# beta_fit = -1.000086
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,2.621740e-04,17,2.000000e-01,1.292447e+12
1.231141e+01,2.775960e-04,18,2.000000e-01,2.048390e+12
1.251141e+01,3.701280e-04,24,2.000000e-01,3.246479e+12
1.271141e+01,4.163940e-04,27,2.000000e-01,5.145323e+12
1.291141e+01,7.711000e-04,50,2.000000e-01,8.154787e+12
1.311141e+01,1.788952e-03,116,2.000000e-01,1.292447e+13
1.331141e+01,5.258902e-03,341,2.000000e-01,2.048390e+13
1.351141e+01,9.607906e-03,623,2.000000e-01,3.246479e+13
1.371141e+01,1.346341e-02,873,2.000000e-01,5.145323e+13
1.391141e+01,1.531405e-02,993,2.000000e-01,8.154787e+13
1.411141e+01,1.568417e-02,1017,2.000000e-01,1.292447e+14
1.431141e+01,1.346341e-02,873,2.000000e-01,2.048390e+14
1.451141e+01,1.196747e-02,776,2.000000e-01,3.246479e+14
1.471141e+01,9.777548e-03,634,2.000000e-01,5.145323e+14
1.491141e+01,8.466678e-03,549,2.000000e-01,8.154787e+14
1.511141e+01,6.878212e-03,446,2.000000e-01,1.292447e+15
1.531141e+01,5.336012e-03,346,2.000000e-01,2.048390e+15
1.551141e+01,5.089260e-03,330,2.000000e-01,3.246479e+15
1.571141e+01,4.179362e-03,271,2.000000e-01,5.145323e+15
1.591141e+01,3.392840e-03,220,2.000000e-01,8.154787e+15
1.611141e+01,3.053556e-03,198,2.000000e-01,1.292447e+16
1.631141e+01,2.714272e-03,176,2.000000e-01,2.048390e+16
1.651141e+01,2.143658e-03,139,2.000000e-01,3.246479e+16
1.671141e+01,2.159080e-03,140,2.000000e-01,5.145323e+16
1.691141e+01,1.943172e-03,126,2.000000e-01,8.154787e+16
1.711141e+01,2.035704e-03,132,2.000000e-01,1.292447e+17
1.731141e+01,1.603888e-03,104,2.000000e-01,2.048390e+17
1.751141e+01,1.619310e-03,105,2.000000e-01,3.246479e+17
1.771141e+01,1.665576e-03,108,2.000000e-01,5.145323e+17
1.791141e+01,1.449668e-03,94,2.000000e-01,8.154787e+17
1.811141e+01,1.650154e-03,107,2.000000e-01,1.292447e+18
1.831141e+01,1.172072e-03,76,2.000000e-01,2.048390e+18
1.851141e+01,1.094962e-03,71,2.000000e-01,3.246479e+18
1.871141e+01,8.019440e-04,52,2.000000e-01,5.145323e+18
1.891141e+01,8.173660e-04,53,2.000000e-01,8.154787e+18
1.911141e+01,6.168800e-04,40,2.000000e-01,1.292447e+19
1.931141e+01,6.477240e-04,42,2.000000e-01,2.048390e+19
1.951141e+01,3.547060e-04,23,2.000000e-01,3.246479e+19
1.971141e+01,1.696420e-04,11,2.000000e-01,5.145323e+19
1.991141e+01,1.542200e-04,10,2.000000e-01,8.154787e+19
2.011141e+01,6.168800e-05,4,2.000000e-01,1.292447e+20
2.031141e+01,3.084400e-05,2,2.000000e-01,2.048390e+20
2.051141e+01,0.000000e+00,0,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
