k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
2.612201e+00,4.995606e-11,2.302299e-09,2.302299e-11
2.612645e+00,4.911239e-11,2.259526e-09,2.259526e-11
2.613088e+00,4.835974e-11,2.216069e-09,2.216069e-11
2.613531e+00,4.767288e-11,2.172361e-09,2.172361e-11
2.613974e+00,4.701968e-11,2.128976e-09,2.128976e-11
2.614417e+00,4.639508e-11,2.086862e-09,2.086862e-11
2.614860e+00,4.582325e-11,2.047134e-09,2.047134e-11
2.615303e+00,4.533222e-11,2.010719e-09,2.010719e-11
2.615746e+00,4.493093e-11,1.978269e-09,1.978269e-11
2.616189e+00,4.461086e-11,1.950313e-09,1.950313e-11
2.616632e+00,4.436307e-11,1.927362e-09,1.927362e-11
2.617075e+00,4.419099e-11,1.909916e-09,1.909916e-11
2.617518e+00,4.410893e-11,1.898438e-09,1.898438e-11
2.617961e+00,4.412907e-11,1.893347e-09,1.893347e-11
2.618404e+00,4.425471e-11,1.895021e-09,1.895021e-11
2.618847e+00,4.448683e-11,1.903810e-09,1.903810e-11
2.619290e+00,4.482911e-11,1.920034e-09,1.920034e-11
2.619733e+00,4.528274e-11,1.943967e-09,1.943967e-11
2.620176e+00,4.583573e-11,1.975788e-09,1.975788e-11
2.620619e+00,4.646133e-11,2.015481e-09,2.015481e-11
2.621062e+00,4.713666e-11,2.062820e-09,2.062820e-11
2.621505e+00,4.786091e-11,2.117468e-09,2.117468e-11
2.621949e+00,4.864829e-11,2.178997e-09,2.178997e-11
2.622392e+00,4.949911e-11,2.246770e-09,2.246770e-11
2.622835e+00,5.037964e-11,2.319839e-09,2.319839e-11
2.623278e+00,5.123854e-11,2.397027e-09,2.397027e-11
2.623721e+00,5.204570e-11,2.477256e-09,2.477256e-11
2.624164e+00,5.281695e-11,2.559743e-09,2.559743e-11
2.624607e+00,5.359397e-11,2.643823e-09,2.643823e-11
2.625050e+00,5.439949e-11,2.728719e-09,2.728719e-11
2.625493e+00,5.522136e-11,2.813605e-09,2.813605e-11
2.625936e+00,5.603888e-11,2.897763e-09,2.897763e-11
2.626379e+00,5.686083e-11,2.980598e-09,2.980598e-11
2.626822e+00,5.772557e-11,3.061493e-09,3.061493e-11
2.627265e+00,5.866279e-11,3.139742e-09,3.139742e-11
2.627708e+00,5.966447e-11,3.214571e-09,3.214571e-11
2.628151e+00,6.069826e-11,3.285130e-09,3.285130e-11
2.628594e+00,6.174667e-11,3.350472e-09,3.350472e-11
2.629037e+00,6.281452e-11,3.409633e-09,3.409633e-11
2.629480e+00,6.389270e-11,3.461704e-09,3.461704e-11
2.629923e+00,6.492370e-11,3.505704e-09,3.505704e-11
2.630366e+00,6.581772e-11,3.540428e-09,3.540428e-11
2.630809e+00,6.651411e-11,3.564698e-09,3.564698e-11
2.631252e+00,6.701699e-11,3.577913e-09,3.577913e-11
2.631696e+00,6.736193e-11,3.580144e-09,3.580144e-11
2.632139e+00,6.754964e-11,3.571581e-09,3.571581e-11
2.632582e+00,6.752160e-11,3.551911e-09,3.551911e-11
2.633025e+00,6.721334e-11,3.520571e-09,3.520571e-11
2.633468e+00,6.663135e-11,3.477939e-09,3.477939e-11
2.633911e+00,6.586739e-11,3.425937e-09,3.425937e-11
2.634354e+00,6.502701e-11,3.367010e-09,3.367010e-11
2.634797e+00,6.414274e-11,3.302555e-09,3.302555e-11
2.635240e+00,6.316424e-11,3.232399e-09,3.232399e-11
2.635683e+00,6.203503e-11,3.155910e-09,3.155910e-11
2.636126e+00,6.077323e-11,3.073644e-09,3.073644e-11
2.636569e+00,5.947411e-11,2.987564e-09,2.987564e-11
2.637012e+00,5.823001e-11,2.899532e-09,2.899532e-11
2.637455e+00,5.704730e-11,2.809816e-09,2.809816e-11
2.637898e+00,5.584898e-11,2.717098e-09,2.717098e-11
2.638341e+00,5.456094e-11,2.620052e-09,2.620052e-11
2.638784e+00,5.319162e-11,2.519128e-09,2.519128e-11
2.639227e+00,5.182610e-11,2.416650e-09,2.416650e-11
