k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,1.272661e+03,2.490268e+03,2.490268e+01
1.863859e-03,1.301994e+03,2.326465e+03,2.326465e+01
3.727717e-03,1.168100e+03,2.018881e+03,2.018881e+01
5.591576e-03,1.010804e+03,1.763174e+03,1.763174e+01
7.455434e-03,8.999693e+02,1.431466e+03,1.431466e+01
9.319293e-03,7.787694e+02,1.301905e+03,1.301905e+01
1.118315e-02,7.194421e+02,1.153669e+03,1.153669e+01
1.304701e-02,6.456293e+02,1.026239e+03,1.026239e+01
1.491087e-02,5.728389e+02,8.917865e+02,8.917865e+00
1.677473e-02,5.265890e+02,7.854426e+02,7.854426e+00
1.863859e-02,4.705592e+02,7.157894e+02,7.157894e+00
2.050244e-02,4.283517e+02,6.294159e+02,6.294159e+00
2.236630e-02,3.935329e+02,5.781675e+02,5.781675e+00
2.423016e-02,3.556200e+02,5.130629e+02,5.130629e+00
2.609402e-02,3.172972e+02,4.560007e+02,4.560007e+00
2.795788e-02,2.949331e+02,4.287383e+02,4.287383e+00
2.982174e-02,2.650300e+02,3.721227e+02,3.721227e+00
3.168560e-02,2.339193e+02,3.340234e+02,3.340234e+00
3.354945e-02,2.159646e+02,2.986965e+02,2.986965e+00
3.541331e-02,1.976353e+02,2.758247e+02,2.758247e+00
3.727717e-02,1.829267e+02,2.605947e+02,2.605947e+00
3.914103e-02,1.638921e+02,2.290507e+02,2.290507e+00
4.100489e-02,1.507151e+02,2.176741e+02,2.176741e+00
4.286875e-02,1.378401e+02,1.871772e+02,1.871772e+00
4.473261e-02,1.223558e+02,1.699051e+02,1.699051e+00
4.659646e-02,1.134747e+02,1.549002e+02,1.549002e+00
4.846032e-02,1.033765e+02,1.375423e+02,1.375423e+00
5.032418e-02,9.087694e+01,1.216013e+02,1.216013e+00
5.218804e-02,8.407484e+01,1.138449e+02,1.138449e+00
5.405190e-02,7.671452e+01,1.107725e+02,1.107725e+00
5.591576e-02,6.795546e+01,9.326333e+01,9.326333e-01
5.777962e-02,6.175018e+01,8.439845e+01,8.439845e-01
5.964347e-02,5.440726e+01,7.346052e+01,7.346052e-01
6.150733e-02,5.061000e+01,6.861578e+01,6.861578e-01
6.337119e-02,4.661448e+01,6.350522e+01,6.350522e-01
6.523505e-02,4.234226e+01,5.815665e+01,5.815665e-01
6.709891e-02,3.890408e+01,5.270584e+01,5.270584e-01
6.896277e-02,3.481410e+01,4.737117e+01,4.737117e-01
7.082663e-02,3.220383e+01,4.406814e+01,4.406814e-01
7.269048e-02,2.929227e+01,4.061389e+01,4.061389e-01
7.455434e-02,2.656404e+01,3.776866e+01,3.776866e-01
7.641820e-02,2.410931e+01,3.235248e+01,3.235248e-01
7.828206e-02,2.238633e+01,3.023322e+01,3.023322e-01
8.014592e-02,2.050777e+01,2.818107e+01,2.818107e-01
8.200978e-02,1.863921e+01,2.506884e+01,2.506884e-01
8.387364e-02,1.715477e+01,2.281079e+01,2.281079e-01
8.573749e-02,1.586593e+01,2.162811e+01,2.162811e-01
8.760135e-02,1.465691e+01,1.992161e+01,1.992161e-01
8.946521e-02,1.342378e+01,1.842041e+01,1.842041e-01
9.132907e-02,1.243095e+01,1.680829e+01,1.680829e-01
9.319293e-02,1.171921e+01,1.585927e+01,1.585927e-01
9.505679e-02,1.081089e+01,1.466084e+01,1.466084e-01
9.692065e-02,1.005878e+01,1.331927e+01,1.331927e-01
9.878450e-02,9.448188e+00,1.311615e+01,1.311615e-01
1.006484e-01,8.739086e+00,1.197451e+01,1.197451e-01
1.025122e-01,8.355612e+00,1.197152e+01,1.197152e-01
1.043761e-01,7.890043e+00,1.141304e+01,1.141304e-01
1.062399e-01,7.301038e+00,1.021804e+01,1.021804e-01
1.081038e-01,6.953302e+00,1.001728e+01,1.001728e-01
1.099677e-01,6.405979e+00,9.352705e+00,9.352705e-02
1.118315e-01,6.248667e+00,9.039779e+00,9.039779e-02
1.136954e-01,5.947504e+00,8.877750e+00,8.877750e-02
1.155592e-01,5.668004e+00,8.549005e+00,8.549005e-02
1.174231e-01,5.409311e+00,8.810374e+00,8.810374e-02
1.192869e-01,5.246388e+00,8.612233e+00,8.612233e-02
1.211508e-01,5.071824e+00,8.734687e+00,8.734687e-02
1.230147e-01,4.985756e+00,9.415848e+00,9.415848e-02
1.248785e-01,4.787503e+00,9.370011e+00,9.370011e-02
1.267424e-01,4.735672e+00,9.589818e+00,9.589818e-02
1.286062e-01,4.675112e+00,1.044655e+01,1.044655e-01
1.304701e-01,4.549447e+00,1.036811e+01,1.036811e-01
1.323340e-01,4.633498e+00,1.133869e+01,1.133869e-01
1.341978e-01,4.580913e+00,1.171889e+01,1.171889e-01
1.360617e-01,4.633301e+00,1.228596e+01,1.228596e-01
1.379255e-01,4.671287e+00,1.272994e+01,1.272994e-01
1.397894e-01,4.716973e+00,1.304109e+01,1.304109e-01
1.416533e-01,4.759707e+00,1.401360e+01,1.401360e-01
1.435171e-01,4.877684e+00,1.380527e+01,1.380527e-01
1.453810e-01,5.024727e+00,1.486775e+01,1.486775e-01
1.472448e-01,5.176243e+00,1.512639e+01,1.512639e-01
1.491087e-01,5.334214e+00,1.606548e+01,1.606548e-01
1.509725e-01,5.440270e+00,1.629700e+01,1.629700e-01
1.528364e-01,5.843163e+00,1.864666e+01,1.864666e-01
1.547003e-01,5.960869e+00,1.984669e+01,1.984669e-01
1.565641e-01,6.205027e+00,2.104512e+01,2.104512e-01
1.584280e-01,6.561522e+00,2.252031e+01,2.252031e-01
1.602918e-01,6.745365e+00,2.297865e+01,2.297865e-01
1.621557e-01,6.945305e+00,2.230064e+01,2.230064e-01
1.640196e-01,7.227237e+00,2.406234e+01,2.406234e-01
1.658834e-01,7.546344e+00,2.501160e+01,2.501160e-01
1.677473e-01,7.678543e+00,2.363266e+01,2.363266e-01
1.696111e-01,8.120660e+00,2.601307e+01,2.601307e-01
1.714750e-01,8.222113e+00,2.447175e+01,2.447175e-01
1.733388e-01,8.469663e+00,2.380645e+01,2.380645e-01
1.752027e-01,8.736610e+00,2.596476e+01,2.596476e-01
1.770666e-01,8.856177e+00,2.559123e+01,2.559123e-01
1.789304e-01,8.997384e+00,2.504851e+01,2.504851e-01
