k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,4.132473e+00,5.284173e+01,5.284173e-01
2.679041e-03,2.395974e+00,6.742606e+00,6.742606e-02
5.358083e-03,2.017893e+00,3.807350e+00,3.807350e-02
8.037124e-03,1.710530e+00,3.128416e+00,3.128416e-02
1.071617e-02,1.451060e+00,2.476377e+00,2.476377e-02
1.339521e-02,1.270395e+00,2.097579e+00,2.097579e-02
1.607425e-02,1.086607e+00,1.794469e+00,1.794469e-02
1.875329e-02,9.320215e-01,1.505013e+00,1.505013e-02
2.143233e-02,7.812435e-01,1.174501e+00,1.174501e-02
2.411137e-02,6.765199e-01,1.013483e+00,1.013483e-02
2.679041e-02,5.709585e-01,8.392780e-01,8.392780e-03
2.946945e-02,4.911304e-01,7.215856e-01,7.215856e-03
3.214850e-02,4.329053e-01,6.261427e-01,6.261427e-03
3.482754e-02,3.766066e-01,5.567337e-01,5.567337e-03
3.750658e-02,3.282392e-01,4.679346e-01,4.679346e-03
4.018562e-02,2.816887e-01,4.067092e-01,4.067092e-03
4.286466e-02,2.504389e-01,3.540419e-01,3.540419e-03
4.554370e-02,2.174036e-01,2.997137e-01,2.997137e-03
4.822274e-02,1.872823e-01,2.633596e-01,2.633596e-03
5.090179e-02,1.619650e-01,2.218553e-01,2.218553e-03
5.358083e-02,1.426316e-01,1.954796e-01,1.954796e-03
5.625987e-02,1.260815e-01,1.743139e-01,1.743139e-03
5.893891e-02,1.121117e-01,1.566412e-01,1.566412e-03
6.161795e-02,9.888015e-02,1.373187e-01,1.373187e-03
6.429699e-02,8.397461e-02,1.135916e-01,1.135916e-03
6.697603e-02,7.529872e-02,1.031749e-01,1.031749e-03
6.965508e-02,6.814514e-02,9.217694e-02,9.217694e-04
7.233412e-02,5.992342e-02,8.078868e-02,8.078868e-04
7.501316e-02,5.413630e-02,7.198944e-02,7.198944e-04
7.769220e-02,4.706294e-02,6.275672e-02,6.275672e-04
8.037124e-02,4.199698e-02,5.513686e-02,5.513686e-04
8.305028e-02,3.804223e-02,5.223726e-02,5.223726e-04
8.572932e-02,3.303600e-02,4.441503e-02,4.441503e-04
8.840836e-02,2.955134e-02,4.030463e-02,4.030463e-04
9.108741e-02,2.618531e-02,3.428739e-02,3.428739e-04
9.376645e-02,2.350147e-02,3.197723e-02,3.197723e-04
9.644549e-02,2.103471e-02,2.819943e-02,2.819943e-04
9.912453e-02,1.862951e-02,2.526097e-02,2.526097e-04
1.018036e-01,1.668090e-02,2.280645e-02,2.280645e-04
1.044826e-01,1.471024e-02,1.993042e-02,1.993042e-04
1.071617e-01,1.307268e-02,1.772658e-02,1.772658e-04
1.098407e-01,1.179417e-02,1.636608e-02,1.636608e-04
1.125197e-01,1.051405e-02,1.431501e-02,1.431501e-04
1.151988e-01,9.324339e-03,1.250028e-02,1.250028e-04
1.178778e-01,8.273804e-03,1.176347e-02,1.176347e-04
