N_HI,b_param_km_s
1.162933e+13,2.760277e+01
1.106181e+12,3.736678e+01
2.075869e+12,4.641909e+01
1.682196e+13,3.366180e+01
4.026769e+14,2.210644e+01
1.282779e+12,2.239085e+01
1.999193e+12,5.796940e+01
6.721629e+12,3.111260e+01
6.721629e+12,3.111272e+01
1.959882e+12,3.593035e+01
1.603474e+12,2.591239e+01
1.048347e+12,6.416200e+01
1.755249e+13,5.950383e+01
1.629463e+12,2.938744e+01
2.699258e+13,2.708450e+01
1.230340e+12,4.516417e+01
1.230340e+12,4.516513e+01
4.425226e+12,3.622406e+01
2.849760e+12,6.280599e+01
7.348467e+18,3.417782e+01
7.348467e+18,3.851874e+01
7.348467e+18,3.607894e+01
7.348467e+18,3.913000e+01
7.348467e+18,3.724298e+01
7.348467e+18,2.959203e+01
3.759786e+12,3.422360e+01
7.271349e+12,7.604773e+01
7.271349e+12,7.604779e+01
7.097599e+12,2.641707e+01
3.868087e+12,5.128433e+01
1.602265e+12,2.679053e+01
2.561281e+13,3.400330e+01
1.047930e+13,2.862172e+01
3.044967e+12,4.194408e+01
1.095793e+12,6.639235e+01
1.690375e+12,5.289809e+01
1.423288e+12,2.351980e+01
1.327635e+12,6.984177e+01
3.309652e+13,3.689638e+01
3.078158e+14,2.967510e+01
2.940478e+13,3.704610e+01
2.109560e+12,2.367698e+01
1.965732e+12,5.821916e+01
1.081292e+12,2.830517e+01
2.735718e+12,5.235587e+01
2.110891e+12,2.488960e+01
3.503753e+12,4.654342e+01
9.665685e+12,4.991206e+01
2.965698e+12,2.880432e+01
1.206581e+13,2.901917e+01
2.720896e+12,3.521423e+01
3.450558e+13,2.814545e+01
1.062246e+13,3.276117e+01
4.113540e+12,2.799502e+01
3.461069e+13,2.766826e+01
1.597084e+12,4.600993e+01
1.502240e+12,2.842184e+01
8.977689e+13,3.142065e+01
1.304079e+12,3.712547e+01
4.222958e+17,1.429155e+01
2.509722e+12,4.134008e+01
2.970592e+17,1.806179e+01
1.343356e+14,2.607347e+01
1.014753e+12,2.719922e+01
1.014753e+12,2.719863e+01
1.323064e+12,3.385383e+01
6.529087e+12,2.516922e+01
6.608334e+12,3.578186e+01
6.608334e+12,3.578183e+01
1.143884e+13,3.493953e+01
1.201125e+12,3.151955e+01
1.466099e+12,3.227866e+01
1.168813e+12,5.873257e+01
4.115409e+13,2.775895e+01
1.886526e+12,3.206413e+01
2.030400e+12,3.102267e+01
9.462081e+13,5.714976e+01
9.462081e+13,5.714891e+01
2.603338e+12,4.049649e+01
1.363971e+12,2.569572e+01
4.962648e+12,6.986022e+01
1.093490e+12,3.016115e+01
7.119841e+16,1.750856e+01
1.209564e+13,2.862597e+01
1.209564e+13,2.862608e+01
1.140535e+14,2.219351e+01
1.662743e+12,6.499975e+01
1.078723e+12,3.113191e+01
9.537907e+12,3.327310e+01
1.226833e+12,7.210861e+01
3.435795e+12,3.558132e+01
4.797923e+13,2.633061e+01
4.797923e+13,2.633062e+01
3.332408e+12,2.836717e+01
1.464687e+12,7.237520e+01
2.210600e+12,3.441575e+01
1.120175e+12,3.188541e+01
1.396065e+12,2.944600e+01
3.894499e+12,2.978604e+01
1.554984e+12,4.421440e+01
1.995942e+12,2.868951e+01
1.315035e+12,2.608200e+01
1.111745e+12,5.038865e+01
1.470070e+12,2.318714e+01
3.987949e+14,2.132768e+01
2.430865e+12,4.894446e+01
1.660163e+12,7.890454e+01
1.660163e+12,7.890457e+01
1.505002e+13,4.903819e+01
2.862975e+12,3.453781e+01
2.711801e+12,3.669063e+01
2.711801e+12,3.668946e+01
1.347649e+12,6.948044e+01
2.034171e+12,7.577151e+01
2.414859e+12,3.745851e+01
1.878034e+13,4.557432e+01
1.878034e+13,4.557416e+01
1.203565e+12,2.854072e+01
1.216644e+13,3.789605e+01
1.503168e+13,3.959886e+01
1.468818e+12,4.914079e+01
4.285261e+12,4.998919e+01
1.642290e+12,3.010888e+01
6.438576e+12,5.365902e+01
2.579956e+18,2.248243e+01
1.616547e+13,3.672773e+01
1.616547e+13,3.672709e+01
1.684644e+12,2.828536e+01
1.696229e+12,3.724861e+01
4.116786e+19,3.730440e+01
4.116786e+19,3.851123e+01
4.116786e+19,3.710701e+01
4.116786e+19,3.698786e+01
4.116786e+19,3.661246e+01
4.116786e+19,3.662668e+01
4.116786e+19,3.880005e+01
4.116786e+19,3.720782e+01
4.116786e+19,3.848711e+01
4.116786e+19,3.511680e+01
8.214970e+13,3.125733e+01
5.618799e+12,2.615598e+01
5.618799e+12,2.615605e+01
7.611156e+17,1.838234e+01
7.611156e+17,3.502815e+01
1.992006e+12,2.786494e+01
2.308195e+12,3.321032e+01
4.109428e+12,2.960058e+01
2.234198e+18,1.717715e+01
1.654401e+12,5.265489e+01
1.917022e+13,3.159667e+01
1.039142e+12,7.199050e+01
2.391471e+12,4.238832e+01
3.778570e+12,2.565745e+01
2.277969e+12,4.039611e+01
2.281392e+12,2.717526e+01
2.475475e+12,4.718900e+01
2.253477e+12,3.264923e+01
4.272807e+12,4.085852e+01
1.673153e+12,7.236456e+01
1.673153e+12,7.237006e+01
4.666638e+12,2.931672e+01
9.987389e+13,4.371319e+01
1.177461e+12,4.690541e+01
3.398018e+12,2.738905e+01
1.409848e+13,2.761361e+01
1.506923e+12,7.860207e+01
1.117945e+12,4.550469e+01
3.749558e+14,2.574372e+01
1.255249e+12,4.671038e+01
6.197742e+13,3.708861e+01
1.463881e+12,2.407864e+01
1.391250e+12,3.662499e+01
2.176190e+12,4.508009e+01
1.383169e+12,3.732921e+01
2.301382e+12,4.198296e+01
2.287790e+18,1.396138e+01
2.287790e+18,2.901804e+01
7.332213e+12,3.083781e+01
7.332213e+12,3.083769e+01
2.466843e+15,1.814184e+01
7.340661e+18,1.565032e+01
7.340661e+18,1.812424e+01
7.340661e+18,5.973780e+01
7.340661e+18,1.536957e+01
1.398745e+12,2.405793e+01
4.884382e+15,2.320793e+01
4.884382e+15,2.320793e+01
1.373854e+12,2.653148e+01
1.411798e+12,4.360720e+01
2.085275e+12,4.772723e+01
2.085275e+12,4.772735e+01
1.463995e+12,2.807745e+01
1.054011e+12,7.637657e+01
1.054011e+12,7.637630e+01
5.916869e+12,3.319331e+01
1.990113e+12,5.493716e+01
5.259155e+12,3.458586e+01
2.398743e+13,4.752011e+01
1.465980e+12,2.629616e+01
2.884598e+12,3.626670e+01
1.537946e+12,4.634948e+01
1.606094e+12,6.483134e+01
1.325890e+12,2.430737e+01
1.748792e+12,5.558487e+01
1.515270e+12,5.776002e+01
1.318340e+12,7.136947e+01
1.318340e+12,7.137031e+01
7.233368e+12,2.877000e+01
2.460433e+12,2.780915e+01
3.434532e+12,2.688511e+01
3.833404e+12,2.807563e+01
9.246019e+12,3.743924e+01
3.260864e+12,3.217995e+01
2.490487e+12,3.772833e+01
5.334082e+18,2.002345e+01
5.334082e+18,2.002794e+01
1.342887e+12,3.289927e+01
2.461619e+15,2.955768e+01
2.397980e+12,5.452729e+01
3.468618e+12,4.335614e+01
1.925681e+12,2.852946e+01
1.114374e+12,2.728240e+01
1.257018e+12,2.546422e+01
1.548643e+12,3.119129e+01
4.687281e+12,4.321894e+01
2.494299e+12,5.182970e+01
1.017790e+12,5.590210e+01
3.291892e+19,2.860648e+01
7.697791e+13,2.622416e+01
7.768641e+12,2.576060e+01
9.562709e+12,2.215614e+01
2.185720e+12,4.887877e+01
2.185720e+12,4.887351e+01
6.331766e+18,4.551646e+01
6.331766e+18,1.604708e+01
3.757258e+12,2.843516e+01
2.544590e+12,2.773108e+01
2.345092e+13,3.277767e+01
1.175399e+12,3.663372e+01
3.065656e+13,5.586162e+01
1.440572e+12,7.966445e+01
1.440572e+12,7.966435e+01
2.700579e+12,4.148743e+01
4.476744e+12,2.970190e+01
2.637243e+12,3.448560e+01
1.593019e+14,2.331511e+01
1.281834e+12,7.399760e+01
2.934071e+12,2.738608e+01
1.616466e+12,2.625343e+01
3.964438e+12,2.627786e+01
1.087154e+12,3.750595e+01
2.399224e+12,6.097863e+01
3.536359e+12,4.588738e+01
3.536359e+12,2.789819e+01
1.726830e+12,4.112697e+01
2.124942e+12,4.272410e+01
2.438200e+12,2.908274e+01
1.297357e+12,3.509552e+01
2.638701e+12,4.225048e+01
4.609605e+13,6.198879e+01
4.609605e+13,6.198722e+01
1.107492e+12,2.371662e+01
1.083327e+12,3.398751e+01
1.139865e+12,4.226379e+01
2.658441e+12,7.742918e+01
1.649946e+13,3.143293e+01
1.364540e+13,2.694694e+01
1.364540e+13,2.694656e+01
1.344554e+12,3.082810e+01
5.696830e+12,3.583208e+01
7.284173e+12,3.103525e+01
1.713017e+12,3.206647e+01
1.350570e+12,2.782791e+01
2.137512e+12,3.006520e+01
5.025260e+12,3.439808e+01
5.025260e+12,3.439822e+01
5.025260e+12,3.439634e+01
9.089231e+12,3.284716e+01
1.642423e+12,5.470810e+01
2.632563e+12,2.315282e+01
1.075061e+13,3.577081e+01
1.232610e+15,2.046357e+01
1.019555e+12,5.157235e+01
1.019555e+12,5.156674e+01
2.325460e+12,5.358278e+01
4.294656e+12,3.890879e+01
1.557243e+12,2.502036e+01
1.680132e+12,5.273912e+01
2.560711e+12,3.402988e+01
2.920713e+12,5.420843e+01
1.966415e+12,3.741220e+01
6.084197e+12,2.844315e+01
1.138355e+12,4.170869e+01
4.820548e+12,4.702883e+01
4.871927e+14,2.326293e+01
2.038958e+12,2.826803e+01
8.974846e+12,2.485837e+01
1.283465e+12,2.693070e+01
4.424646e+12,2.641723e+01
1.009864e+12,3.315597e+01
2.952515e+15,1.709780e+01
1.253249e+12,2.445505e+01
6.005535e+12,3.129859e+01
6.041563e+15,1.900833e+01
6.041563e+15,1.900833e+01
1.826665e+12,6.711807e+01
1.098440e+12,3.998032e+01
1.881122e+16,1.745444e+01
1.254832e+12,3.077097e+01
2.515552e+12,3.214894e+01
1.020085e+12,2.794449e+01
1.396302e+12,2.246914e+01
1.398829e+13,3.893845e+01
3.365274e+12,4.254346e+01
4.311135e+12,6.251513e+01
1.581421e+13,4.408450e+01
8.072561e+12,3.704948e+01
7.504751e+12,5.971696e+01
1.719666e+14,3.109139e+01
4.767591e+12,4.323657e+01
1.688157e+13,2.491145e+01
4.134443e+12,3.139975e+01
1.084873e+14,2.588705e+01
1.232817e+12,3.830834e+01
1.339771e+12,3.934546e+01
3.520476e+14,2.482463e+01
2.137646e+12,3.492997e+01
2.560066e+12,5.244511e+01
2.560066e+12,5.244507e+01
1.382648e+12,5.358101e+01
2.736957e+12,5.735028e+01
9.256415e+12,2.597163e+01
1.208380e+12,3.447063e+01
2.073108e+14,2.306324e+01
1.020483e+12,3.724377e+01
1.457558e+13,2.863186e+01
1.260732e+12,4.268787e+01
1.576572e+12,4.630379e+01
5.161895e+12,4.592579e+01
3.755025e+12,3.919117e+01
1.603304e+12,6.365558e+01
1.271818e+12,2.761647e+01
1.271818e+12,2.761595e+01
1.122935e+12,3.058383e+01
2.780951e+12,4.646207e+01
1.003403e+12,5.406392e+01
4.196208e+18,1.609289e+01
4.196208e+18,1.609296e+01
4.196208e+18,3.742059e+01
4.196208e+18,2.520877e+01
3.659881e+12,2.427795e+01
1.866733e+12,4.297350e+01
1.215816e+13,5.062232e+01
1.215816e+13,5.062025e+01
6.799862e+12,5.195749e+01
6.799862e+12,5.195779e+01
6.690197e+12,3.336235e+01
1.778525e+12,3.124770e+01
1.097809e+12,3.598224e+01
1.868782e+12,6.677553e+01
1.561107e+12,2.153104e+01
1.355373e+12,3.091914e+01
1.036318e+12,2.958684e+01
3.271502e+12,6.721281e+01
3.836615e+18,5.687173e+01
3.836615e+18,1.624469e+01
