k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,5.565572e+03,2.491347e+04,2.491347e+02
1.729161e-03,5.553672e+03,2.565707e+04,2.565707e+02
3.458321e-03,5.461799e+03,2.532509e+04,2.532509e+02
5.187482e-03,5.242145e+03,2.397864e+04,2.397864e+02
6.916643e-03,4.928206e+03,2.193491e+04,2.193491e+02
8.645803e-03,4.723694e+03,2.132127e+04,2.132127e+02
1.037496e-02,4.488016e+03,1.921117e+04,1.921117e+02
1.210412e-02,4.219874e+03,1.758840e+04,1.758840e+02
1.383329e-02,3.947928e+03,1.613264e+04,1.613264e+02
1.556245e-02,3.806267e+03,1.473008e+04,1.473008e+02
1.729161e-02,3.597717e+03,1.370607e+04,1.370607e+02
1.902077e-02,3.354226e+03,1.231624e+04,1.231624e+02
2.074993e-02,3.158460e+03,1.140150e+04,1.140150e+02
2.247909e-02,2.899052e+03,1.014066e+04,1.014066e+02
2.420825e-02,2.725686e+03,9.274661e+03,9.274661e+01
2.593741e-02,2.560068e+03,8.546074e+03,8.546074e+01
2.766657e-02,2.388468e+03,7.803176e+03,7.803176e+01
2.939573e-02,2.225984e+03,7.299872e+03,7.299872e+01
3.112489e-02,2.037071e+03,6.555329e+03,6.555329e+01
3.285405e-02,1.914530e+03,6.198636e+03,6.198636e+01
3.458321e-02,1.778657e+03,5.761497e+03,5.761497e+01
3.631237e-02,1.628486e+03,5.085908e+03,5.085908e+01
3.804154e-02,1.502368e+03,4.665818e+03,4.665818e+01
3.977070e-02,1.408195e+03,4.611292e+03,4.611292e+01
4.149986e-02,1.248111e+03,3.697389e+03,3.697389e+01
4.322902e-02,1.168367e+03,3.564682e+03,3.564682e+01
4.495818e-02,1.087841e+03,3.548795e+03,3.548795e+01
4.668734e-02,9.928990e+02,2.976329e+03,2.976329e+01
4.841650e-02,9.003404e+02,2.703899e+03,2.703899e+01
5.014566e-02,8.420944e+02,2.596068e+03,2.596068e+01
5.187482e-02,7.765801e+02,2.434293e+03,2.434293e+01
5.360398e-02,7.179293e+02,2.170817e+03,2.170817e+01
5.533314e-02,6.531748e+02,2.227387e+03,2.227387e+01
5.706230e-02,6.124946e+02,1.913915e+03,1.913915e+01
5.879146e-02,5.916314e+02,1.977970e+03,1.977970e+01
6.052062e-02,5.474600e+02,1.985040e+03,1.985040e+01
6.224978e-02,5.019254e+02,1.587983e+03,1.587983e+01
6.397895e-02,4.713359e+02,1.587575e+03,1.587575e+01
6.570811e-02,4.484129e+02,1.566868e+03,1.566868e+01
6.743727e-02,4.131686e+02,1.401109e+03,1.401109e+01
6.916643e-02,3.927061e+02,1.383249e+03,1.383249e+01
7.089559e-02,3.750997e+02,1.518558e+03,1.518558e+01
7.262475e-02,3.575562e+02,1.353090e+03,1.353090e+01
7.435391e-02,3.361899e+02,1.474112e+03,1.474112e+01
7.608307e-02,3.236935e+02,1.444210e+03,1.444210e+01
7.781223e-02,3.014150e+02,1.297676e+03,1.297676e+01
7.954139e-02,2.917474e+02,1.383452e+03,1.383452e+01
8.127055e-02,2.845065e+02,1.402313e+03,1.402313e+01
8.299971e-02,2.736833e+02,1.439582e+03,1.439582e+01
8.472887e-02,2.761848e+02,1.623577e+03,1.623577e+01
8.645803e-02,2.695703e+02,1.734805e+03,1.734805e+01
8.818720e-02,2.661280e+02,1.754206e+03,1.754206e+01
8.991636e-02,2.645386e+02,1.996941e+03,1.996941e+01
9.164552e-02,2.634649e+02,1.984412e+03,1.984412e+01
9.337468e-02,2.551072e+02,2.071417e+03,2.071417e+01
9.510384e-02,2.568759e+02,2.158857e+03,2.158857e+01
9.683300e-02,2.592234e+02,2.271938e+03,2.271938e+01
9.856216e-02,2.680725e+02,2.401217e+03,2.401217e+01
1.002913e-01,2.715864e+02,2.518942e+03,2.518942e+01
1.020205e-01,2.790096e+02,2.656559e+03,2.656559e+01
1.037496e-01,2.816595e+02,2.672392e+03,2.672392e+01
1.054788e-01,2.980891e+02,2.835323e+03,2.835323e+01
1.072080e-01,2.965478e+02,2.771427e+03,2.771427e+01
1.089371e-01,3.066610e+02,2.855789e+03,2.855789e+01
1.106663e-01,3.099068e+02,2.844789e+03,2.844789e+01
1.123954e-01,3.185173e+02,2.868661e+03,2.868661e+01
1.141246e-01,3.319658e+02,2.924534e+03,2.924534e+01
1.158538e-01,3.411817e+02,2.952806e+03,2.952806e+01
1.175829e-01,3.500232e+02,2.947798e+03,2.947798e+01
1.193121e-01,3.594559e+02,2.919582e+03,2.919582e+01
1.210412e-01,3.696685e+02,2.901414e+03,2.901414e+01
1.227704e-01,3.717782e+02,2.801931e+03,2.801931e+01
1.244996e-01,3.832894e+02,2.750000e+03,2.750000e+01
1.262287e-01,3.945970e+02,2.701987e+03,2.701987e+01
1.279579e-01,3.970976e+02,2.611546e+03,2.611546e+01
1.296871e-01,4.137837e+02,2.609984e+03,2.609984e+01
1.314162e-01,4.269218e+02,2.612711e+03,2.612711e+01
1.331454e-01,4.363676e+02,2.602944e+03,2.602944e+01
1.348745e-01,4.414751e+02,2.533296e+03,2.533296e+01
1.366037e-01,4.475113e+02,2.487101e+03,2.487101e+01
1.383329e-01,4.521715e+02,2.416255e+03,2.416255e+01
1.400620e-01,4.498551e+02,2.340449e+03,2.340449e+01
1.417912e-01,4.505227e+02,2.210842e+03,2.210842e+01
1.435203e-01,4.563583e+02,2.184251e+03,2.184251e+01
1.452495e-01,4.532513e+02,2.093679e+03,2.093679e+01
1.469787e-01,4.548727e+02,2.014096e+03,2.014096e+01
1.487078e-01,4.546541e+02,1.965820e+03,1.965820e+01
1.504370e-01,4.554577e+02,1.911766e+03,1.911766e+01
1.521661e-01,4.539891e+02,1.871468e+03,1.871468e+01
1.538953e-01,4.394680e+02,1.774708e+03,1.774708e+01
1.556245e-01,4.410195e+02,1.719045e+03,1.719045e+01
1.573536e-01,4.295120e+02,1.590600e+03,1.590600e+01
1.590828e-01,4.219785e+02,1.534457e+03,1.534457e+01
1.608119e-01,4.153294e+02,1.485368e+03,1.485368e+01
1.625411e-01,4.117341e+02,1.450908e+03,1.450908e+01
1.642703e-01,4.005567e+02,1.374727e+03,1.374727e+01
1.659994e-01,3.916022e+02,1.338235e+03,1.338235e+01
1.677286e-01,3.779886e+02,1.282430e+03,1.282430e+01
1.694577e-01,3.688716e+02,1.264440e+03,1.264440e+01
1.711869e-01,3.618112e+02,1.258056e+03,1.258056e+01
1.729161e-01,3.518375e+02,1.224850e+03,1.224850e+01
1.746452e-01,3.332234e+02,1.126843e+03,1.126843e+01
1.763744e-01,3.292936e+02,1.132828e+03,1.132828e+01
1.781036e-01,3.125756e+02,1.043869e+03,1.043869e+01
1.798327e-01,2.986208e+02,9.909744e+02,9.909744e+00
1.815619e-01,2.833313e+02,9.115779e+02,9.115779e+00
1.832910e-01,2.778479e+02,9.262072e+02,9.262072e+00
1.850202e-01,2.607733e+02,8.737373e+02,8.737373e+00
1.867494e-01,2.473686e+02,8.502533e+02,8.502533e+00
1.884785e-01,2.371887e+02,8.327963e+02,8.327963e+00
1.902077e-01,2.309753e+02,8.649074e+02,8.649074e+00
1.919368e-01,2.151617e+02,8.336371e+02,8.336371e+00
1.936660e-01,2.084786e+02,8.378591e+02,8.378591e+00
1.953952e-01,2.019213e+02,8.393563e+02,8.393563e+00
1.971243e-01,1.911694e+02,8.314226e+02,8.314226e+00
1.988535e-01,1.845730e+02,8.410007e+02,8.410007e+00
2.005826e-01,1.745133e+02,8.669991e+02,8.669991e+00
2.023118e-01,1.687148e+02,8.678675e+02,8.678675e+00
2.040410e-01,1.622611e+02,8.775364e+02,8.775364e+00
2.057701e-01,1.575055e+02,9.003843e+02,9.003843e+00
2.074993e-01,1.512039e+02,8.987471e+02,8.987471e+00
2.092284e-01,1.462977e+02,9.131536e+02,9.131536e+00
2.109576e-01,1.402813e+02,9.142342e+02,9.142342e+00
2.126868e-01,1.341528e+02,9.244029e+02,9.244029e+00
2.144159e-01,1.282798e+02,9.086608e+02,9.086608e+00
2.161451e-01,1.264561e+02,9.291598e+02,9.291598e+00
2.178742e-01,1.194834e+02,9.118858e+02,9.118858e+00
2.196034e-01,1.170366e+02,9.125390e+02,9.125390e+00
2.213326e-01,1.155152e+02,9.105053e+02,9.105053e+00
2.230617e-01,1.108665e+02,8.749991e+02,8.749991e+00
2.247909e-01,1.090629e+02,8.743724e+02,8.743724e+00
2.265201e-01,1.049038e+02,8.292053e+02,8.292053e+00
2.282492e-01,1.026804e+02,8.134438e+02,8.134438e+00
2.299784e-01,1.006908e+02,7.795792e+02,7.795792e+00
2.317075e-01,9.810859e+01,7.477807e+02,7.477807e+00
2.334367e-01,9.537322e+01,7.207273e+02,7.207273e+00
2.351659e-01,9.379216e+01,6.854541e+02,6.854541e+00
2.368950e-01,9.206883e+01,6.643756e+02,6.643756e+00
2.386242e-01,9.099399e+01,6.223012e+02,6.223012e+00
2.403533e-01,8.918366e+01,6.259993e+02,6.259993e+00
2.420825e-01,8.696790e+01,5.952367e+02,5.952367e+00
2.438117e-01,8.512691e+01,5.716302e+02,5.716302e+00
2.455408e-01,8.542215e+01,5.939652e+02,5.939652e+00
2.472700e-01,8.299771e+01,5.672233e+02,5.672233e+00
2.489991e-01,8.331349e+01,5.680531e+02,5.680531e+00
2.507283e-01,8.384050e+01,5.772775e+02,5.772775e+00
2.524575e-01,8.350389e+01,5.718586e+02,5.718586e+00
2.541866e-01,8.195925e+01,5.692358e+02,5.692358e+00
2.559158e-01,8.137265e+01,5.747635e+02,5.747635e+00
2.576449e-01,8.199980e+01,5.661121e+02,5.661121e+00
2.593741e-01,8.176122e+01,5.688814e+02,5.688814e+00
2.611033e-01,8.131526e+01,5.584813e+02,5.584813e+00
2.628324e-01,8.187847e+01,5.645562e+02,5.645562e+00
2.645616e-01,8.095170e+01,5.343233e+02,5.343233e+00
2.662907e-01,8.035117e+01,5.258467e+02,5.258467e+00
2.680199e-01,7.970695e+01,5.061956e+02,5.061956e+00
2.697491e-01,7.892667e+01,4.928170e+02,4.928170e+00
2.714782e-01,7.896141e+01,4.885665e+02,4.885665e+00
2.732074e-01,7.867311e+01,4.646299e+02,4.646299e+00
2.749366e-01,7.662056e+01,4.468152e+02,4.468152e+00
2.766657e-01,7.670763e+01,4.385886e+02,4.385886e+00
2.783949e-01,7.622975e+01,4.248494e+02,4.248494e+00
2.801240e-01,7.448900e+01,4.023614e+02,4.023614e+00
2.818532e-01,7.471084e+01,4.024894e+02,4.024894e+00
2.835824e-01,7.308611e+01,3.840305e+02,3.840305e+00
2.853115e-01,7.370970e+01,3.865161e+02,3.865161e+00
2.870407e-01,7.055646e+01,3.606819e+02,3.606819e+00
2.887698e-01,7.085413e+01,3.524232e+02,3.524232e+00
2.904990e-01,6.688075e+01,3.219831e+02,3.219831e+00
2.922282e-01,6.642744e+01,3.130967e+02,3.130967e+00
2.939573e-01,6.523596e+01,2.996215e+02,2.996215e+00
2.956865e-01,6.185137e+01,2.806103e+02,2.806103e+00
2.974156e-01,6.086250e+01,2.727449e+02,2.727449e+00
2.991448e-01,5.824049e+01,2.588285e+02,2.588285e+00
3.008740e-01,5.830395e+01,2.553201e+02,2.553201e+00
3.026031e-01,5.594399e+01,2.493598e+02,2.493598e+00
3.043323e-01,5.568192e+01,2.485161e+02,2.485161e+00
3.060614e-01,5.490937e+01,2.418435e+02,2.418435e+00
3.077906e-01,5.298588e+01,2.307366e+02,2.307366e+00
3.095198e-01,5.099777e+01,2.215715e+02,2.215715e+00
3.112489e-01,5.059887e+01,2.206791e+02,2.206791e+00
3.129781e-01,4.957589e+01,2.168225e+02,2.168225e+00
3.147072e-01,4.782350e+01,2.122352e+02,2.122352e+00
3.164364e-01,4.693712e+01,2.090884e+02,2.090884e+00
3.181656e-01,4.501521e+01,2.045542e+02,2.045542e+00
3.198947e-01,4.371148e+01,1.998327e+02,1.998327e+00
3.216239e-01,4.275257e+01,1.991658e+02,1.991658e+00
3.233530e-01,4.164886e+01,1.967673e+02,1.967673e+00
3.250822e-01,3.973019e+01,1.913652e+02,1.913652e+00
3.268114e-01,3.834022e+01,1.876923e+02,1.876923e+00
3.285405e-01,3.702900e+01,1.835783e+02,1.835783e+00
3.302697e-01,3.645593e+01,1.818512e+02,1.818512e+00
3.319989e-01,3.484391e+01,1.761870e+02,1.761870e+00
3.337280e-01,3.374602e+01,1.716453e+02,1.716453e+00
3.354572e-01,3.258381e+01,1.671492e+02,1.671492e+00
3.371863e-01,3.116352e+01,1.624714e+02,1.624714e+00
3.389155e-01,3.066277e+01,1.574022e+02,1.574022e+00
3.406447e-01,2.928209e+01,1.495967e+02,1.495967e+00
3.423738e-01,2.827186e+01,1.452901e+02,1.452901e+00
3.441030e-01,2.740542e+01,1.384414e+02,1.384414e+00
3.458321e-01,2.671083e+01,1.351792e+02,1.351792e+00
3.475613e-01,2.570881e+01,1.274209e+02,1.274209e+00
3.492905e-01,2.485089e+01,1.246714e+02,1.246714e+00
3.510196e-01,2.407425e+01,1.227753e+02,1.227753e+00
3.527488e-01,2.306928e+01,1.154462e+02,1.154462e+00
3.544779e-01,2.208663e+01,1.172860e+02,1.172860e+00
3.562071e-01,2.172063e+01,1.160648e+02,1.160648e+00
3.579363e-01,2.099396e+01,1.138826e+02,1.138826e+00
3.596654e-01,2.053971e+01,1.188115e+02,1.188115e+00
3.613946e-01,1.991283e+01,1.154599e+02,1.154599e+00
3.631237e-01,1.925010e+01,1.165763e+02,1.165763e+00
3.648529e-01,1.866090e+01,1.166436e+02,1.166436e+00
3.665821e-01,1.835988e+01,1.182562e+02,1.182562e+00
3.683112e-01,1.807075e+01,1.158340e+02,1.158340e+00
3.700404e-01,1.767430e+01,1.165321e+02,1.165321e+00
3.717695e-01,1.723418e+01,1.183136e+02,1.183136e+00
3.734987e-01,1.717718e+01,1.168628e+02,1.168628e+00
3.752279e-01,1.678534e+01,1.146545e+02,1.146545e+00
3.769570e-01,1.652661e+01,1.176025e+02,1.176025e+00
3.786862e-01,1.621536e+01,1.138706e+02,1.138706e+00
3.804154e-01,1.586608e+01,1.133711e+02,1.133711e+00
3.821445e-01,1.559757e+01,1.118725e+02,1.118725e+00
3.838737e-01,1.560168e+01,1.135253e+02,1.135253e+00
3.856028e-01,1.509531e+01,1.095263e+02,1.095263e+00
3.873320e-01,1.522856e+01,1.090286e+02,1.090286e+00
3.890612e-01,1.499031e+01,1.087910e+02,1.087910e+00
3.907903e-01,1.466439e+01,1.041300e+02,1.041300e+00
3.925195e-01,1.434037e+01,9.909073e+01,9.909073e-01
3.942486e-01,1.421828e+01,9.935844e+01,9.935844e-01
3.959778e-01,1.390202e+01,9.702646e+01,9.702646e-01
3.977070e-01,1.348229e+01,9.063530e+01,9.063530e-01
3.994361e-01,1.346071e+01,8.945956e+01,8.945956e-01
4.011653e-01,1.311240e+01,8.710503e+01,8.710503e-01
4.028944e-01,1.292096e+01,8.440490e+01,8.440490e-01
4.046236e-01,1.262617e+01,7.957534e+01,7.957534e-01
4.063528e-01,1.227923e+01,7.654087e+01,7.654087e-01
4.080819e-01,1.190788e+01,7.240065e+01,7.240065e-01
4.098111e-01,1.168958e+01,7.005691e+01,7.005691e-01
4.115402e-01,1.155077e+01,6.642961e+01,6.642961e-01
4.132694e-01,1.138921e+01,6.550546e+01,6.550546e-01
4.149986e-01,1.141998e+01,6.533126e+01,6.533126e-01
4.167277e-01,1.116952e+01,6.276097e+01,6.276097e-01
4.184569e-01,1.104423e+01,6.378420e+01,6.378420e-01
4.201860e-01,1.090717e+01,6.318183e+01,6.318183e-01
4.219152e-01,1.076802e+01,6.320703e+01,6.320703e-01
4.236444e-01,1.054908e+01,6.104920e+01,6.104920e-01
4.253735e-01,1.026525e+01,5.784498e+01,5.784498e-01
4.271027e-01,9.969057e+00,5.343972e+01,5.343972e-01
4.288319e-01,9.664091e+00,5.028696e+01,5.028696e-01
4.305610e-01,9.446354e+00,4.795043e+01,4.795043e-01
4.322902e-01,9.204410e+00,4.559246e+01,4.559246e-01
4.340193e-01,8.913758e+00,4.284406e+01,4.284406e-01
4.357485e-01,8.678868e+00,4.099839e+01,4.099839e-01
4.374777e-01,8.507317e+00,4.043882e+01,4.043882e-01
4.392068e-01,8.160426e+00,3.827390e+01,3.827390e-01
4.409360e-01,8.023926e+00,3.797166e+01,3.797166e-01
4.426651e-01,7.745702e+00,3.683838e+01,3.683838e-01
4.443943e-01,7.567011e+00,3.569372e+01,3.569372e-01
4.461235e-01,7.332905e+00,3.374458e+01,3.374458e-01
4.478526e-01,7.199041e+00,3.299136e+01,3.299136e-01
4.495818e-01,7.069771e+00,3.199757e+01,3.199757e-01
4.513109e-01,6.792508e+00,3.115757e+01,3.115757e-01
4.530401e-01,6.735187e+00,3.120765e+01,3.120765e-01
4.547693e-01,6.535188e+00,2.975939e+01,2.975939e-01
4.564984e-01,6.323584e+00,2.863668e+01,2.863668e-01
4.582276e-01,6.062941e+00,2.744698e+01,2.744698e-01
4.599567e-01,6.081252e+00,2.734155e+01,2.734155e-01
4.616859e-01,5.814862e+00,2.616900e+01,2.616900e-01
4.634151e-01,5.709842e+00,2.559792e+01,2.559792e-01
4.651442e-01,5.499345e+00,2.502557e+01,2.502557e-01
4.668734e-01,5.305376e+00,2.387603e+01,2.387603e-01
4.686025e-01,5.203579e+00,2.387259e+01,2.387259e-01
4.703317e-01,5.083169e+00,2.379032e+01,2.379032e-01
4.720609e-01,4.846421e+00,2.307910e+01,2.307910e-01
4.737900e-01,4.845109e+00,2.372247e+01,2.372247e-01
4.755192e-01,4.683741e+00,2.387327e+01,2.387327e-01
4.772484e-01,4.524139e+00,2.345024e+01,2.345024e-01
4.789775e-01,4.437700e+00,2.354969e+01,2.354969e-01
4.807067e-01,4.274099e+00,2.376568e+01,2.376568e-01
4.824358e-01,4.218990e+00,2.356469e+01,2.356469e-01
4.841650e-01,4.081605e+00,2.311491e+01,2.311491e-01
4.858942e-01,4.041311e+00,2.410303e+01,2.410303e-01
4.876233e-01,3.907922e+00,2.350307e+01,2.350307e-01
4.893525e-01,3.797429e+00,2.290614e+01,2.290614e-01
4.910816e-01,3.727966e+00,2.405449e+01,2.405449e-01
4.928108e-01,3.592770e+00,2.358625e+01,2.358625e-01
4.945400e-01,3.551424e+00,2.262807e+01,2.262807e-01
4.962691e-01,3.447793e+00,2.326562e+01,2.326562e-01
4.979983e-01,3.359872e+00,2.299680e+01,2.299680e-01
4.997274e-01,3.245830e+00,2.154642e+01,2.154642e-01
5.014566e-01,3.204497e+00,2.177599e+01,2.177599e-01
5.031858e-01,3.129957e+00,2.188194e+01,2.188194e-01
5.049149e-01,2.962568e+00,2.028179e+01,2.028179e-01
5.066441e-01,2.914046e+00,1.996490e+01,1.996490e-01
5.083732e-01,2.871257e+00,2.011825e+01,2.011825e-01
5.101024e-01,2.785487e+00,1.893629e+01,1.893629e-01
5.118316e-01,2.667888e+00,1.817581e+01,1.817581e-01
5.135607e-01,2.634174e+00,1.793478e+01,1.793478e-01
5.152899e-01,2.517254e+00,1.695710e+01,1.695710e-01
5.170190e-01,2.447524e+00,1.628611e+01,1.628611e-01
5.187482e-01,2.386022e+00,1.576804e+01,1.576804e-01
5.204774e-01,2.317278e+00,1.497085e+01,1.497085e-01
5.222065e-01,2.286453e+00,1.475496e+01,1.475496e-01
5.239357e-01,2.222459e+00,1.394979e+01,1.394979e-01
5.256649e-01,2.144967e+00,1.336289e+01,1.336289e-01
