k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
2.879802e-02,1.061647e-05,6.316645e-06,4.827571e-06,9.405854e-06,1.146216e-05
2.924106e-02,9.657363e-06,5.669507e-06,4.367131e-06,8.680896e-06,1.022937e-05
2.968411e-02,8.708138e-06,5.229137e-06,3.964251e-06,7.816942e-06,9.322291e-06
3.012715e-02,7.730005e-06,4.808595e-06,3.626078e-06,7.122126e-06,8.481968e-06
3.057020e-02,7.008301e-06,4.323708e-06,3.325872e-06,6.538359e-06,7.721829e-06
3.101325e-02,6.345764e-06,3.964533e-06,2.988107e-06,5.964205e-06,6.921435e-06
3.145629e-02,5.747064e-06,3.577233e-06,2.783342e-06,5.533068e-06,6.418662e-06
3.189934e-02,5.317293e-06,3.310561e-06,2.568155e-06,4.937543e-06,5.884568e-06
3.234239e-02,4.767962e-06,3.003689e-06,2.305250e-06,4.436690e-06,5.267539e-06
3.278543e-02,4.275955e-06,2.756780e-06,2.109111e-06,4.095597e-06,4.765760e-06
3.322848e-02,4.034584e-06,2.533696e-06,1.929849e-06,3.701960e-06,4.338066e-06
3.367153e-02,3.626248e-06,2.228253e-06,1.796864e-06,3.343117e-06,4.061622e-06
3.411457e-02,3.320949e-06,2.080175e-06,1.625369e-06,3.094115e-06,3.609892e-06
3.455762e-02,3.066806e-06,1.845627e-06,1.475351e-06,2.751841e-06,3.265031e-06
3.500066e-02,2.804090e-06,1.704038e-06,1.367221e-06,2.558411e-06,2.968605e-06
3.544371e-02,2.609589e-06,1.553295e-06,1.227599e-06,2.323354e-06,2.687485e-06
3.588676e-02,2.338398e-06,1.422655e-06,1.154693e-06,2.131871e-06,2.490990e-06
3.632980e-02,2.136580e-06,1.282567e-06,1.044035e-06,1.937768e-06,2.244360e-06
3.677285e-02,1.947728e-06,1.198126e-06,9.514573e-07,1.787692e-06,2.068029e-06
3.721590e-02,1.784144e-06,1.095810e-06,8.880300e-07,1.662104e-06,1.908295e-06
3.765894e-02,1.563250e-06,1.007189e-06,8.037931e-07,1.505411e-06,1.755922e-06
3.810199e-02,1.443803e-06,9.573346e-07,7.369084e-07,1.374157e-06,1.625674e-06
3.854504e-02,1.287307e-06,8.715793e-07,6.736246e-07,1.288262e-06,1.479304e-06
3.898808e-02,1.166821e-06,8.071754e-07,6.230198e-07,1.155642e-06,1.354751e-06
