# T0 = 16858.15916715125 K
# gamma = 1.0145879221200667
# gamma_err = nan
# n_pixels = 112526142
log_density,log_temperature
-3.056009e-01,3.880079e+00
1.282172e-01,4.070500e+00
-8.619957e-02,3.969456e+00
6.213080e-02,4.033060e+00
2.306160e-01,4.119102e+00
-2.741684e-01,3.883711e+00
-1.544507e-01,3.937869e+00
-3.168526e-02,3.977104e+00
1.298679e-01,4.061112e+00
-2.696510e-01,3.886781e+00
2.349173e-01,4.121627e+00
-1.422798e-01,3.939303e+00
6.338974e-02,4.052179e+00
7.383744e-02,4.035793e+00
-3.633091e-01,3.842234e+00
-1.302671e-01,3.954688e+00
-1.004300e-01,3.962054e+00
-4.292533e-01,3.823657e+00
-2.769827e-02,3.979957e+00
4.166445e-03,4.020218e+00
6.368625e-02,4.554733e+00
9.559716e-02,4.059033e+00
3.871604e-01,4.209427e+00
1.361743e-02,4.000012e+00
-2.552416e-01,3.901126e+00
-2.355986e-01,3.910101e+00
-1.304731e-01,3.935226e+00
1.738359e-01,4.169745e+00
1.198388e-01,4.060492e+00
6.867255e-02,4.041221e+00
5.812790e-01,4.290211e+00
-7.171415e-02,3.976607e+00
3.523760e-02,4.030559e+00
6.945201e-02,4.042276e+00
5.382946e-01,4.276504e+00
-6.780400e-02,3.976857e+00
-3.375067e-01,3.858443e+00
-1.737936e-01,3.938554e+00
3.365263e-01,4.168108e+00
-1.367423e-01,3.938266e+00
1.108296e-01,4.077479e+00
-7.206656e-02,3.962548e+00
-2.177457e-01,3.911292e+00
6.339625e-01,4.320898e+00
-1.310120e-01,3.953604e+00
3.130300e-01,4.165950e+00
-1.721815e-02,4.002126e+00
8.789060e-02,4.082833e+00
-4.036315e-01,3.852632e+00
-4.499473e-02,3.983215e+00
3.326973e-01,4.158667e+00
-7.300935e-02,3.975284e+00
-2.130718e-01,3.919034e+00
-2.378963e-01,3.903035e+00
-2.331512e-01,3.907735e+00
1.216691e+00,4.526140e+00
5.287363e-01,4.314276e+00
-1.239370e-01,3.957982e+00
-3.699271e-01,3.849493e+00
-2.771763e-01,3.875628e+00
-4.063529e-01,3.833785e+00
2.572055e-01,4.134151e+00
-3.638310e-02,3.997431e+00
-1.271157e-01,3.940509e+00
9.261680e-02,4.058124e+00
-1.822986e-01,3.916718e+00
-4.044168e-03,4.004040e+00
-1.833017e-02,3.996681e+00
-2.034603e-01,3.913371e+00
1.073780e+00,4.504714e+00
3.719993e-03,4.002949e+00
-1.178851e-01,3.954732e+00
6.455416e-01,4.326786e+00
-7.920897e-02,4.158816e+00
-3.299319e-01,3.866250e+00
7.204365e-02,4.034853e+00
1.949820e-01,4.111448e+00
-2.332510e-01,3.910710e+00
7.736912e-01,4.385749e+00
-1.067315e-02,4.152298e+00
6.833388e-01,4.359495e+00
2.717301e-02,4.013875e+00
-8.782407e-02,3.962520e+00
1.950846e-01,4.113249e+00
-1.953289e-01,3.920419e+00
2.750572e-01,4.155783e+00
-1.078797e-02,3.988396e+00
-1.281337e-01,3.957125e+00
3.067642e-01,4.159329e+00
-2.086897e-01,3.918966e+00
2.345927e-01,4.124071e+00
-7.356581e-02,3.968907e+00
1.607781e+00,4.703735e+00
5.587414e-01,4.274769e+00
5.775724e-01,4.288293e+00
-5.195503e-02,3.980994e+00
2.046352e-01,4.098682e+00
9.116610e-02,4.044884e+00
-5.537007e-02,3.980819e+00
1.228043e-01,4.078512e+00
-2.155485e-01,3.905639e+00
-1.213721e-01,3.950401e+00
4.053519e-01,4.194729e+00
3.518161e-01,4.185107e+00
-3.525554e-01,3.860577e+00
1.811015e-01,4.079724e+00
1.554542e-01,4.118340e+00
2.526377e-01,4.121175e+00
-1.167118e-01,3.963516e+00
-2.851306e-01,3.882373e+00
-1.870215e-02,4.001499e+00
-1.221177e-01,3.952278e+00
-1.581049e-01,3.941757e+00
5.468985e-01,4.277932e+00
2.005571e-01,4.094537e+00
-1.454445e-01,3.949902e+00
2.495275e-02,4.040886e+00
2.958845e-01,4.155915e+00
-2.749588e-01,3.884816e+00
9.039928e-02,4.461715e+00
2.595420e-01,4.174758e+00
-3.300397e-01,3.854896e+00
9.427848e-01,4.450393e+00
3.655985e-01,4.178925e+00
-7.199368e-02,3.969813e+00
-1.765885e-01,3.938567e+00
-1.481177e-02,4.003230e+00
-3.971173e-02,4.002262e+00
1.950598e-01,4.103610e+00
-1.701238e-01,3.941755e+00
1.096609e-01,4.052013e+00
-1.259792e-01,3.952281e+00
-2.252559e-01,3.902659e+00
-1.932211e-01,3.922127e+00
4.114871e-01,4.210100e+00
-1.858291e-01,3.926561e+00
-5.101845e-02,4.000824e+00
3.633832e-02,4.033880e+00
-7.027593e-02,3.984431e+00
-2.115835e-01,3.919276e+00
-3.124271e-01,3.861527e+00
-3.318466e-02,4.001709e+00
5.903827e-02,4.041920e+00
2.220898e-01,4.108713e+00
3.063081e-01,4.166096e+00
1.550748e-01,4.086610e+00
-8.522405e-02,3.974364e+00
-3.584685e-01,3.850891e+00
-4.107320e-01,3.826076e+00
1.804922e-01,4.100285e+00
5.105877e-01,4.257989e+00
-8.888996e-02,3.966009e+00
5.568396e-01,4.284328e+00
5.327651e-01,4.269229e+00
-1.072438e-01,3.956799e+00
-1.231411e-02,4.007030e+00
-2.724817e-01,3.883007e+00
-1.598566e-01,3.941251e+00
2.021275e-01,4.106907e+00
-4.835400e-01,3.807923e+00
9.667900e-01,4.525871e+00
-2.135831e-01,3.916895e+00
-3.702855e-02,4.001145e+00
-6.912049e-02,3.961046e+00
-1.837299e-01,3.922476e+00
4.657097e-01,4.234655e+00
1.171898e-02,4.020116e+00
7.328445e-01,4.377806e+00
-2.113761e-01,3.906483e+00
-9.528050e-02,3.961259e+00
6.263970e-01,4.322296e+00
6.743306e-01,4.358971e+00
8.777517e-02,4.051345e+00
6.684546e-01,4.573659e+00
-1.897521e-01,3.914338e+00
-1.186489e-01,3.939250e+00
-7.355158e-02,3.978614e+00
-3.458460e-01,3.859682e+00
-1.858541e-01,3.931658e+00
-6.825991e-02,3.970804e+00
1.843983e-01,4.090004e+00
-1.953825e-01,3.927147e+00
-7.179638e-02,3.974623e+00
6.050518e-01,4.313045e+00
7.402102e-01,4.371765e+00
-3.137164e-02,4.004292e+00
1.911104e-01,4.116676e+00
-8.961146e-02,3.959947e+00
-6.355340e-02,3.976730e+00
3.722085e-01,4.187837e+00
1.113079e-02,4.017893e+00
1.374273e-01,4.077548e+00
6.089064e-02,4.060241e+00
-1.261301e-01,3.944319e+00
-2.524215e-01,3.892483e+00
-1.896424e-01,3.917343e+00
-1.603180e-01,3.935133e+00
-2.529067e-01,3.900759e+00
6.021747e-01,4.307230e+00
2.079566e-01,4.115475e+00
2.471676e-01,4.119984e+00
1.117488e-01,4.073703e+00
-1.061525e-01,3.959786e+00
-1.335509e-02,4.005314e+00
3.074109e-01,4.147970e+00
-3.149980e-01,3.870673e+00
2.866730e-01,4.160817e+00
-2.238299e-01,3.908486e+00
4.225237e-01,4.222661e+00
6.446273e-01,4.321268e+00
-4.427467e-01,3.819880e+00
-1.455815e-01,3.946087e+00
-1.063433e-01,3.973380e+00
4.660437e-01,4.247556e+00
2.167288e-02,4.016688e+00
3.462763e-01,4.183611e+00
9.287026e-01,4.435273e+00
1.794648e-01,4.104599e+00
-5.899324e-02,3.980097e+00
-2.009879e-01,3.904780e+00
-1.302274e-01,3.947751e+00
4.952797e-02,4.027599e+00
7.328172e-02,4.054003e+00
-9.839754e-02,3.959752e+00
7.408395e-01,4.477006e+00
9.695650e-01,4.499171e+00
-7.778394e-02,3.975434e+00
-2.339122e-01,3.907861e+00
-2.236326e-01,3.914385e+00
-6.110616e-02,3.980026e+00
-4.561290e-02,3.989878e+00
1.755628e-01,4.085622e+00
2.319032e-01,4.114268e+00
-3.841950e-01,3.847208e+00
2.164732e-01,4.129219e+00
7.012561e-01,4.351176e+00
1.479226e+00,4.575005e+00
4.395715e-01,4.228744e+00
-1.269911e-01,3.946797e+00
1.117608e+00,4.526855e+00
-1.090203e-01,3.968668e+00
-1.844441e-02,4.008826e+00
3.434136e-01,4.175671e+00
1.968417e+00,5.444006e+00
5.477085e-01,4.297352e+00
-1.745329e-01,3.929618e+00
2.093058e-01,4.106562e+00
4.276389e-03,4.018633e+00
-1.596142e-01,3.933714e+00
1.542503e-02,4.017905e+00
1.948362e-01,4.096608e+00
4.257727e-01,4.220014e+00
8.679094e-02,4.058790e+00
2.419574e-01,4.117032e+00
-1.738322e-02,4.010894e+00
4.168111e-02,4.038834e+00
4.062557e-01,4.203704e+00
1.335874e-01,4.088255e+00
-5.226257e-02,3.981936e+00
-3.294723e-01,3.868139e+00
1.113345e-01,4.056613e+00
5.560497e-01,4.285727e+00
8.857146e-01,4.463388e+00
-2.898367e-01,3.877842e+00
-2.472991e-01,3.907856e+00
-2.693141e-02,4.000670e+00
-4.211986e-01,3.841781e+00
-1.462565e-01,3.953678e+00
-4.624238e-01,3.811158e+00
-1.116574e-01,3.949982e+00
2.838448e-01,4.154406e+00
-4.294196e-01,3.830286e+00
3.002515e-01,4.156684e+00
1.902958e+00,4.555147e+00
-6.322619e-02,3.975077e+00
5.134329e-01,4.254005e+00
-3.794093e-01,3.855474e+00
9.434931e-02,4.057025e+00
2.453948e-02,4.034566e+00
-3.160320e-01,3.877006e+00
7.050829e-01,4.361234e+00
-2.648944e-01,3.903728e+00
6.123424e-02,4.035660e+00
-1.138987e-01,3.951208e+00
4.844089e-02,4.024976e+00
-3.160256e-01,3.863323e+00
-3.272092e-01,3.864321e+00
-5.362654e-02,3.989419e+00
-9.549717e-02,3.977004e+00
-9.698164e-02,3.959030e+00
1.884374e-01,4.094912e+00
-1.976067e-01,3.919082e+00
-2.655922e-01,3.889566e+00
3.731944e-02,4.027207e+00
-1.340424e-01,3.948103e+00
3.973601e-02,4.020198e+00
-2.455493e-01,3.896806e+00
4.496041e-01,4.443843e+00
-5.568911e-02,3.973896e+00
