k_s_per_km,kPk_pi_p1_n2,kPk_pi_p2_n2,kPk_pi_p7_n2,kPk_pi_p8_n2,kPk_pi_p9_n2
3.263138e+00,2.316414e-17,1.291399e-10,2.751906e-11,4.982443e-11,6.499124e-11
3.263621e+00,2.348133e-17,1.287485e-10,2.636730e-11,4.895447e-11,6.578042e-11
3.264104e+00,2.350429e-17,1.284014e-10,2.528808e-11,4.780343e-11,6.650588e-11
3.264587e+00,2.320927e-17,1.281194e-10,2.430658e-11,4.647072e-11,6.715608e-11
3.265070e+00,2.341706e-17,1.278237e-10,2.344300e-11,4.506372e-11,6.772074e-11
3.265553e+00,2.348702e-17,1.273963e-10,2.271148e-11,4.367855e-11,6.819253e-11
3.266036e+00,2.388380e-17,1.268695e-10,2.211984e-11,4.238580e-11,6.856731e-11
3.266519e+00,2.368716e-17,1.264702e-10,2.167004e-11,4.122335e-11,6.884298e-11
3.267002e+00,2.344198e-17,1.263593e-10,2.135783e-11,4.019786e-11,6.901882e-11
3.267485e+00,2.282745e-17,1.263473e-10,2.117751e-11,3.929601e-11,6.909309e-11
3.267968e+00,2.310106e-17,1.260313e-10,2.111441e-11,3.848731e-11,6.906751e-11
3.268451e+00,2.316999e-17,1.253607e-10,2.114622e-11,3.773772e-11,6.894783e-11
3.268934e+00,2.297235e-17,1.246933e-10,2.125390e-11,3.702638e-11,6.873767e-11
3.269417e+00,2.297281e-17,1.243737e-10,2.141801e-11,3.634371e-11,6.844283e-11
3.269900e+00,2.322638e-17,1.243404e-10,2.162012e-11,3.568966e-11,6.807142e-11
3.270383e+00,2.329978e-17,1.242192e-10,2.184323e-11,3.507165e-11,6.763577e-11
3.270866e+00,2.300869e-17,1.237389e-10,2.207251e-11,3.449995e-11,6.715232e-11
3.271349e+00,2.315112e-17,1.229507e-10,2.229582e-11,3.398602e-11,6.664096e-11
3.271832e+00,2.307956e-17,1.220448e-10,2.250499e-11,3.353910e-11,6.612134e-11
3.272315e+00,2.320024e-17,1.210892e-10,2.269367e-11,3.317003e-11,6.561379e-11
3.272798e+00,2.311919e-17,1.200102e-10,2.285742e-11,3.289340e-11,6.513776e-11
3.273281e+00,2.310357e-17,1.187710e-10,2.299452e-11,3.272723e-11,6.471179e-11
3.273764e+00,2.315936e-17,1.174139e-10,2.310780e-11,3.268322e-11,6.434480e-11
3.274247e+00,2.272990e-17,1.159287e-10,2.319978e-11,3.277670e-11,6.404478e-11
3.274730e+00,2.277232e-17,1.143010e-10,2.327419e-11,3.301844e-11,6.381900e-11
3.275213e+00,2.320748e-17,1.126645e-10,2.333518e-11,3.341029e-11,6.367357e-11
3.275696e+00,2.240851e-17,1.112832e-10,2.338678e-11,3.394164e-11,6.361396e-11
3.276179e+00,2.261136e-17,1.103179e-10,2.343303e-11,3.458823e-11,6.364565e-11
3.276662e+00,2.247326e-17,1.096802e-10,2.347700e-11,3.531306e-11,6.377346e-11
