k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
2.879802e-02,1.061647e-05,6.309376e-06,6.225982e-06,9.982796e-06,1.985795e-05
2.924106e-02,9.657363e-06,5.695572e-06,5.595988e-06,9.105174e-06,1.738406e-05
2.968411e-02,8.708138e-06,5.120038e-06,5.108258e-06,8.297443e-06,1.606632e-05
3.012715e-02,7.730005e-06,4.754858e-06,4.591065e-06,7.490775e-06,1.465565e-05
3.057020e-02,7.008301e-06,4.354785e-06,4.200345e-06,6.839728e-06,1.317311e-05
3.101325e-02,6.345764e-06,3.876671e-06,3.830730e-06,6.156746e-06,1.204573e-05
3.145629e-02,5.747064e-06,3.538431e-06,3.432712e-06,5.685429e-06,1.096477e-05
3.189934e-02,5.317293e-06,3.197415e-06,3.145371e-06,5.083880e-06,1.004358e-05
3.234239e-02,4.767962e-06,2.983638e-06,2.800602e-06,4.692074e-06,9.103572e-06
3.278543e-02,4.275955e-06,2.671522e-06,2.621439e-06,4.235453e-06,8.301892e-06
3.322848e-02,4.034584e-06,2.388499e-06,2.378434e-06,3.865430e-06,7.479376e-06
3.367153e-02,3.626248e-06,2.245060e-06,2.169150e-06,3.490065e-06,6.883366e-06
3.411457e-02,3.320949e-06,2.030488e-06,1.969524e-06,3.185219e-06,6.294920e-06
3.455762e-02,3.066806e-06,1.828026e-06,1.762777e-06,2.913658e-06,5.720640e-06
3.500066e-02,2.804090e-06,1.688342e-06,1.591089e-06,2.666989e-06,5.182830e-06
3.544371e-02,2.609589e-06,1.543344e-06,1.449794e-06,2.400986e-06,4.642581e-06
3.588676e-02,2.338398e-06,1.438918e-06,1.323578e-06,2.160448e-06,4.336552e-06
3.632980e-02,2.136580e-06,1.334453e-06,1.190056e-06,1.961158e-06,3.862696e-06
3.677285e-02,1.947728e-06,1.245392e-06,1.097889e-06,1.787632e-06,3.479075e-06
3.721590e-02,1.784144e-06,1.120920e-06,1.000364e-06,1.659623e-06,3.207399e-06
3.765894e-02,1.563250e-06,1.062700e-06,9.392924e-07,1.513912e-06,2.917229e-06
3.810199e-02,1.443803e-06,9.356503e-07,8.532570e-07,1.376758e-06,2.611267e-06
3.854504e-02,1.287307e-06,8.649934e-07,7.944316e-07,1.270035e-06,2.432644e-06
3.898808e-02,1.166821e-06,8.121911e-07,7.363450e-07,1.173265e-06,2.194714e-06
3.943113e-02,1.071564e-06,7.245206e-07,6.680090e-07,1.085013e-06,1.986449e-06
3.987417e-02,9.478652e-07,6.709950e-07,6.135061e-07,1.012664e-06,1.818191e-06
4.031722e-02,8.848897e-07,6.164046e-07,5.643838e-07,9.302038e-07,1.656529e-06
4.076027e-02,8.023878e-07,5.655946e-07,5.199106e-07,8.645946e-07,1.521793e-06
4.120331e-02,7.395281e-07,5.261892e-07,4.788258e-07,7.932757e-07,1.389987e-06
4.164636e-02,6.894447e-07,4.840992e-07,4.326792e-07,7.349069e-07,1.261578e-06
4.208941e-02,6.411176e-07,4.492190e-07,3.957942e-07,6.835896e-07,1.149199e-06
4.253245e-02,5.884135e-07,4.160324e-07,3.749011e-07,6.117605e-07,1.044446e-06
4.297550e-02,5.458075e-07,3.881626e-07,3.429119e-07,5.587528e-07,9.668640e-07
4.341855e-02,5.061094e-07,3.701819e-07,3.094458e-07,5.171459e-07,8.854152e-07
4.386159e-02,4.672076e-07,3.383274e-07,2.860864e-07,4.703097e-07,7.951497e-07
4.430464e-02,4.330242e-07,3.144201e-07,2.639013e-07,4.310876e-07,7.420676e-07
4.474769e-02,3.972902e-07,2.945005e-07,2.428514e-07,3.913808e-07,6.669502e-07
4.519073e-02,3.592906e-07,2.733195e-07,2.216654e-07,3.608483e-07,6.071893e-07
4.563378e-02,3.235321e-07,2.488305e-07,2.094484e-07,3.389760e-07,5.567408e-07
4.607682e-02,2.926803e-07,2.312261e-07,1.936712e-07,3.084686e-07,5.170545e-07
4.651987e-02,2.688470e-07,2.149498e-07,1.846576e-07,2.929928e-07,4.736682e-07
4.696292e-02,2.414977e-07,1.977205e-07,1.762411e-07,2.738947e-07,4.418537e-07
4.740596e-02,2.173524e-07,1.844046e-07,1.657601e-07,2.535401e-07,4.061253e-07
4.784901e-02,2.001646e-07,1.768835e-07,1.531908e-07,2.445624e-07,3.715479e-07
4.829206e-02,1.863502e-07,1.654311e-07,1.415911e-07,2.235390e-07,3.450010e-07
4.873510e-02,1.725958e-07,1.581944e-07,1.329913e-07,2.121296e-07,3.177508e-07
4.917815e-02,1.656316e-07,1.496306e-07,1.230178e-07,1.932323e-07,2.962931e-07
4.962120e-02,1.595336e-07,1.421818e-07,1.163234e-07,1.831384e-07,2.742699e-07
5.006424e-02,1.489182e-07,1.364994e-07,1.097138e-07,1.734876e-07,2.475113e-07
5.050729e-02,1.412220e-07,1.280781e-07,1.043035e-07,1.576677e-07,2.257779e-07
5.095033e-02,1.347114e-07,1.215285e-07,9.904227e-08,1.500921e-07,2.078219e-07
5.139338e-02,1.248521e-07,1.129157e-07,9.571774e-08,1.363560e-07,1.902165e-07
5.183643e-02,1.168033e-07,1.046330e-07,9.003464e-08,1.279042e-07,1.746809e-07
5.227947e-02,1.098550e-07,9.768779e-08,8.291862e-08,1.164090e-07,1.605748e-07
5.272252e-02,1.008957e-07,9.106437e-08,7.640177e-08,1.122860e-07,1.490932e-07
5.316557e-02,9.351151e-08,8.708380e-08,6.972689e-08,1.040657e-07,1.350842e-07
5.360861e-02,8.686688e-08,8.228994e-08,6.522664e-08,9.830667e-08,1.234498e-07
5.405166e-02,7.747619e-08,7.645764e-08,5.979475e-08,9.196123e-08,1.167027e-07
5.449471e-02,7.187612e-08,7.227074e-08,5.701783e-08,8.739877e-08,1.087531e-07
5.493775e-02,6.690602e-08,6.807184e-08,5.423769e-08,8.322506e-08,1.012970e-07
5.538080e-02,6.053453e-08,6.357780e-08,5.186637e-08,7.733974e-08,9.677216e-08
5.582384e-02,5.856593e-08,6.194796e-08,5.140997e-08,7.414508e-08,9.191288e-08
5.626689e-02,5.361268e-08,5.889794e-08,5.073297e-08,6.905788e-08,8.479139e-08
5.670994e-02,5.079488e-08,5.643060e-08,4.966756e-08,6.578287e-08,7.832375e-08
5.715298e-02,4.843428e-08,5.456547e-08,4.782700e-08,6.114746e-08,7.463135e-08
5.759603e-02,4.620459e-08,5.309796e-08,4.409740e-08,5.852283e-08,7.095359e-08
5.803908e-02,4.454345e-08,5.065206e-08,4.144674e-08,5.520046e-08,6.680806e-08
5.848212e-02,4.333515e-08,4.878626e-08,3.845966e-08,5.122214e-08,6.160407e-08
5.892517e-02,4.072250e-08,4.625453e-08,3.601401e-08,4.926170e-08,5.724949e-08
5.936822e-02,3.873606e-08,4.314923e-08,3.381723e-08,4.600906e-08,5.362133e-08
5.981126e-02,3.789738e-08,4.060782e-08,3.168658e-08,4.423723e-08,5.021144e-08
6.025431e-02,3.569466e-08,3.808211e-08,3.020985e-08,4.266729e-08,4.657668e-08
6.069736e-02,3.396630e-08,3.613279e-08,2.890340e-08,4.174626e-08,4.408869e-08
6.114040e-02,3.193986e-08,3.405777e-08,2.836286e-08,3.989411e-08,4.127403e-08
6.158345e-02,3.056370e-08,3.296824e-08,2.759598e-08,3.786728e-08,3.826245e-08
6.202649e-02,2.824824e-08,3.242894e-08,2.728311e-08,3.666946e-08,3.577507e-08
6.246954e-02,2.635884e-08,3.155900e-08,2.594582e-08,3.417416e-08,3.367547e-08
6.291259e-02,2.484865e-08,2.994467e-08,2.459336e-08,3.282995e-08,3.154016e-08
6.335563e-02,2.315420e-08,2.973819e-08,2.351722e-08,3.054057e-08,3.016881e-08
6.379868e-02,2.160446e-08,2.861191e-08,2.288302e-08,2.874008e-08,2.852352e-08
6.424173e-02,2.045336e-08,2.744639e-08,2.225248e-08,2.700116e-08,2.680712e-08
6.468477e-02,1.943025e-08,2.634027e-08,2.133330e-08,2.549256e-08,2.577851e-08
6.512782e-02,1.865052e-08,2.516045e-08,2.057897e-08,2.422202e-08,2.453784e-08
6.557087e-02,1.778943e-08,2.329694e-08,1.938372e-08,2.350847e-08,2.314612e-08
6.601391e-02,1.731676e-08,2.209286e-08,1.820191e-08,2.258567e-08,2.216157e-08
6.645696e-02,1.654189e-08,2.092726e-08,1.705790e-08,2.148670e-08,2.138195e-08
6.690000e-02,1.621828e-08,1.972809e-08,1.598475e-08,2.078674e-08,2.016979e-08
6.734305e-02,1.572739e-08,1.901403e-08,1.485767e-08,1.969461e-08,1.908053e-08
6.778610e-02,1.523508e-08,1.849165e-08,1.356511e-08,1.990821e-08,1.810805e-08
6.822914e-02,1.473365e-08,1.752174e-08,1.260803e-08,1.885530e-08,1.740871e-08
6.867219e-02,1.408924e-08,1.691354e-08,1.240657e-08,1.839525e-08,1.635525e-08
6.911524e-02,1.331802e-08,1.648248e-08,1.258113e-08,1.745954e-08,1.537207e-08
6.955828e-02,1.262047e-08,1.571960e-08,1.292912e-08,1.669475e-08,1.462603e-08
7.000133e-02,1.197517e-08,1.496619e-08,1.312278e-08,1.586802e-08,1.415537e-08
7.044438e-02,1.132275e-08,1.477013e-08,1.307108e-08,1.483603e-08,1.340985e-08
7.088742e-02,1.061197e-08,1.438302e-08,1.290121e-08,1.398404e-08,1.264781e-08
7.133047e-02,1.003175e-08,1.406979e-08,1.250921e-08,1.325828e-08,1.210109e-08
7.177351e-02,9.377114e-09,1.375084e-08,1.185972e-08,1.235815e-08,1.152223e-08
7.221656e-02,8.969655e-09,1.333053e-08,1.107160e-08,1.182671e-08,1.110851e-08
7.265961e-02,8.649497e-09,1.280609e-08,1.012201e-08,1.139789e-08,1.069547e-08
7.310265e-02,8.270080e-09,1.234970e-08,9.118595e-09,1.106690e-08,1.010836e-08
7.354570e-02,8.056773e-09,1.169675e-08,8.346096e-09,1.092196e-08,9.688728e-09
7.398875e-02,7.860647e-09,1.092481e-08,8.015368e-09,1.071585e-08,9.202478e-09
7.443179e-02,7.609095e-09,1.033545e-08,7.928710e-09,1.021269e-08,8.700790e-09
7.487484e-02,7.451766e-09,9.687670e-09,7.900065e-09,1.004039e-08,8.373451e-09
7.531789e-02,7.250433e-09,9.176007e-09,7.717599e-09,9.755739e-09,7.950491e-09
7.576093e-02,7.006371e-09,8.799965e-09,7.508990e-09,9.305854e-09,7.635066e-09
7.620398e-02,6.782299e-09,8.462763e-09,7.273112e-09,8.993352e-09,7.287476e-09
7.664702e-02,6.568047e-09,8.273991e-09,6.985957e-09,8.399863e-09,7.107493e-09
7.709007e-02,6.325503e-09,8.146645e-09,6.678306e-09,7.925148e-09,6.841706e-09
7.753312e-02,6.000761e-09,8.053236e-09,6.408948e-09,7.476361e-09,6.556974e-09
7.797616e-02,5.734585e-09,7.936443e-09,6.150866e-09,7.093797e-09,6.298975e-09
7.841921e-02,5.433246e-09,7.839541e-09,5.911818e-09,6.539328e-09,6.104953e-09
7.886226e-02,5.136863e-09,7.743920e-09,5.803245e-09,6.335077e-09,5.861644e-09
