k_s_per_km,kPk_pi_p1_0,kPk_pi_p1_1,kPk_pi_p1_2,kPk_pi_p1_n1,kPk_pi_p1_n2
1.123954e-01,2.754630e+02,4.070629e+00,5.716133e+01,6.429301e+00,6.410456e+04
1.141246e-01,2.917932e+02,4.347634e+00,5.670931e+01,6.381790e+00,6.484583e+04
1.158538e-01,3.045857e+02,4.586825e+00,5.540524e+01,6.346526e+00,6.560834e+04
1.175829e-01,3.195160e+02,4.786782e+00,5.443781e+01,6.193715e+00,6.645172e+04
1.193121e-01,3.304370e+02,5.009078e+00,5.258559e+01,6.009676e+00,6.732258e+04
1.210412e-01,3.442447e+02,5.145521e+00,5.148617e+01,5.911540e+00,6.825627e+04
1.227704e-01,3.547643e+02,5.324751e+00,5.041475e+01,5.990867e+00,6.924713e+04
1.244996e-01,3.592138e+02,5.479635e+00,4.890919e+01,5.897573e+00,7.027829e+04
1.262287e-01,3.726623e+02,5.607876e+00,4.716725e+01,5.930804e+00,7.139972e+04
1.279579e-01,3.726864e+02,5.705055e+00,4.551566e+01,5.921345e+00,7.255148e+04
1.296871e-01,3.831944e+02,5.928774e+00,4.311972e+01,5.892646e+00,7.379645e+04
1.314162e-01,3.901694e+02,5.996483e+00,4.132841e+01,5.921255e+00,7.509128e+04
1.331454e-01,3.930083e+02,5.939695e+00,3.829765e+01,6.042563e+00,7.645128e+04
1.348745e-01,4.025265e+02,6.012232e+00,3.665850e+01,6.064353e+00,7.789680e+04
1.366037e-01,3.937823e+02,6.025422e+00,3.447531e+01,6.101436e+00,7.937623e+04
1.383329e-01,4.036936e+02,6.029796e+00,3.323853e+01,6.145182e+00,8.097863e+04
1.400620e-01,3.982635e+02,6.048164e+00,3.154899e+01,6.218796e+00,8.261647e+04
1.417912e-01,4.045010e+02,6.049876e+00,3.029133e+01,6.375080e+00,8.434475e+04
1.435203e-01,3.969344e+02,6.001420e+00,2.855003e+01,6.452208e+00,8.614495e+04
1.452495e-01,3.982793e+02,5.928406e+00,2.756338e+01,6.497259e+00,8.800080e+04
1.469787e-01,3.875296e+02,5.679777e+00,2.629566e+01,6.688058e+00,8.996549e+04
1.487078e-01,3.777034e+02,5.584395e+00,2.500519e+01,6.907127e+00,9.196635e+04
1.504370e-01,3.764490e+02,5.422690e+00,2.462288e+01,7.025016e+00,9.407908e+04
1.521661e-01,3.649111e+02,5.268730e+00,2.388319e+01,7.255926e+00,9.624418e+04
1.538953e-01,3.613561e+02,5.134631e+00,2.360069e+01,7.385996e+00,9.848426e+04
1.556245e-01,3.555980e+02,4.897108e+00,2.265636e+01,7.628179e+00,1.008113e+05
1.573536e-01,3.427482e+02,4.793648e+00,2.246648e+01,7.842427e+00,1.031764e+05
1.590828e-01,3.284385e+02,4.617186e+00,2.243695e+01,8.005698e+00,1.056610e+05
1.608119e-01,3.196330e+02,4.376165e+00,2.172832e+01,8.256162e+00,1.081788e+05
1.625411e-01,3.130200e+02,4.218603e+00,2.179000e+01,8.440126e+00,1.107841e+05
1.642703e-01,2.981127e+02,4.072969e+00,2.201842e+01,8.741352e+00,1.134505e+05
1.659994e-01,2.904880e+02,3.832729e+00,2.181951e+01,9.002703e+00,1.161683e+05
1.677286e-01,2.789284e+02,3.731468e+00,2.241130e+01,9.208121e+00,1.189741e+05
1.694577e-01,2.697693e+02,3.638472e+00,2.307043e+01,9.406840e+00,1.218090e+05
