k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.430464e-04,4.583688e-04,5.609813e-04,7.355979e-04,3.050752e-04,1.861796e-04
8.860928e-04,7.606389e-04,9.853648e-04,1.267357e-03,4.907927e-04,2.917011e-04
1.329139e-03,9.627988e-04,1.253614e-03,1.588109e-03,6.318857e-04,3.748225e-04
1.772186e-03,1.097748e-03,1.420927e-03,1.808208e-03,7.270408e-04,4.294182e-04
2.215232e-03,1.216799e-03,1.576308e-03,2.001966e-03,7.978591e-04,4.691419e-04
2.658278e-03,1.234582e-03,1.576617e-03,1.991716e-03,8.233030e-04,4.868860e-04
3.101325e-03,1.236865e-03,1.576946e-03,1.987595e-03,8.146916e-04,4.802194e-04
3.544371e-03,1.208511e-03,1.530909e-03,1.925400e-03,7.895896e-04,4.715253e-04
3.987417e-03,1.150735e-03,1.459564e-03,1.814172e-03,7.554661e-04,4.533976e-04
4.430464e-03,1.109649e-03,1.402352e-03,1.748974e-03,7.169989e-04,4.308119e-04
4.873510e-03,1.075555e-03,1.341798e-03,1.679500e-03,6.970502e-04,4.156928e-04
5.316557e-03,1.018941e-03,1.273436e-03,1.579220e-03,6.588608e-04,3.962748e-04
5.759603e-03,9.742759e-04,1.208699e-03,1.507154e-03,6.232379e-04,3.711379e-04
6.202649e-03,9.058201e-04,1.105254e-03,1.376756e-03,5.793615e-04,3.387012e-04
6.645696e-03,8.430352e-04,1.034930e-03,1.302617e-03,5.337839e-04,3.187111e-04
7.088742e-03,7.861448e-04,9.685436e-04,1.212558e-03,5.023404e-04,2.986216e-04
7.531789e-03,7.283839e-04,8.825908e-04,1.091635e-03,4.614466e-04,2.770149e-04
7.974835e-03,6.772813e-04,8.227106e-04,1.016008e-03,4.289525e-04,2.585474e-04
8.417881e-03,6.253732e-04,7.512566e-04,9.406366e-04,3.895495e-04,2.338672e-04
8.860928e-03,5.775028e-04,6.821890e-04,8.551278e-04,3.608871e-04,2.155411e-04
9.303974e-03,5.377790e-04,6.306816e-04,7.858281e-04,3.315831e-04,2.002689e-04
9.747021e-03,5.122714e-04,5.908484e-04,7.278168e-04,3.160582e-04,1.907591e-04
1.019007e-02,4.699506e-04,5.450140e-04,6.706584e-04,2.862297e-04,1.736521e-04
1.063311e-02,4.326213e-04,4.968168e-04,6.179322e-04,2.616690e-04,1.553073e-04
1.107616e-02,3.976064e-04,4.524292e-04,5.594168e-04,2.389111e-04,1.443423e-04
1.151921e-02,3.669696e-04,4.178253e-04,5.111661e-04,2.220175e-04,1.329473e-04
1.196225e-02,3.470059e-04,3.910008e-04,4.794602e-04,2.049686e-04,1.226758e-04
1.240530e-02,3.200653e-04,3.547210e-04,4.387031e-04,1.901309e-04,1.135967e-04
1.284835e-02,2.889164e-04,3.183726e-04,3.916735e-04,1.675274e-04,1.025121e-04
