k_s_per_km,kPk_pi_p1_n1,kPk_pi_p2_n1,kPk_pi_p7_n1,kPk_pi_p8_n1,kPk_pi_p9_n1
3.001755e-02,8.106473e-06,7.690330e-06,4.310478e-06,4.205951e-06,7.294011e-06
3.047936e-02,7.302179e-06,6.973214e-06,3.906019e-06,3.841713e-06,6.658051e-06
3.094117e-02,6.625950e-06,6.267860e-06,3.574194e-06,3.450086e-06,6.057614e-06
3.140297e-02,6.029340e-06,5.742152e-06,3.277953e-06,3.101983e-06,5.584955e-06
3.186478e-02,5.398434e-06,5.130804e-06,2.918485e-06,2.803224e-06,4.983997e-06
3.232659e-02,4.874098e-06,4.706046e-06,2.625543e-06,2.542722e-06,4.454552e-06
3.278840e-02,4.472836e-06,4.232973e-06,2.385698e-06,2.315846e-06,4.092958e-06
3.325021e-02,4.007999e-06,3.847020e-06,2.148468e-06,2.083820e-06,3.684360e-06
3.371202e-02,3.739071e-06,3.462205e-06,1.922002e-06,1.871106e-06,3.320361e-06
3.417382e-02,3.375301e-06,3.148902e-06,1.762354e-06,1.683292e-06,3.048342e-06
3.463563e-02,3.059701e-06,2.870225e-06,1.626734e-06,1.522930e-06,2.717782e-06
3.509744e-02,2.780876e-06,2.608884e-06,1.472880e-06,1.408935e-06,2.507065e-06
3.555925e-02,2.543345e-06,2.338258e-06,1.335088e-06,1.291320e-06,2.273419e-06
3.602106e-02,2.322151e-06,2.100037e-06,1.224676e-06,1.165545e-06,2.073032e-06
3.648287e-02,2.080015e-06,1.901206e-06,1.108972e-06,1.060920e-06,1.885918e-06
3.694468e-02,1.927191e-06,1.737986e-06,1.016488e-06,9.793073e-07,1.738985e-06
3.740648e-02,1.708203e-06,1.596943e-06,9.333649e-07,8.916932e-07,1.594700e-06
3.786829e-02,1.578099e-06,1.449104e-06,8.631668e-07,8.125382e-07,1.443391e-06
3.833010e-02,1.437260e-06,1.321810e-06,7.917850e-07,7.317945e-07,1.329933e-06
3.879191e-02,1.301800e-06,1.216113e-06,7.161936e-07,6.654187e-07,1.214364e-06
3.925372e-02,1.204267e-06,1.120352e-06,6.525632e-07,6.051896e-07,1.109894e-06
3.971553e-02,1.086445e-06,1.038570e-06,5.925694e-07,5.516343e-07,1.018433e-06
4.017733e-02,9.885834e-07,9.562401e-07,5.322826e-07,5.018297e-07,9.376410e-07
4.063914e-02,9.032589e-07,8.825322e-07,4.838332e-07,4.588437e-07,8.615339e-07
4.110095e-02,8.412781e-07,8.097533e-07,4.418786e-07,4.155870e-07,7.823076e-07
4.156276e-02,7.744559e-07,7.459206e-07,3.989833e-07,3.800630e-07,7.188083e-07
4.202457e-02,7.111323e-07,6.910998e-07,3.734813e-07,3.551859e-07,6.495133e-07
4.248638e-02,6.568540e-07,6.192297e-07,3.481117e-07,3.259618e-07,6.108539e-07
4.294819e-02,5.926185e-07,5.620203e-07,3.248272e-07,2.976697e-07,5.473622e-07
4.340999e-02,5.616364e-07,5.179498e-07,3.002399e-07,2.730778e-07,5.092160e-07
4.387180e-02,5.162950e-07,4.694058e-07,2.760295e-07,2.513383e-07,4.650646e-07
4.433361e-02,4.784071e-07,4.284912e-07,2.543502e-07,2.311727e-07,4.384658e-07
4.479542e-02,4.415840e-07,3.880915e-07,2.372803e-07,2.142148e-07,3.980457e-07
4.525723e-02,4.032010e-07,3.575654e-07,2.179435e-07,2.022617e-07,3.646651e-07
4.571904e-02,3.771856e-07,3.331051e-07,2.012254e-07,1.846500e-07,3.337885e-07
4.618084e-02,3.465519e-07,3.048351e-07,1.879557e-07,1.741955e-07,3.124272e-07
4.664265e-02,3.152187e-07,2.877002e-07,1.718755e-07,1.629141e-07,2.928068e-07
4.710446e-02,2.855332e-07,2.673919e-07,1.571783e-07,1.497174e-07,2.706904e-07
4.756627e-02,2.695304e-07,2.502917e-07,1.478805e-07,1.348177e-07,2.529635e-07
4.802808e-02,2.474588e-07,2.360652e-07,1.387607e-07,1.239268e-07,2.347928e-07
4.848989e-02,2.259869e-07,2.184444e-07,1.293353e-07,1.121757e-07,2.226912e-07
4.895169e-02,2.068151e-07,2.028914e-07,1.221320e-07,1.017877e-07,2.068342e-07
4.941350e-02,1.895203e-07,1.878704e-07,1.158923e-07,9.322848e-08,1.904972e-07
4.987531e-02,1.807233e-07,1.776031e-07,1.076961e-07,8.653163e-08,1.780706e-07
5.033712e-02,1.639961e-07,1.637439e-07,9.906518e-08,8.117767e-08,1.637277e-07
5.079893e-02,1.554063e-07,1.526809e-07,9.311821e-08,7.707056e-08,1.503812e-07
5.126074e-02,1.438289e-07,1.404683e-07,8.662749e-08,7.378923e-08,1.372273e-07
5.172255e-02,1.333198e-07,1.300766e-07,7.937750e-08,7.167298e-08,1.260515e-07
5.218435e-02,1.242871e-07,1.188770e-07,7.293035e-08,6.922206e-08,1.163161e-07
5.264616e-02,1.162532e-07,1.129966e-07,6.877070e-08,6.708780e-08,1.109836e-07
5.310797e-02,1.077451e-07,1.051344e-07,6.352461e-08,6.368985e-08,1.022689e-07
5.356978e-02,1.016943e-07,9.881142e-08,5.954385e-08,5.993806e-08,9.840335e-08
5.403159e-02,9.679262e-08,9.224867e-08,5.571379e-08,5.556729e-08,9.376474e-08
5.449340e-02,9.101248e-08,8.741226e-08,5.222969e-08,5.096611e-08,9.082568e-08
5.495520e-02,8.489250e-08,8.299326e-08,4.976857e-08,4.709704e-08,8.553017e-08
5.541701e-02,7.779578e-08,7.707864e-08,4.736912e-08,4.276268e-08,8.278189e-08
5.587882e-02,7.416253e-08,7.351378e-08,4.518255e-08,3.921822e-08,7.760551e-08
5.634063e-02,6.845316e-08,6.851280e-08,4.382690e-08,3.617685e-08,7.246988e-08
5.680244e-02,6.556680e-08,6.481507e-08,4.255825e-08,3.407038e-08,6.835870e-08
5.726425e-02,6.024703e-08,6.048830e-08,4.114721e-08,3.215360e-08,6.422970e-08
5.772606e-02,5.632580e-08,5.754775e-08,3.971078e-08,3.116675e-08,5.956782e-08
5.818786e-02,5.159726e-08,5.386447e-08,3.774095e-08,2.980111e-08,5.595419e-08
5.864967e-02,4.846816e-08,5.048075e-08,3.551705e-08,2.879118e-08,5.241495e-08
5.911148e-02,4.554065e-08,4.789391e-08,3.309477e-08,2.855781e-08,4.908177e-08
5.957329e-02,4.310967e-08,4.518893e-08,3.074002e-08,2.758938e-08,4.630082e-08
6.003510e-02,4.005741e-08,4.344406e-08,2.837932e-08,2.641908e-08,4.313150e-08
6.049691e-02,3.776309e-08,4.216297e-08,2.599301e-08,2.541502e-08,4.085287e-08
6.095871e-02,3.515655e-08,4.065367e-08,2.411191e-08,2.426312e-08,3.870786e-08
6.142052e-02,3.315678e-08,3.861264e-08,2.244543e-08,2.315539e-08,3.687272e-08
6.188233e-02,3.159268e-08,3.705922e-08,2.102266e-08,2.165874e-08,3.548805e-08
6.234414e-02,3.039804e-08,3.488042e-08,2.012092e-08,2.011196e-08,3.410014e-08
6.280595e-02,2.917121e-08,3.315349e-08,1.964803e-08,1.841072e-08,3.319995e-08
6.326776e-02,2.806913e-08,3.099463e-08,1.939933e-08,1.715689e-08,3.229467e-08
6.372956e-02,2.612768e-08,2.902097e-08,1.931675e-08,1.603364e-08,3.152829e-08
6.419137e-02,2.513966e-08,2.719882e-08,1.905128e-08,1.516639e-08,2.946180e-08
6.465318e-02,2.404957e-08,2.560013e-08,1.863275e-08,1.434922e-08,2.893420e-08
6.511499e-02,2.253289e-08,2.425882e-08,1.819007e-08,1.397440e-08,2.725298e-08
6.557680e-02,2.121914e-08,2.349612e-08,1.732944e-08,1.392123e-08,2.566299e-08
6.603861e-02,2.025667e-08,2.252441e-08,1.603902e-08,1.399501e-08,2.379082e-08
6.650042e-02,1.910265e-08,2.141804e-08,1.518196e-08,1.363605e-08,2.245111e-08
6.696222e-02,1.800726e-08,2.063337e-08,1.389384e-08,1.345460e-08,2.099300e-08
6.742403e-02,1.675564e-08,1.973365e-08,1.275614e-08,1.309156e-08,1.997897e-08
6.788584e-02,1.586898e-08,1.967117e-08,1.196695e-08,1.258789e-08,1.879839e-08
6.834765e-02,1.470686e-08,1.873225e-08,1.118148e-08,1.205596e-08,1.791421e-08
6.880946e-02,1.420701e-08,1.810534e-08,1.062159e-08,1.137017e-08,1.728855e-08
6.927127e-02,1.362276e-08,1.719020e-08,1.028119e-08,1.037148e-08,1.665439e-08
6.973307e-02,1.305061e-08,1.636860e-08,1.000811e-08,9.612592e-09,1.603637e-08
7.019488e-02,1.231431e-08,1.541719e-08,9.801024e-09,9.015228e-09,1.559683e-08
7.065669e-02,1.176791e-08,1.442774e-08,9.766418e-09,8.404547e-09,1.504435e-08
7.111850e-02,1.116656e-08,1.360551e-08,9.625660e-09,7.923608e-09,1.438067e-08
7.158031e-02,1.080719e-08,1.275068e-08,9.400506e-09,7.548122e-09,1.372176e-08
7.204212e-02,1.044440e-08,1.203595e-08,9.099208e-09,7.228307e-09,1.309793e-08
7.250393e-02,1.012214e-08,1.154857e-08,8.762990e-09,7.053446e-09,1.234396e-08
7.296573e-02,9.644909e-09,1.116919e-08,8.307813e-09,6.955967e-09,1.178554e-08
7.342754e-02,9.232925e-09,1.096061e-08,7.804997e-09,6.926737e-09,1.118595e-08
7.388935e-02,8.593898e-09,1.076209e-08,7.339373e-09,6.842358e-09,1.069829e-08
7.435116e-02,8.046518e-09,1.030426e-08,6.827555e-09,6.761629e-09,1.028095e-08
7.481297e-02,7.731792e-09,1.006446e-08,6.348864e-09,6.637553e-09,9.835116e-09
7.527478e-02,7.415410e-09,9.783437e-09,5.939273e-09,6.493864e-09,9.461599e-09
7.573658e-02,7.035753e-09,9.330580e-09,5.547940e-09,6.222072e-09,9.301719e-09
7.619839e-02,6.704940e-09,8.997295e-09,5.331403e-09,5.940742e-09,8.861145e-09
7.666020e-02,6.380813e-09,8.385741e-09,5.157461e-09,5.655251e-09,8.492190e-09
7.712201e-02,6.051244e-09,7.892795e-09,4.932470e-09,5.216902e-09,8.052220e-09
7.758382e-02,5.740379e-09,7.432582e-09,4.894616e-09,4.860400e-09,7.585927e-09
7.804563e-02,5.516529e-09,7.006856e-09,4.891803e-09,4.474896e-09,7.133014e-09
7.850744e-02,5.347245e-09,6.498653e-09,4.806198e-09,4.117866e-09,6.789210e-09
7.896924e-02,5.114039e-09,6.265388e-09,4.752394e-09,3.844292e-09,6.505175e-09
7.943105e-02,4.882649e-09,6.014701e-09,4.706744e-09,3.672957e-09,6.212920e-09
7.989286e-02,4.643010e-09,5.893345e-09,4.551364e-09,3.559663e-09,6.030023e-09
8.035467e-02,4.363303e-09,5.779270e-09,4.336567e-09,3.512254e-09,5.824585e-09
8.081648e-02,4.168531e-09,5.715206e-09,4.067598e-09,3.503053e-09,5.704363e-09
8.127829e-02,3.965146e-09,5.631688e-09,3.768698e-09,3.560283e-09,5.567369e-09
8.174009e-02,3.862171e-09,5.483992e-09,3.470568e-09,3.637853e-09,5.370867e-09
8.220190e-02,3.784802e-09,5.293770e-09,3.217117e-09,3.653776e-09,5.151616e-09
8.266371e-02,3.543712e-09,5.058140e-09,3.004299e-09,3.611485e-09,4.907218e-09
8.312552e-02,3.405344e-09,4.807518e-09,2.828503e-09,3.526358e-09,4.653794e-09
8.358733e-02,3.222081e-09,4.559378e-09,2.731589e-09,3.374721e-09,4.391673e-09
8.404914e-02,3.088559e-09,4.248361e-09,2.664284e-09,3.162216e-09,4.149357e-09
8.451094e-02,2.985259e-09,3.966327e-09,2.648896e-09,2.903646e-09,3.965416e-09
8.497275e-02,2.901111e-09,3.740576e-09,2.653043e-09,2.625953e-09,3.855845e-09
8.543456e-02,2.785248e-09,3.527170e-09,2.660463e-09,2.393506e-09,3.712714e-09
8.589637e-02,2.674183e-09,3.382381e-09,2.617414e-09,2.183806e-09,3.609702e-09
8.635818e-02,2.560483e-09,3.326215e-09,2.550047e-09,2.048254e-09,3.545927e-09
8.681999e-02,2.445880e-09,3.230409e-09,2.471433e-09,1.944082e-09,3.415325e-09
8.728180e-02,2.294622e-09,3.212112e-09,2.342464e-09,1.895148e-09,3.297752e-09
8.774360e-02,2.243237e-09,3.201344e-09,2.191186e-09,1.930396e-09,3.151428e-09
8.820541e-02,2.117628e-09,3.183550e-09,2.040291e-09,1.958470e-09,2.991090e-09
8.866722e-02,2.045114e-09,3.109488e-09,1.882058e-09,2.011089e-09,2.863671e-09
8.912903e-02,1.920731e-09,3.024965e-09,1.763498e-09,2.018675e-09,2.724773e-09
8.959084e-02,1.801530e-09,2.865421e-09,1.653298e-09,2.031332e-09,2.613224e-09
9.005265e-02,1.722984e-09,2.741332e-09,1.583669e-09,2.013554e-09,2.529149e-09
9.051445e-02,1.670407e-09,2.532104e-09,1.531270e-09,1.966871e-09,2.438802e-09
9.097626e-02,1.640818e-09,2.345315e-09,1.511595e-09,1.881778e-09,2.357642e-09
9.143807e-02,1.614147e-09,2.184087e-09,1.502308e-09,1.771847e-09,2.277200e-09
9.189988e-02,1.566369e-09,2.056354e-09,1.496404e-09,1.643015e-09,2.214096e-09
