k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,4.275661e+02,6.155713e+02,6.155713e+00
1.863859e-03,3.770845e+02,4.298709e+02,4.298709e+00
3.727717e-03,3.576523e+02,4.272008e+02,4.272008e+00
5.591576e-03,3.199181e+02,3.783815e+02,3.783815e+00
7.455434e-03,2.909094e+02,3.276587e+02,3.276587e+00
9.319293e-03,2.588202e+02,2.920403e+02,2.920403e+00
1.118315e-02,2.410170e+02,2.649008e+02,2.649008e+00
1.304701e-02,2.180555e+02,2.456581e+02,2.456581e+00
1.491087e-02,1.954179e+02,2.164506e+02,2.164506e+00
1.677473e-02,1.836921e+02,2.048170e+02,2.048170e+00
1.863859e-02,1.627773e+02,1.797370e+02,1.797370e+00
2.050244e-02,1.472641e+02,1.588075e+02,1.588075e+00
2.236630e-02,1.345370e+02,1.472888e+02,1.472888e+00
2.423016e-02,1.217737e+02,1.380356e+02,1.380356e+00
2.609402e-02,1.140666e+02,1.277903e+02,1.277903e+00
2.795788e-02,1.030468e+02,1.124133e+02,1.124133e+00
2.982174e-02,9.519105e+01,1.045684e+02,1.045684e+00
3.168560e-02,8.581666e+01,9.382598e+01,9.382598e-01
3.354945e-02,7.779405e+01,8.513427e+01,8.513427e-01
3.541331e-02,7.267356e+01,7.966338e+01,7.966338e-01
3.727717e-02,6.454846e+01,7.149411e+01,7.149411e-01
3.914103e-02,5.951674e+01,6.634194e+01,6.634194e-01
4.100489e-02,5.397913e+01,5.975433e+01,5.975433e-01
4.286875e-02,4.856420e+01,5.426057e+01,5.426057e-01
4.473261e-02,4.398314e+01,4.862648e+01,4.862648e-01
4.659646e-02,4.026707e+01,4.463929e+01,4.463929e-01
4.846032e-02,3.677164e+01,4.199415e+01,4.199415e-01
5.032418e-02,3.357191e+01,3.799242e+01,3.799242e-01
5.218804e-02,3.040146e+01,3.440519e+01,3.440519e-01
5.405190e-02,2.771452e+01,3.210814e+01,3.210814e-01
5.591576e-02,2.472693e+01,2.752401e+01,2.752401e-01
5.777962e-02,2.245932e+01,2.526375e+01,2.526375e-01
5.964347e-02,2.043313e+01,2.266417e+01,2.266417e-01
6.150733e-02,1.903907e+01,2.118684e+01,2.118684e-01
6.337119e-02,1.670581e+01,1.891685e+01,1.891685e-01
6.523505e-02,1.530467e+01,1.665609e+01,1.665609e-01
6.709891e-02,1.423454e+01,1.572974e+01,1.572974e-01
6.896277e-02,1.302735e+01,1.471478e+01,1.471478e-01
7.082663e-02,1.222479e+01,1.401348e+01,1.401348e-01
7.269048e-02,1.113718e+01,1.244130e+01,1.244130e-01
7.455434e-02,1.035100e+01,1.181465e+01,1.181465e-01
7.641820e-02,9.340927e+00,1.055010e+01,1.055010e-01
7.828206e-02,8.739054e+00,9.666230e+00,9.666230e-02
8.014592e-02,8.062021e+00,9.166246e+00,9.166246e-02
8.200978e-02,7.522744e+00,8.250062e+00,8.250062e-02
8.387364e-02,7.104842e+00,8.031751e+00,8.031751e-02
8.573749e-02,6.608271e+00,7.450450e+00,7.450450e-02
8.760135e-02,6.269321e+00,7.093291e+00,7.093291e-02
8.946521e-02,5.840368e+00,6.442488e+00,6.442488e-02
9.132907e-02,5.677181e+00,6.389684e+00,6.389684e-02
9.319293e-02,5.340844e+00,6.128190e+00,6.128190e-02
9.505679e-02,5.013328e+00,5.600652e+00,5.600652e-02
9.692065e-02,4.884096e+00,5.554138e+00,5.554138e-02
9.878450e-02,4.598374e+00,5.185115e+00,5.185115e-02
1.006484e-01,4.493523e+00,5.154643e+00,5.154643e-02
1.025122e-01,4.376704e+00,5.061658e+00,5.061658e-02
1.043761e-01,4.284815e+00,5.062742e+00,5.062742e-02
1.062399e-01,4.186671e+00,4.835620e+00,4.835620e-02
1.081038e-01,4.130098e+00,5.023960e+00,5.023960e-02
1.099677e-01,4.024909e+00,5.171628e+00,5.171628e-02
1.118315e-01,4.103213e+00,5.156833e+00,5.156833e-02
1.136954e-01,4.030049e+00,5.457117e+00,5.457117e-02
1.155592e-01,4.046774e+00,5.284368e+00,5.284368e-02
1.174231e-01,4.067861e+00,5.587406e+00,5.587406e-02
1.192869e-01,4.163321e+00,6.012954e+00,6.012954e-02
1.211508e-01,4.171147e+00,6.438839e+00,6.438839e-02
1.230147e-01,4.151080e+00,6.066849e+00,6.066849e-02
1.248785e-01,4.304442e+00,6.494892e+00,6.494892e-02
1.267424e-01,4.324025e+00,6.229047e+00,6.229047e-02
1.286062e-01,4.323073e+00,6.366972e+00,6.366972e-02
1.304701e-01,4.395830e+00,6.362242e+00,6.362242e-02
1.323340e-01,4.498849e+00,6.418049e+00,6.418049e-02
1.341978e-01,4.440755e+00,6.208964e+00,6.208964e-02
1.360617e-01,4.469929e+00,5.992835e+00,5.992835e-02
1.379255e-01,4.536281e+00,6.197839e+00,6.197839e-02
1.397894e-01,4.479480e+00,6.129764e+00,6.129764e-02
1.416533e-01,4.463093e+00,5.989941e+00,5.989941e-02
1.435171e-01,4.572487e+00,6.183291e+00,6.183291e-02
