# T0 = 11846.202831883895 K
# gamma = 1.0420930894749736
# gamma_err = nan
# n_pixels = 308901648
log_density,log_temperature
2.978759e-01,4.106677e+00
2.978759e-01,4.106677e+00
3.165213e-01,4.095078e+00
-1.739122e-01,3.844128e+00
2.884091e-01,4.084391e+00
-1.142690e-01,3.877665e+00
3.885234e-02,3.955823e+00
2.457828e-01,4.062887e+00
2.813845e-01,4.080828e+00
-1.027405e-01,3.883765e+00
1.053953e+00,4.543832e+00
6.354836e-01,4.260119e+00
-1.348043e-01,3.866270e+00
-2.605420e-02,3.922640e+00
-2.623782e-02,3.924322e+00
-2.911871e-01,3.783361e+00
4.635391e-01,4.182216e+00
3.605800e-01,4.117465e+00
-5.205791e-02,3.910229e+00
2.488909e-01,4.069268e+00
6.123617e-01,4.249735e+00
7.121415e-01,4.282910e+00
3.808870e-02,3.955329e+00
-1.436456e-01,3.863663e+00
-1.150026e-02,3.933013e+00
-1.970274e-01,3.830804e+00
-2.157878e-01,3.823579e+00
-1.213988e-01,3.873511e+00
-1.380747e-01,3.863076e+00
-4.455078e-02,3.911433e+00
3.392195e-03,3.945670e+00
-3.078663e-01,3.776698e+00
6.544101e-01,4.283786e+00
-2.352932e-01,3.813083e+00
-2.746106e-01,3.792307e+00
-2.222635e-01,3.822632e+00
3.978039e-01,4.297052e+00
-7.700901e-02,3.897915e+00
7.726080e-01,4.342630e+00
5.092053e-01,4.194064e+00
-3.748467e-01,3.739967e+00
3.233544e-01,4.103714e+00
8.349997e-02,3.978413e+00
9.932543e-01,4.409455e+00
-2.292685e-01,3.817347e+00
5.826089e-01,4.384509e+00
4.633052e-02,3.964423e+00
-5.140928e-02,3.908172e+00
2.912829e-01,4.088089e+00
4.287389e-01,4.163339e+00
1.428926e-02,3.941802e+00
2.592476e-01,4.069745e+00
1.374004e-01,4.008864e+00
-3.190289e-02,3.918596e+00
-6.689633e-02,3.903419e+00
-4.824315e-01,3.682678e+00
-2.068738e-01,3.827185e+00
-3.606895e-01,3.747831e+00
-2.107672e-01,3.827785e+00
9.382799e-02,3.985690e+00
-8.437067e-02,3.890772e+00
-2.008316e-01,3.831567e+00
2.142037e-01,4.048956e+00
5.649962e-01,4.219750e+00
1.640430e-01,4.021310e+00
9.204803e-03,3.942279e+00
-4.960016e-02,3.913100e+00
7.004010e-02,3.974135e+00
-5.504158e-02,3.907570e+00
-2.003529e-01,3.832755e+00
-1.689406e-01,3.846111e+00
3.361971e-02,3.955168e+00
-9.103647e-02,3.890717e+00
3.483155e-01,4.109689e+00
1.900162e-01,4.042532e+00
6.159945e-02,3.968398e+00
-1.985107e-01,3.832899e+00
-3.332425e-02,3.921608e+00
-9.054831e-02,3.890057e+00
-8.291526e-02,3.891806e+00
1.150853e-02,3.943952e+00
-1.380083e-01,3.864265e+00
-2.153400e-01,3.820645e+00
-1.571452e-01,3.855136e+00
9.023491e-01,4.376979e+00
-2.922034e-01,3.783482e+00
1.646392e-01,4.022476e+00
-2.860576e-01,3.786754e+00
-1.090844e-01,3.878677e+00
4.942584e-01,4.189540e+00
1.666869e-02,3.945108e+00
2.156691e-01,4.052607e+00
-1.654520e-01,3.852015e+00
-1.904519e-01,3.837929e+00
-4.997025e-02,3.912414e+00
2.894230e-01,4.083682e+00
1.062267e-01,3.990115e+00
4.976323e-02,3.961272e+00
-8.344719e-02,3.891279e+00
-2.550508e-01,3.806226e+00
-1.551331e-01,3.853441e+00
-3.236504e-02,3.918710e+00
7.977896e-01,4.325863e+00
-4.032337e-02,3.914729e+00
3.174881e-01,4.100876e+00
6.235754e-02,3.966333e+00
-2.639670e-01,3.816727e+00
3.012510e-01,4.088335e+00
-9.901358e-02,3.884933e+00
1.433823e-02,3.942487e+00
-2.650874e-01,3.797723e+00
2.427221e-01,4.059823e+00
-1.944810e-01,3.835421e+00
3.530306e-01,4.118301e+00
1.681735e-01,4.028837e+00
2.001689e-01,4.039501e+00
2.692718e-01,4.074286e+00
6.750631e-02,3.972268e+00
1.056134e-01,3.994567e+00
-2.137654e-01,3.825427e+00
2.815095e-01,4.082559e+00
3.679048e-01,4.130881e+00
-1.369640e-01,3.864245e+00
-3.205008e-01,3.767961e+00
3.904177e-01,4.139523e+00
4.643479e-02,3.965862e+00
1.003143e-02,3.949066e+00
-2.770634e-01,3.790885e+00
-7.615043e-02,3.900002e+00
5.480159e-01,4.266082e+00
-4.185209e-02,3.916145e+00
3.983814e-02,3.956390e+00
-2.374540e-01,3.812683e+00
3.891088e-03,4.194985e+00
1.222599e-02,3.943756e+00
-1.588632e-01,3.853156e+00
-4.768014e-01,3.685307e+00
-1.031452e-01,3.882343e+00
-2.359097e-01,3.812621e+00
1.355699e-04,3.936368e+00
-1.912443e-01,3.836374e+00
3.818207e-01,4.132455e+00
1.411415e-01,4.014309e+00
-2.814857e-02,3.921063e+00
-3.449870e-02,3.918390e+00
7.498943e-02,3.976256e+00
-3.622149e-01,3.747135e+00
-1.837773e-01,3.841819e+00
2.625561e-01,4.067683e+00
4.373321e-03,3.939713e+00
-1.736214e-01,3.847779e+00
2.789908e-01,4.080872e+00
-1.545051e-01,3.854530e+00
8.264373e-01,4.335043e+00
-3.209390e-01,3.766357e+00
2.482727e-01,4.066708e+00
-2.495542e-01,3.806219e+00
-3.075996e-01,3.775433e+00
4.496231e-01,4.158583e+00
-2.110807e-01,3.826236e+00
-4.390494e-01,3.705268e+00
1.159048e-01,3.995919e+00
-1.930222e-01,3.836344e+00
2.477674e-01,4.066766e+00
-1.877180e-02,3.926027e+00
-1.519657e-01,3.856440e+00
3.473233e-01,4.112580e+00
-3.678389e-01,3.742403e+00
3.393887e-01,4.312150e+00
5.315034e-01,4.215196e+00
4.705446e-01,4.194000e+00
3.966377e-01,4.140072e+00
3.748430e-01,4.127464e+00
4.280747e-02,3.956022e+00
-1.935052e-01,3.836121e+00
6.132729e-01,4.247727e+00
2.919094e-01,4.095263e+00
-1.523146e-04,3.937362e+00
6.901008e-02,3.971344e+00
3.299605e-01,4.108621e+00
3.341756e-03,3.937493e+00
-2.154357e-01,3.827531e+00
9.691482e-02,3.987910e+00
-2.038304e-01,3.830517e+00
-3.632623e-01,3.746335e+00
1.414089e-01,4.012332e+00
1.071248e-01,3.995286e+00
3.243296e-02,3.952767e+00
-2.298492e-01,3.818502e+00
-3.057096e-01,3.777008e+00
8.563466e-02,3.980539e+00
5.702892e-01,4.241413e+00
1.513373e-01,4.014681e+00
1.083827e-02,3.947245e+00
7.406658e-01,4.331195e+00
-3.873897e-02,3.921355e+00
-3.597444e-01,3.747791e+00
9.196011e-02,3.984212e+00
1.165805e-01,3.994726e+00
-1.001653e-01,3.886784e+00
5.950536e-01,4.238503e+00
1.304771e-01,4.003687e+00
-1.045260e-01,3.885490e+00
2.389706e-01,4.056282e+00
-2.159747e-01,3.824611e+00
3.719000e-01,4.127077e+00
-1.635746e-01,3.851515e+00
-1.495306e-01,3.858804e+00
-2.613994e-01,3.798976e+00
-2.706859e-03,3.936218e+00
2.994698e-01,4.089603e+00
3.917810e-01,4.141908e+00
1.313518e-02,3.941939e+00
-1.470904e-01,3.862159e+00
1.026839e-02,3.941950e+00
6.466145e-01,4.266168e+00
8.149730e-01,4.365794e+00
-5.667590e-02,3.909236e+00
-1.105628e-01,3.876993e+00
2.458412e-01,4.062809e+00
1.483134e-01,4.011882e+00
1.103329e-01,3.993221e+00
-9.888971e-02,3.886606e+00
-1.411563e-01,3.865812e+00
5.593176e-01,4.278663e+00
-2.625466e-01,3.799722e+00
-3.714513e-01,3.741343e+00
4.060636e-01,4.145297e+00
1.038607e+00,4.431681e+00
5.911286e-02,3.967801e+00
-4.241835e-02,3.910371e+00
-1.301471e-01,3.868638e+00
4.820567e-01,4.184507e+00
-2.064153e-01,3.827796e+00
7.014519e-02,3.998637e+00
-2.016079e-01,3.833474e+00
-3.090408e-01,3.777462e+00
8.085225e-01,4.336498e+00
2.626604e-01,4.077408e+00
5.542045e-01,4.214384e+00
1.269883e-02,3.942150e+00
-1.558818e-02,3.940292e+00
7.458929e-02,3.974573e+00
-6.416879e-02,3.901989e+00
2.922916e-02,3.949924e+00
1.515675e-01,4.016168e+00
-1.256743e-01,3.871305e+00
-1.172220e-01,3.874626e+00
-3.236553e-01,3.766836e+00
-3.429635e-01,3.756525e+00
3.701798e-03,3.939094e+00
