k_s_per_km,kPk_pi_p1_0,kPk_pi_p2_0,kPk_pi_p7_0,kPk_pi_p8_0,kPk_pi_p9_0
2.879802e-02,1.061647e-05,1.061647e-05,1.061647e-05,1.061647e-05,1.061647e-05
2.924106e-02,9.657363e-06,9.657363e-06,9.657363e-06,9.657363e-06,9.657363e-06
2.968411e-02,8.708138e-06,8.708138e-06,8.708138e-06,8.708138e-06,8.708138e-06
3.012715e-02,7.730005e-06,7.730005e-06,7.730005e-06,7.730005e-06,7.730005e-06
3.057020e-02,7.008301e-06,7.008301e-06,7.008301e-06,7.008301e-06,7.008301e-06
3.101325e-02,6.345764e-06,6.345764e-06,6.345764e-06,6.345764e-06,6.345764e-06
3.145629e-02,5.747064e-06,5.747064e-06,5.747064e-06,5.747064e-06,5.747064e-06
3.189934e-02,5.317293e-06,5.317293e-06,5.317293e-06,5.317293e-06,5.317293e-06
3.234239e-02,4.767962e-06,4.767962e-06,4.767962e-06,4.767962e-06,4.767962e-06
3.278543e-02,4.275955e-06,4.275955e-06,4.275955e-06,4.275955e-06,4.275955e-06
3.322848e-02,4.034584e-06,4.034584e-06,4.034584e-06,4.034584e-06,4.034584e-06
3.367153e-02,3.626248e-06,3.626248e-06,3.626248e-06,3.626248e-06,3.626248e-06
3.411457e-02,3.320949e-06,3.320949e-06,3.320949e-06,3.320949e-06,3.320949e-06
3.455762e-02,3.066806e-06,3.066806e-06,3.066806e-06,3.066806e-06,3.066806e-06
3.500066e-02,2.804090e-06,2.804090e-06,2.804090e-06,2.804090e-06,2.804090e-06
3.544371e-02,2.609589e-06,2.609589e-06,2.609589e-06,2.609589e-06,2.609589e-06
3.588676e-02,2.338398e-06,2.338398e-06,2.338398e-06,2.338398e-06,2.338398e-06
3.632980e-02,2.136580e-06,2.136580e-06,2.136580e-06,2.136580e-06,2.136580e-06
3.677285e-02,1.947728e-06,1.947728e-06,1.947728e-06,1.947728e-06,1.947728e-06
3.721590e-02,1.784144e-06,1.784144e-06,1.784144e-06,1.784144e-06,1.784144e-06
3.765894e-02,1.563250e-06,1.563250e-06,1.563250e-06,1.563250e-06,1.563250e-06
3.810199e-02,1.443803e-06,1.443803e-06,1.443803e-06,1.443803e-06,1.443803e-06
3.854504e-02,1.287307e-06,1.287307e-06,1.287307e-06,1.287307e-06,1.287307e-06
3.898808e-02,1.166821e-06,1.166821e-06,1.166821e-06,1.166821e-06,1.166821e-06
3.943113e-02,1.071564e-06,1.071564e-06,1.071564e-06,1.071564e-06,1.071564e-06
3.987417e-02,9.478652e-07,9.478652e-07,9.478652e-07,9.478652e-07,9.478652e-07
4.031722e-02,8.848897e-07,8.848897e-07,8.848897e-07,8.848897e-07,8.848897e-07
4.076027e-02,8.023878e-07,8.023878e-07,8.023878e-07,8.023878e-07,8.023878e-07
4.120331e-02,7.395281e-07,7.395281e-07,7.395281e-07,7.395281e-07,7.395281e-07
4.164636e-02,6.894447e-07,6.894447e-07,6.894447e-07,6.894447e-07,6.894447e-07
4.208941e-02,6.411176e-07,6.411176e-07,6.411176e-07,6.411176e-07,6.411176e-07
4.253245e-02,5.884135e-07,5.884135e-07,5.884135e-07,5.884135e-07,5.884135e-07
4.297550e-02,5.458075e-07,5.458075e-07,5.458075e-07,5.458075e-07,5.458075e-07
4.341855e-02,5.061094e-07,5.061094e-07,5.061094e-07,5.061094e-07,5.061094e-07
4.386159e-02,4.672076e-07,4.672076e-07,4.672076e-07,4.672076e-07,4.672076e-07
4.430464e-02,4.330242e-07,4.330242e-07,4.330242e-07,4.330242e-07,4.330242e-07
4.474769e-02,3.972902e-07,3.972902e-07,3.972902e-07,3.972902e-07,3.972902e-07
4.519073e-02,3.592906e-07,3.592906e-07,3.592906e-07,3.592906e-07,3.592906e-07
4.563378e-02,3.235321e-07,3.235321e-07,3.235321e-07,3.235321e-07,3.235321e-07
