k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,4.767057e+00,6.464039e+01,6.464039e-01
4.430464e-04,2.163254e+00,6.885834e+00,6.885834e-02
8.860928e-04,1.740078e+00,3.378933e+00,3.378933e-02
1.329139e-03,1.493544e+00,2.768011e+00,2.768011e-02
1.772186e-03,1.288841e+00,2.288074e+00,2.288074e-02
2.215232e-03,1.131506e+00,1.892942e+00,1.892942e-02
2.658278e-03,9.729918e-01,1.615587e+00,1.615587e-02
3.101325e-03,8.252696e-01,1.324296e+00,1.324296e-02
3.544371e-03,6.998615e-01,1.074469e+00,1.074469e-02
3.987417e-03,5.952141e-01,9.058111e-01,9.058111e-03
4.430464e-03,5.084159e-01,7.506426e-01,7.506426e-03
4.873510e-03,4.493369e-01,6.711764e-01,6.711764e-03
5.316557e-03,3.893257e-01,5.710180e-01,5.710180e-03
5.759603e-03,3.399470e-01,4.948268e-01,4.948268e-03
6.202649e-03,2.934420e-01,4.280457e-01,4.280457e-03
6.645696e-03,2.523335e-01,3.687063e-01,3.687063e-03
7.088742e-03,2.226275e-01,3.154308e-01,3.154308e-03
7.531789e-03,1.924745e-01,2.740717e-01,2.740717e-03
7.974835e-03,1.689808e-01,2.366648e-01,2.366648e-03
8.417881e-03,1.453817e-01,1.999771e-01,1.999771e-03
8.860928e-03,1.279505e-01,1.756785e-01,1.756785e-03
9.303974e-03,1.119628e-01,1.540573e-01,1.540573e-03
9.747021e-03,1.018697e-01,1.432386e-01,1.432386e-03
1.019007e-02,8.824446e-02,1.209286e-01,1.209286e-03
1.063311e-02,7.731109e-02,1.050882e-01,1.050882e-03
1.107616e-02,6.776368e-02,9.189484e-02,9.189484e-04
1.151921e-02,6.055003e-02,8.276285e-02,8.276285e-04
1.196225e-02,5.382999e-02,7.467512e-02,7.467512e-04
1.240530e-02,4.814988e-02,6.598490e-02,6.598490e-04
1.284835e-02,4.096268e-02,5.607758e-02,5.607758e-04
1.329139e-02,3.678314e-02,4.966321e-02,4.966321e-04
1.373444e-02,3.301992e-02,4.367359e-02,4.367359e-04
1.417748e-02,2.886080e-02,3.883461e-02,3.883461e-04
1.462053e-02,2.579693e-02,3.481133e-02,3.481133e-04
1.506358e-02,2.247478e-02,2.992076e-02,2.992076e-04
1.550662e-02,1.992461e-02,2.670838e-02,2.670838e-04
1.594967e-02,1.821292e-02,2.455076e-02,2.455076e-04
1.639272e-02,1.597879e-02,2.151591e-02,2.151591e-04
1.683576e-02,1.429175e-02,1.863792e-02,1.863792e-04
1.727881e-02,1.253211e-02,1.696717e-02,1.696717e-04
1.772186e-02,1.115670e-02,1.472403e-02,1.472403e-04
