N_HI,b_param_km_s
2.791337e+12,2.004553e+01
8.422117e+12,3.176717e+01
3.259637e+13,1.953375e+01
1.095543e+12,2.719378e+01
1.165196e+12,4.495628e+01
1.409875e+13,2.419224e+01
5.334233e+12,1.802035e+01
1.151980e+14,3.841139e+01
1.931120e+14,4.328861e+01
1.983328e+13,2.434481e+01
3.358596e+14,4.124608e+01
5.856043e+13,4.218670e+01
1.870350e+13,2.636556e+01
2.111556e+13,2.653757e+01
2.921245e+14,3.070503e+01
5.297633e+13,2.143549e+01
2.748294e+12,4.154594e+01
2.316487e+13,2.187154e+01
6.022969e+13,4.145776e+01
6.059905e+13,2.598937e+01
3.088952e+13,2.256812e+01
1.508994e+14,2.382435e+01
2.186874e+13,2.596041e+01
1.572682e+14,2.663975e+01
1.479747e+13,5.790770e+01
2.782458e+13,1.940818e+01
1.502849e+14,2.492381e+01
9.122462e+13,2.318024e+01
4.915007e+13,5.572030e+01
4.915007e+13,5.572046e+01
8.174542e+13,4.242983e+01
2.697010e+12,3.426560e+01
2.801703e+13,4.856220e+01
4.877616e+12,3.943740e+01
2.983815e+12,3.934733e+01
1.691015e+14,3.616321e+01
1.758173e+14,2.409353e+01
1.219429e+12,3.158202e+01
4.922686e+12,2.055314e+01
2.729206e+14,6.477442e+01
1.509604e+12,2.029521e+01
1.413698e+13,3.420730e+01
3.117325e+13,3.802416e+01
1.307956e+12,1.729295e+01
1.083587e+13,2.258776e+01
2.106109e+13,1.719779e+01
2.365333e+12,3.578558e+01
1.024608e+12,3.232192e+01
1.740803e+12,1.632632e+01
1.873970e+14,2.731414e+01
1.873970e+14,2.731408e+01
3.528184e+14,3.455105e+01
3.528184e+14,2.403920e+01
2.864769e+13,1.912285e+01
1.453835e+12,2.025314e+01
1.761253e+13,3.492362e+01
1.196692e+13,3.658539e+01
1.453918e+14,2.141052e+01
1.369711e+12,2.126284e+01
1.105319e+13,1.496856e+01
3.217182e+13,3.024609e+01
5.640970e+13,2.461465e+01
5.122305e+13,2.786988e+01
3.006233e+13,4.437944e+01
2.605394e+13,3.210423e+01
1.174126e+14,4.130429e+01
1.785158e+14,2.894349e+01
1.785158e+14,2.894350e+01
2.515496e+12,7.766306e+01
3.908426e+12,3.258128e+01
1.400778e+13,2.824040e+01
1.970363e+15,3.004876e+01
1.217405e+14,4.749443e+01
2.172359e+13,2.350130e+01
2.988645e+14,4.794109e+01
2.988645e+14,4.794119e+01
6.224382e+13,3.096408e+01
4.952458e+12,2.120428e+01
2.773596e+13,2.033129e+01
1.791198e+12,1.769184e+01
1.123670e+14,2.624057e+01
8.886216e+12,3.880969e+01
8.635239e+14,4.213023e+01
5.872044e+13,2.819872e+01
1.564483e+14,5.517498e+01
5.025148e+14,5.041406e+01
3.501779e+14,4.030682e+01
2.366253e+13,2.018862e+01
5.444358e+12,3.627570e+01
6.368632e+14,4.090558e+01
1.874157e+13,2.042944e+01
3.890859e+12,2.500289e+01
2.270639e+12,2.663911e+01
2.541295e+12,2.240728e+01
1.656058e+14,4.121957e+01
5.445609e+13,4.965537e+01
1.351804e+13,2.265305e+01
4.528903e+12,2.713648e+01
1.062873e+12,2.385965e+01
2.108710e+12,2.409925e+01
1.610925e+14,2.753453e+01
